l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,605.178223,0.476629,3,[X0 < 29.500000 OR X3 == 1 OR X13 == 10],{'0': {'precision': 0.6724013541262002; 'recall': 0.6051041302502123; 'f1-score': 0.6369801798012723; 'support': 20023}; '1': {'precision': 0.05362058647516457; 'recall': 0.07054007242953865; 'f1-score': 0.060927512579899354; 'support': 6351}; 'accuracy': 0.47637825130810646; 'macro avg': {'precision': 0.36301097030068236; 'recall': 0.33782210133987545; 'f1-score': 0.34895384619058584; 'support': 26374}; 'weighted avg': {'precision': 0.5233956418583711; 'recall': 0.47637825130810646; 'f1-score': 0.4982636222247599; 'support': 26374}},{'0': {'precision': 0.6740554156171285; 'recall': 0.6013483146067415; 'f1-score': 0.6356294536817102; 'support': 2225}; '1': {'precision': 0.06236786469344609; 'recall': 0.08356940509915015; 'f1-score': 0.07142857142857142; 'support': 706}; 'accuracy': 0.47662913681337427; 'macro avg': {'precision': 0.3682116401552873; 'recall': 0.34245885985294583; 'f1-score': 0.3535290125551408; 'support': 2931}; 'weighted avg': {'precision': 0.5267161420067157; 'recall': 0.47662913681337427; 'f1-score': 0.4997284564552632; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],296,108.736492,0.636643,4,[X0 >= 43.500000 OR X1 == 5 OR X3 == 8 OR X11 >= 2168.500000],{'0': {'precision': 0.8273434605409411; 'recall': 0.6691304999250861; 'f1-score': 0.7398735400502526; 'support': 20023}; '1': {'precision': 0.34921414538310414; 'recall': 0.5597543693906472; 'f1-score': 0.4301010223216986; 'support': 6351}; 'accuracy': 0.6427921437779631; 'macro avg': {'precision': 0.5882788029620226; 'recall': 0.6144424346578666; 'f1-score': 0.5849872811859756; 'support': 26374}; 'weighted avg': {'precision': 0.7122073689140577; 'recall': 0.6427921437779631; 'f1-score': 0.6652786640324303; 'support': 26374}},{'0': {'precision': 0.8218645948945617; 'recall': 0.6656179775280899; 'f1-score': 0.735535137819717; 'support': 2225}; '1': {'precision': 0.3410097431355182; 'recall': 0.5453257790368272; 'f1-score': 0.41961852861035426; 'support': 706}; 'accuracy': 0.6366427840327533; 'macro avg': {'precision': 0.58143716901504; 'recall': 0.6054718782824586; 'f1-score': 0.5775768332150356; 'support': 2931}; 'weighted avg': {'precision': 0.7060394412466993; 'recall': 0.6366427840327533; 'f1-score': 0.6594392230801025; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],296,106.824644,0.729785,5,[X1 == 7 OR X3 == 12 OR X5 == 1 OR X6 == 10 OR X13 == 9],{'0': {'precision': 0.8021749190189726; 'recall': 0.8657543824601708; 'f1-score': 0.832752864314366; 'support': 20023}; '1': {'precision': 0.4357682619647355; 'recall': 0.32687765706188004; 'f1-score': 0.3735492577597841; 'support': 6351}; 'accuracy': 0.7359899901418063; 'macro avg': {'precision': 0.618971590491854; 'recall': 0.5963160197610254; 'f1-score': 0.603151061037075; 'support': 26374}; 'weighted avg': {'precision': 0.7139422399050174; 'recall': 0.7359899901418063; 'f1-score': 0.7221741843557647; 'support': 26374}},{'0': {'precision': 0.8009239815203696; 'recall': 0.8570786516853932; 'f1-score': 0.8280503690838037; 'support': 2225}; '1': {'precision': 0.4218181818181818; 'recall': 0.3286118980169972; 'f1-score': 0.36942675159235666; 'support': 706}; 'accuracy': 0.72978505629478; 'macro avg': {'precision': 0.6113710816692757; 'recall': 0.5928452748511952; 'f1-score': 0.5987385603380802; 'support': 2931}; 'weighted avg': {'precision': 0.7096074702307945; 'recall': 0.72978505629478; 'f1-score': 0.717580128910156; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],296,106.336127,0.703514,2,[X6 == 3 OR X10 >= 57.000000],{'0': {'precision': 0.7931116276863229; 'recall': 0.8349398192079109; 'f1-score': 0.8134883947253176; 'support': 20023}; '1': {'precision': 0.37582625118035884; 'recall': 0.31333648244370965; 'f1-score': 0.3417482397389662; 'support': 6351}; 'accuracy': 0.7093349510881929; 'macro avg': {'precision': 0.5844689394333409; 'recall': 0.5741381508258103; 'f1-score': 0.5776183172321419; 'support': 26374}; 'weighted avg': {'precision': 0.692627081307716; 'recall': 0.7093349510881929; 'f1-score': 0.6998908469768411; 'support': 26374}},{'0': {'precision': 0.7872881355932203; 'recall': 0.8350561797752809; 'f1-score': 0.8104689203925846; 'support': 2225}; '1': {'precision': 0.3572679509632224; 'recall': 0.28895184135977336; 'f1-score': 0.3194988253719655; 'support': 706}; 'accuracy': 0.7035141589901057; 'macro avg': {'precision': 0.5722780432782213; 'recall': 0.5620040105675271; 'f1-score': 0.564983872882275; 'support': 2931}; 'weighted avg': {'precision': 0.6837077021750085; 'recall': 0.7035141589901057; 'f1-score': 0.6922072734855367; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],296,107.224727,0.702149,4,[X0 >= 54.500000 OR X3 == 10 OR X5 == 1 OR X6 == 11],{'0': {'precision': 0.7753590256317033; 'recall': 0.8520701193627328; 'f1-score': 0.8119066314512098; 'support': 20023}; '1': {'precision': 0.32219679633867276; 'recall': 0.22169737049283578; 'f1-score': 0.26266206510586704; 'support': 6351}; 'accuracy': 0.7002729961325548; 'macro avg': {'precision': 0.548777910985188; 'recall': 0.5368837449277843; 'f1-score': 0.5372843482785384; 'support': 26374}; 'weighted avg': {'precision': 0.6662351415701261; 'recall': 0.7002729961325548; 'f1-score': 0.6796456076831325; 'support': 26374}},{'0': {'precision': 0.7770491803278688; 'recall': 0.8521348314606741; 'f1-score': 0.8128617363344052; 'support': 2225}; '1': {'precision': 0.329938900203666; 'recall': 0.22946175637393768; 'f1-score': 0.2706766917293233; 'support': 706}; 'accuracy': 0.7021494370522006; 'macro avg': {'precision': 0.5534940402657674; 'recall': 0.5407982939173059; 'f1-score': 0.5417692140318642; 'support': 2931}; 'weighted avg': {'precision': 0.6693521971249732; 'recall': 0.7021494370522006; 'f1-score': 0.6822637692613285; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],296,106.012399,0.692833,6,[X1 == 7 OR X3 == 8 OR X3 == 9 OR X3 == 12 OR X5 == 1 OR X7 == 5],{'0': {'precision': 0.831430155210643; 'recall': 0.7490885481696049; 'f1-score': 0.7881144418464124; 'support': 20023}; '1': {'precision': 0.3972405518896221; 'recall': 0.5212531486146096; 'f1-score': 0.4508749234016477; 'support': 6352}; 'accuracy': 0.694218009478673; 'macro avg': {'precision': 0.6143353535501326; 'recall': 0.6351708483921072; 'f1-score': 0.6194946826240301; 'support': 26375}; 'weighted avg': {'precision': 0.7268624827823917; 'recall': 0.694218009478673; 'f1-score': 0.7068956581057054; 'support': 26375}},{'0': {'precision': 0.8314157078539269; 'recall': 0.7469662921348315; 'f1-score': 0.7869318181818181; 'support': 2225}; '1': {'precision': 0.3952738990332975; 'recall': 0.5219858156028369; 'f1-score': 0.44987775061124696; 'support': 705}; 'accuracy': 0.6928327645051194; 'macro avg': {'precision': 0.6133448034436122; 'recall': 0.6344760538688341; 'f1-score': 0.6184047843965326; 'support': 2930}; 'weighted avg': {'precision': 0.7264737367895776; 'recall': 0.6928327645051194; 'f1-score': 0.7058317780325851; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],296,106.223102,0.779181,3,[X3 == 10 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.7936291522062469; 'recall': 0.9593467512360785; 'f1-score': 0.8686548940692337; 'support': 20023}; '1': {'precision': 0.6250575771533855; 'recall': 0.21363350125944586; 'f1-score': 0.31843247682740816; 'support': 6352}; 'accuracy': 0.7797535545023697; 'macro avg': {'precision': 0.7093433646798162; 'recall': 0.5864901262477622; 'f1-score': 0.5935436854483209; 'support': 26375}; 'weighted avg': {'precision': 0.7530313647281132; 'recall': 0.7797535545023697; 'f1-score': 0.736142560635297; 'support': 26375}},{'0': {'precision': 0.7937453462397617; 'recall': 0.9582022471910112; 'f1-score': 0.8682549378945225; 'support': 2225}; '1': {'precision': 0.6188524590163934; 'recall': 0.21418439716312057; 'f1-score': 0.31822971548998946; 'support': 705}; 'accuracy': 0.7791808873720136; 'macro avg': {'precision': 0.7062989026280775; 'recall': 0.5861933221770659; 'f1-score': 0.593242326692256; 'support': 2930}; 'weighted avg': {'precision': 0.7516636105768011; 'recall': 0.7791808873720136; 'f1-score': 0.7359109850633976; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],296,108.066291,0.782253,5,[X3 == 12 OR X3 == 14 OR X10 >= 57.000000 OR X11 >= 1551.500000 OR X13 == 21],{'0': {'precision': 0.8297480307706481; 'recall': 0.8996154422414223; 'f1-score': 0.8632703920253043; 'support': 20023}; '1': {'precision': 0.5692241748821261; 'recall': 0.4181360201511335; 'f1-score': 0.4821201669994554; 'support': 6352}; 'accuracy': 0.7836587677725119; 'macro avg': {'precision': 0.699486102826387; 'recall': 0.6588757311962778; 'f1-score': 0.6726952795123798; 'support': 26375}; 'weighted avg': {'precision': 0.7670049963591261; 'recall': 0.7836587677725119; 'f1-score': 0.7714764117650507; 'support': 26375}},{'0': {'precision': 0.8245398773006135; 'recall': 0.9060674157303371; 'f1-score': 0.8633832976445396; 'support': 2225}; '1': {'precision': 0.5690721649484536; 'recall': 0.39148936170212767; 'f1-score': 0.4638655462184874; 'support': 705}; 'accuracy': 0.7822525597269625; 'macro avg': {'precision': 0.6968060211245335; 'recall': 0.6487783887162324; 'f1-score': 0.6636244219315135; 'support': 2930}; 'weighted avg': {'precision': 0.7630706837141723; 'recall': 0.7822525597269625; 'f1-score': 0.7672535997758136; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],296,108.336152,0.709215,4,[X3 == 12 OR X3 == 14 OR X8 == 3 OR X12 >= 41.500000],{'0': {'precision': 0.8423850903270066; 'recall': 0.7358669596484219; 'f1-score': 0.7855315065572023; 'support': 20024}; '1': {'precision': 0.40459304289091524; 'recall': 0.5658951346244686; 'f1-score': 0.4718393068137062; 'support': 6351}; 'accuracy': 0.6949383886255924; 'macro avg': {'precision': 0.623489066608961; 'recall': 0.6508810471364452; 'f1-score': 0.6286854066854543; 'support': 26375}; 'weighted avg': {'precision': 0.7369664251794571; 'recall': 0.6949383886255924; 'f1-score': 0.7099956142132803; 'support': 26375}},{'0': {'precision': 0.8457661290322581; 'recall': 0.7544964028776978; 'f1-score': 0.7975285171102662; 'support': 2224}; '1': {'precision': 0.42283298097251587; 'recall': 0.56657223796034; 'f1-score': 0.48426150121065376; 'support': 706}; 'accuracy': 0.7092150170648465; 'macro avg': {'precision': 0.634299555002387; 'recall': 0.6605343204190188; 'f1-score': 0.6408950091604599; 'support': 2930}; 'weighted avg': {'precision': 0.7438580053018219; 'recall': 0.7092150170648465; 'f1-score': 0.7220450654975951; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],296,92.621060,0.726962,3,[X1 == 1 OR X1 == 6 OR X3 == 14],{'0': {'precision': 0.774496297571896; 'recall': 0.898421893727527; 'f1-score': 0.83186904651808; 'support': 20024}; '1': {'precision': 0.3536701620591039; 'recall': 0.1752479924421351; 'f1-score': 0.23436512950094754; 'support': 6351}; 'accuracy': 0.7242843601895734; 'macro avg': {'precision': 0.5640832298155; 'recall': 0.536834943084831; 'f1-score': 0.5331170880095137; 'support': 26375}; 'weighted avg': {'precision': 0.6731629596897445; 'recall': 0.7242843601895734; 'f1-score': 0.6879923687180495; 'support': 26375}},{'0': {'precision': 0.7789968652037618; 'recall': 0.8938848920863309; 'f1-score': 0.8324958123953099; 'support': 2224}; '1': {'precision': 0.37566137566137564; 'recall': 0.20113314447592068; 'f1-score': 0.2619926199261992; 'support': 706}; 'accuracy': 0.726962457337884; 'macro avg': {'precision': 0.5773291204325687; 'recall': 0.5475090182811257; 'f1-score': 0.5472442161607546; 'support': 2930}; 'weighted avg': {'precision': 0.6818109076553234; 'recall': 0.726962457337884; 'f1-score': 0.695029855438589; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.693916 (+- 0.082669), (mean training time) 155.555922 (+- 149.939841)
