l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],564,0.902877,0.750000,2,[X5 >= -0.227030 OR X6 >= 0.348160],{'0.0': {'precision': 1.0; 'recall': 0.11650485436893204; 'f1-score': 0.20869565217391306; 'support': 103}; '1.0': {'precision': 0.6654411764705882; 'recall': 1.0; 'f1-score': 0.7991169977924945; 'support': 181}; 'accuracy': 0.6795774647887324; 'macro avg': {'precision': 0.8327205882352942; 'recall': 0.558252427184466; 'f1-score': 0.5039063249832038; 'support': 284}; 'weighted avg': {'precision': 0.7867776512013256; 'recall': 0.6795774647887324; 'f1-score': 0.5849853125857554; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
l: 5,1,CNF,1,284,32,35,[8; 9],564,1.247536,0.687500,2,[X4 >= 0.540400 OR X7 >= 0.279550],{'0.0': {'precision': 0.7758620689655172; 'recall': 0.4368932038834951; 'f1-score': 0.5590062111801242; 'support': 103}; '1.0': {'precision': 0.7433628318584071; 'recall': 0.9281767955801105; 'f1-score': 0.8255528255528255; 'support': 181}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7596124504119621; 'recall': 0.6825349997318028; 'f1-score': 0.6922795183664748; 'support': 284}; 'weighted avg': {'precision': 0.7551495270064082; 'recall': 0.75; 'f1-score': 0.728882750621881; 'support': 284}},{'0.0': {'precision': 0.6; 'recall': 0.2727272727272727; 'f1-score': 0.37499999999999994; 'support': 11}; '1.0': {'precision': 0.7037037037037037; 'recall': 0.9047619047619048; 'f1-score': 0.7916666666666667; 'support': 21}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6518518518518519; 'recall': 0.5887445887445888; 'f1-score': 0.5833333333333334; 'support': 32}; 'weighted avg': {'precision': 0.6680555555555556; 'recall': 0.6875; 'f1-score': 0.6484375; 'support': 32}}
l: 5,1,CNF,2,284,32,35,[8; 9],564,1.312426,0.718750,2,[X2 >= 0.328340 OR X11 >= 0.028250],{'0.0': {'precision': 0.926829268292683; 'recall': 0.37254901960784315; 'f1-score': 0.5314685314685316; 'support': 102}; '1.0': {'precision': 0.7366255144032922; 'recall': 0.9835164835164835; 'f1-score': 0.8423529411764705; 'support': 182}; 'accuracy': 0.7640845070422535; 'macro avg': {'precision': 0.8317273913479876; 'recall': 0.6780327515621634; 'f1-score': 0.6869107363225011; 'support': 284}; 'weighted avg': {'precision': 0.8049381302368057; 'recall': 0.7640845070422535; 'f1-score': 0.7306972729010839; 'support': 284}},{'0.0': {'precision': 0.8; 'recall': 0.3333333333333333; 'f1-score': 0.47058823529411764; 'support': 12}; '1.0': {'precision': 0.7037037037037037; 'recall': 0.95; 'f1-score': 0.8085106382978724; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7518518518518519; 'recall': 0.6416666666666666; 'f1-score': 0.6395494367959951; 'support': 32}; 'weighted avg': {'precision': 0.7398148148148149; 'recall': 0.71875; 'f1-score': 0.6817897371714643; 'support': 32}}
l: 5,1,CNF,3,284,32,35,[8; 9],564,1.152729,0.750000,1,[X6 >= 0.037590],{'0.0': {'precision': 0.9473684210526315; 'recall': 0.5294117647058824; 'f1-score': 0.679245283018868; 'support': 102}; '1.0': {'precision': 0.788546255506608; 'recall': 0.9835164835164835; 'f1-score': 0.8753056234718826; 'support': 182}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8679573382796197; 'recall': 0.7564641241111829; 'f1-score': 0.7772754532453753; 'support': 284}; 'weighted avg': {'precision': 0.8455880191886305; 'recall': 0.8204225352112676; 'f1-score': 0.8048895857035464; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.4166666666666667; 'f1-score': 0.5555555555555556; 'support': 12}; '1.0': {'precision': 0.7307692307692307; 'recall': 0.95; 'f1-score': 0.8260869565217392; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.782051282051282; 'recall': 0.6833333333333333; 'f1-score': 0.6908212560386474; 'support': 32}; 'weighted avg': {'precision': 0.7692307692307692; 'recall': 0.75; 'f1-score': 0.7246376811594204; 'support': 32}}
l: 5,1,CNF,4,284,32,35,[8; 9],564,1.237823,0.718750,1,[X3 >= -0.105260],{'0.0': {'precision': 0.6140350877192983; 'recall': 0.3431372549019608; 'f1-score': 0.440251572327044; 'support': 102}; '1.0': {'precision': 0.7048458149779736; 'recall': 0.8791208791208791; 'f1-score': 0.7823960880195598; 'support': 182}; 'accuracy': 0.6866197183098591; 'macro avg': {'precision': 0.6594404513486359; 'recall': 0.61112906701142; 'f1-score': 0.6113238301733019; 'support': 284}; 'weighted avg': {'precision': 0.6722306946245057; 'recall': 0.6866197183098591; 'f1-score': 0.6595131985806986; 'support': 284}},{'0.0': {'precision': 0.8; 'recall': 0.3333333333333333; 'f1-score': 0.47058823529411764; 'support': 12}; '1.0': {'precision': 0.7037037037037037; 'recall': 0.95; 'f1-score': 0.8085106382978724; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7518518518518519; 'recall': 0.6416666666666666; 'f1-score': 0.6395494367959951; 'support': 32}; 'weighted avg': {'precision': 0.7398148148148149; 'recall': 0.71875; 'f1-score': 0.6817897371714643; 'support': 32}}
l: 5,1,CNF,5,284,32,35,[8; 9],564,1.108606,0.687500,1,[X3 < 0.496380],{'0.0': {'precision': 0.7272727272727273; 'recall': 0.23529411764705882; 'f1-score': 0.3555555555555555; 'support': 102}; '1.0': {'precision': 0.6892430278884463; 'recall': 0.9505494505494505; 'f1-score': 0.7990762124711317; 'support': 182}; 'accuracy': 0.6936619718309859; 'macro avg': {'precision': 0.7082578775805868; 'recall': 0.5929217840982547; 'f1-score': 0.5773158840133437; 'support': 284}; 'weighted avg': {'precision': 0.7029015818926599; 'recall': 0.6936619718309859; 'f1-score': 0.639783582170467; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.16666666666666666; 'f1-score': 0.2857142857142857; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5833333333333334; 'f1-score': 0.5428571428571429; 'support': 32}; 'weighted avg': {'precision': 0.7916666666666666; 'recall': 0.6875; 'f1-score': 0.6071428571428571; 'support': 32}}
l: 5,1,CNF,6,285,31,35,[8; 9],564,1.075382,0.741935,1,[X6 >= 0.037590],{'0.0': {'precision': 0.9333333333333333; 'recall': 0.5436893203883495; 'f1-score': 0.6871165644171778; 'support': 103}; '1.0': {'precision': 0.7911111111111111; 'recall': 0.978021978021978; 'f1-score': 0.8746928746928748; 'support': 182}; 'accuracy': 0.8210526315789474; 'macro avg': {'precision': 0.8622222222222222; 'recall': 0.7608556492051637; 'f1-score': 0.7809047195550263; 'support': 285}; 'weighted avg': {'precision': 0.8425107212475633; 'recall': 0.8210526315789474; 'f1-score': 0.8069021379967457; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6363636363636364; 'f1-score': 0.6309523809523809; 'support': 31}; 'weighted avg': {'precision': 0.815668202764977; 'recall': 0.7419354838709677; 'f1-score': 0.6897081413210445; 'support': 31}}
l: 5,1,CNF,7,285,31,35,[8; 9],564,1.122268,0.806452,1,[X2 >= 0.328340],{'0.0': {'precision': 0.864406779661017; 'recall': 0.49514563106796117; 'f1-score': 0.6296296296296295; 'support': 103}; '1.0': {'precision': 0.7699115044247787; 'recall': 0.9560439560439561; 'f1-score': 0.8529411764705882; 'support': 182}; 'accuracy': 0.7894736842105263; 'macro avg': {'precision': 0.8171591420428979; 'recall': 0.7255947935559586; 'f1-score': 0.7412854030501088; 'support': 285}; 'weighted avg': {'precision': 0.8040624284575245; 'recall': 0.7894736842105263; 'f1-score': 0.7722355998929785; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.7272727272727273; 'f1-score': 0.7472826086956522; 'support': 31}; 'weighted avg': {'precision': 0.8511166253101737; 'recall': 0.8064516129032258; 'f1-score': 0.7827840112201965; 'support': 31}}
l: 5,1,CNF,8,285,31,35,[8; 9],564,1.134921,0.580645,1,[X26 < 0.708240],{'0.0': {'precision': 0.46258503401360546; 'recall': 0.6601941747572816; 'f1-score': 0.544; 'support': 103}; '1.0': {'precision': 0.7463768115942029; 'recall': 0.5659340659340659; 'f1-score': 0.64375; 'support': 182}; 'accuracy': 0.6; 'macro avg': {'precision': 0.6044809228039042; 'recall': 0.6130641203456737; 'f1-score': 0.593875; 'support': 285}; 'weighted avg': {'precision': 0.6438134674159519; 'recall': 0.6; 'f1-score': 0.6077; 'support': 285}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.5454545454545454; 'f1-score': 0.4799999999999999; 'support': 11}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.6; 'f1-score': 0.6486486486486486; 'support': 20}; 'accuracy': 0.5806451612903226; 'macro avg': {'precision': 0.5672268907563025; 'recall': 0.5727272727272728; 'f1-score': 0.5643243243243242; 'support': 31}; 'weighted avg': {'precision': 0.6074817023583627; 'recall': 0.5806451612903226; 'f1-score': 0.5888055797733216; 'support': 31}}
l: 5,1,CNF,9,285,31,35,[8; 9],564,1.147381,0.677419,1,[X33 < 0.000000],{'0.0': {'precision': 0.4716981132075472; 'recall': 0.7281553398058253; 'f1-score': 0.5725190839694656; 'support': 103}; '1.0': {'precision': 0.7777777777777778; 'recall': 0.5384615384615384; 'f1-score': 0.6363636363636364; 'support': 182}; 'accuracy': 0.6070175438596491; 'macro avg': {'precision': 0.6247379454926625; 'recall': 0.6333084391336818; 'f1-score': 0.604441360166551; 'support': 285}; 'weighted avg': {'precision': 0.6671595130383612; 'recall': 0.6070175438596491; 'f1-score': 0.6132899911124098; 'support': 285}},{'0.0': {'precision': 0.5294117647058824; 'recall': 0.8181818181818182; 'f1-score': 0.6428571428571428; 'support': 11}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.6; 'f1-score': 0.7058823529411764; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.6932773109243697; 'recall': 0.7090909090909091; 'f1-score': 0.6743697478991596; 'support': 31}; 'weighted avg': {'precision': 0.74085117918135; 'recall': 0.6774193548387096; 'f1-score': 0.6835185687178096; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 35}, (mean val acc cv) 0.711895 (+- 0.056962), (mean training time) 1.144195 (+- 0.106129)
