lamda, n_clause, rule_type, partition_size, n_partitions, id_cv, training_time, accuracy
5,1,CNF,[8, 9],35,0,0.956630,0.687500
5,1,CNF,[8, 9],35,1,0.839513,0.812500
5,1,CNF,[8, 9],35,2,0.864769,0.593750
5,1,CNF,[8, 9],35,3,0.842497,0.687500
5,1,CNF,[8, 9],35,4,0.852792,0.750000
5,1,CNF,[8, 9],35,5,0.829110,0.906250
5,1,CNF,[8, 9],35,6,0.830112,0.677419
5,1,CNF,[8, 9],35,7,0.841794,0.774194
5,1,CNF,[8, 9],35,8,0.854492,0.612903
5,1,CNF,[8, 9],35,9,0.847881,0.580645
---> Chosen: (5, 1, 'CNF', [8, 9], 35, 5), (mean val acc cv) 0.708266, (test acc holdout) 0.885714, (mean training time) 0.855959
5,1,CNF,[16, 17],17,0,0.480548,0.625000
5,1,CNF,[16, 17],17,1,0.473636,0.718750
5,1,CNF,[16, 17],17,2,0.457678,0.718750
5,1,CNF,[16, 17],17,3,0.462603,0.687500
5,1,CNF,[16, 17],17,4,0.485953,0.562500
5,1,CNF,[16, 17],17,5,0.483937,0.906250
5,1,CNF,[16, 17],17,6,0.480583,0.774194
5,1,CNF,[16, 17],17,7,0.485303,0.774194
5,1,CNF,[16, 17],17,8,0.483624,0.677419
5,1,CNF,[16, 17],17,9,0.473769,0.806452
---> Chosen: (5, 1, 'CNF', [16, 17], 17, 5), (mean val acc cv) 0.725101, (test acc holdout) 0.885714, (mean training time) 0.476763
5,1,CNF,[35, 36],8,0,0.327743,0.656250
5,1,CNF,[35, 36],8,1,0.310983,0.781250
5,1,CNF,[35, 36],8,2,0.278891,0.750000
5,1,CNF,[35, 36],8,3,0.281422,0.812500
5,1,CNF,[35, 36],8,4,0.294011,0.718750
5,1,CNF,[35, 36],8,5,0.284780,0.656250
5,1,CNF,[35, 36],8,6,0.292003,0.645161
5,1,CNF,[35, 36],8,7,0.296491,0.741935
5,1,CNF,[35, 36],8,8,0.295520,0.774194
5,1,CNF,[35, 36],8,9,0.298570,0.709677
---> Chosen: (5, 1, 'CNF', [35, 36], 8, 3), (mean val acc cv) 0.724597, (test acc holdout) 0.742857, (mean training time) 0.296041
5,1,CNF,[71, 71],4,0,0.257987,0.718750
5,1,CNF,[71, 71],4,1,0.254344,0.843750
5,1,CNF,[71, 71],4,2,0.250905,0.750000
5,1,CNF,[71, 71],4,3,0.244379,0.781250
5,1,CNF,[71, 71],4,4,0.265583,0.718750
5,1,CNF,[71, 71],4,5,0.218238,0.812500
5,1,CNF,[71, 72],4,6,0.236587,0.677419
5,1,CNF,[71, 72],4,7,0.357996,0.709677
5,1,CNF,[71, 72],4,8,0.291487,0.709677
5,1,CNF,[71, 72],4,9,0.275776,0.774194
---> Chosen: (5, 1, 'CNF', [71, 71], 4, 1), (mean val acc cv) 0.749597, (test acc holdout) 0.857143, (mean training time) 0.265328
5,1,CNF,[142, 142],2,0,0.660467,0.750000
5,1,CNF,[142, 142],2,1,0.541262,0.718750
5,1,CNF,[142, 142],2,2,0.275058,0.750000
5,1,CNF,[142, 142],2,3,0.233591,0.812500
5,1,CNF,[142, 142],2,4,0.228103,0.843750
5,1,CNF,[142, 142],2,5,0.469277,0.812500
5,1,CNF,[142, 143],2,6,0.411630,0.870968
5,1,CNF,[142, 143],2,7,0.427227,0.806452
5,1,CNF,[142, 143],2,8,0.660641,0.806452
5,1,CNF,[142, 143],2,9,0.407321,0.806452
---> Chosen: (5, 1, 'CNF', [142, 143], 2, 6), (mean val acc cv) 0.797782, (test acc holdout) 0.885714, (mean training time) 0.431458
5,1,DNF,[8, 9],35,0,0.881505,0.875000
5,1,DNF,[8, 9],35,1,0.858976,0.875000
5,1,DNF,[8, 9],35,2,0.865080,0.937500
5,1,DNF,[8, 9],35,3,0.883922,0.906250
