l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],222,1.306334,0.750000,1,[X0],{'0.0': {'precision': 1.0; 'recall': 0.29411764705882354; 'f1-score': 0.45454545454545453; 'support': 102}; '1.0': {'precision': 0.7165354330708661; 'recall': 1.0; 'f1-score': 0.8348623853211008; 'support': 182}; 'accuracy': 0.7464788732394366; 'macro avg': {'precision': 0.8582677165354331; 'recall': 0.6470588235294118; 'f1-score': 0.6447039199332777; 'support': 284}; 'weighted avg': {'precision': 0.8183431296440057; 'recall': 0.7464788732394366; 'f1-score': 0.698269684831256; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
l: 5,1,CNF,1,284,32,35,[8; 9],222,1.394481,0.718750,2,[X5 >= -0.217515 OR X9 >= 0.591395],{'0.0': {'precision': 0.782608695652174; 'recall': 0.17647058823529413; 'f1-score': 0.28800000000000003; 'support': 102}; '1.0': {'precision': 0.6781609195402298; 'recall': 0.9725274725274725; 'f1-score': 0.7990970654627539; 'support': 182}; 'accuracy': 0.6866197183098591; 'macro avg': {'precision': 0.7303848075962018; 'recall': 0.5744990303813833; 'f1-score': 0.5435485327313769; 'support': 284}; 'weighted avg': {'precision': 0.7156738532142379; 'recall': 0.6866197183098591; 'f1-score': 0.6155340349092296; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.85; 'recall': 0.5909090909090909; 'f1-score': 0.5656108597285068; 'support': 32}; 'weighted avg': {'precision': 0.803125; 'recall': 0.71875; 'f1-score': 0.6462104072398189; 'support': 32}}
l: 5,1,CNF,2,284,32,35,[8; 9],222,1.447819,0.750000,1,[X3 >= -0.609635],{'0.0': {'precision': 0.9583333333333334; 'recall': 0.22549019607843138; 'f1-score': 0.3650793650793651; 'support': 102}; '1.0': {'precision': 0.6961538461538461; 'recall': 0.9945054945054945; 'f1-score': 0.8190045248868778; 'support': 182}; 'accuracy': 0.7183098591549296; 'macro avg': {'precision': 0.8272435897435897; 'recall': 0.609997845291963; 'f1-score': 0.5920419449831215; 'support': 284}; 'weighted avg': {'precision': 0.7903169014084507; 'recall': 0.7183098591549296; 'f1-score': 0.6559750660827711; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
l: 5,1,CNF,3,284,32,35,[8; 9],222,1.693664,0.812500,1,[X4 >= 0.418075],{'0.0': {'precision': 0.8666666666666667; 'recall': 0.6435643564356436; 'f1-score': 0.7386363636363636; 'support': 101}; '1.0': {'precision': 0.8277511961722488; 'recall': 0.9453551912568307; 'f1-score': 0.8826530612244898; 'support': 183}; 'accuracy': 0.8380281690140845; 'macro avg': {'precision': 0.8472089314194577; 'recall': 0.7944597738462371; 'f1-score': 0.8106447124304268; 'support': 284}; 'weighted avg': {'precision': 0.8415908529325875; 'recall': 0.8380281690140845; 'f1-score': 0.8314358553920929; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5; 'f1-score': 0.6666666666666666; 'support': 12}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.75; 'f1-score': 0.7681159420289856; 'support': 32}; 'weighted avg': {'precision': 0.8557692307692308; 'recall': 0.8125; 'f1-score': 0.7934782608695653; 'support': 32}}
l: 5,1,CNF,4,284,32,35,[8; 9],222,1.566480,0.843750,1,[X26 < 0.999945],{'0.0': {'precision': 0.8493150684931506; 'recall': 0.6138613861386139; 'f1-score': 0.7126436781609196; 'support': 101}; '1.0': {'precision': 0.8151658767772512; 'recall': 0.9398907103825137; 'f1-score': 0.8730964467005076; 'support': 183}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8322404726352008; 'recall': 0.7768760482605638; 'f1-score': 0.7928700624307136; 'support': 284}; 'weighted avg': {'precision': 0.8273104836902999; 'recall': 0.823943661971831; 'f1-score': 0.8160340184522737; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5833333333333334; 'f1-score': 0.7368421052631579; 'support': 12}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9; 'recall': 0.7916666666666667; 'f1-score': 0.8128654970760234; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.84375; 'f1-score': 0.8318713450292398; 'support': 32}}
l: 5,1,CNF,5,284,32,35,[8; 9],222,1.698244,0.812500,1,[X6 >= 0.029375],{'0.0': {'precision': 0.9629629629629629; 'recall': 0.5148514851485149; 'f1-score': 0.6709677419354839; 'support': 101}; '1.0': {'precision': 0.7869565217391304; 'recall': 0.9890710382513661; 'f1-score': 0.8765133171912832; 'support': 183}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8749597423510467; 'recall': 0.7519612616999405; 'f1-score': 0.7737405295633836; 'support': 284}; 'weighted avg': {'precision': 0.8495503617518315; 'recall': 0.8204225352112676; 'f1-score': 0.8034143626108756; 'support': 284}},{'0.0': {'precision': 0.8; 'recall': 0.6666666666666666; 'f1-score': 0.7272727272727272; 'support': 12}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9; 'f1-score': 0.8571428571428572; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8090909090909091; 'recall': 0.7833333333333333; 'f1-score': 0.7922077922077921; 'support': 32}; 'weighted avg': {'precision': 0.8113636363636364; 'recall': 0.8125; 'f1-score': 0.8084415584415585; 'support': 32}}
l: 5,1,CNF,6,285,31,35,[8; 9],222,1.760000,0.741935,1,[X3 >= -0.609635],{'0.0': {'precision': 0.9583333333333334; 'recall': 0.22549019607843138; 'f1-score': 0.3650793650793651; 'support': 102}; '1.0': {'precision': 0.6973180076628352; 'recall': 0.994535519125683; 'f1-score': 0.8198198198198198; 'support': 183}; 'accuracy': 0.7192982456140351; 'macro avg': {'precision': 0.8278256704980843; 'recall': 0.6100128576020573; 'f1-score': 0.5924495924495925; 'support': 285}; 'weighted avg': {'precision': 0.7907340189554345; 'recall': 0.7192982456140351; 'f1-score': 0.6570706044390255; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6363636363636364; 'f1-score': 0.6309523809523809; 'support': 31}; 'weighted avg': {'precision': 0.815668202764977; 'recall': 0.7419354838709677; 'f1-score': 0.6897081413210445; 'support': 31}}
l: 5,1,CNF,7,285,31,35,[8; 9],222,1.717386,0.838710,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.47058823529411764; 'f1-score': 0.6399999999999999; 'support': 102}; '1.0': {'precision': 0.7721518987341772; 'recall': 1.0; 'f1-score': 0.8714285714285713; 'support': 183}; 'accuracy': 0.8105263157894737; 'macro avg': {'precision': 0.8860759493670887; 'recall': 0.7352941176470589; 'f1-score': 0.7557142857142856; 'support': 285}; 'weighted avg': {'precision': 0.8536975349766822; 'recall': 0.8105263157894737; 'f1-score': 0.7886015037593984; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
l: 5,1,CNF,8,285,31,35,[8; 9],222,1.496071,0.870968,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5392156862745098; 'f1-score': 0.7006369426751593; 'support': 102}; '1.0': {'precision': 0.7956521739130434; 'recall': 1.0; 'f1-score': 0.8861985472154963; 'support': 183}; 'accuracy': 0.8350877192982457; 'macro avg': {'precision': 0.8978260869565218; 'recall': 0.7696078431372548; 'f1-score': 0.7934177449453278; 'support': 285}; 'weighted avg': {'precision': 0.868787185354691; 'recall': 0.8350877192982457; 'f1-score': 0.8197870255905336; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
l: 5,1,CNF,9,285,31,35,[8; 9],222,1.652333,0.419355,3,[X8 < -0.036395 OR X11 < -0.000270 OR X15 < -0.001970],{'0.0': {'precision': 0.328125; 'recall': 0.4117647058823529; 'f1-score': 0.3652173913043478; 'support': 102}; '1.0': {'precision': 0.6178343949044586; 'recall': 0.5300546448087432; 'f1-score': 0.5705882352941177; 'support': 183}; 'accuracy': 0.48771929824561405; 'macro avg': {'precision': 0.4729796974522293; 'recall': 0.47090967534554806; 'f1-score': 0.4679028132992328; 'support': 285}; 'weighted avg': {'precision': 0.5141489272544418; 'recall': 0.48771929824561405; 'f1-score': 0.49708709112935795; 'support': 285}},{'0.0': {'precision': 0.23076923076923078; 'recall': 0.2727272727272727; 'f1-score': 0.24999999999999994; 'support': 11}; '1.0': {'precision': 0.5555555555555556; 'recall': 0.5; 'f1-score': 0.5263157894736842; 'support': 20}; 'accuracy': 0.41935483870967744; 'macro avg': {'precision': 0.3931623931623932; 'recall': 0.38636363636363635; 'f1-score': 0.38815789473684204; 'support': 31}; 'weighted avg': {'precision': 0.4403087951475048; 'recall': 0.41935483870967744; 'f1-score': 0.4282682512733446; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 35}, (mean val acc cv) 0.755847 (+- 0.122119), (mean training time) 1.573281 (+- 0.147298)
l: 5,1,CNF,0,284,32,17,[16; 17],222,0.953405,0.781250,1,[X12 >= 0.354740],{'0.0': {'precision': 0.5614035087719298; 'recall': 0.6274509803921569; 'f1-score': 0.5925925925925926; 'support': 102}; '1.0': {'precision': 0.7764705882352941; 'recall': 0.7252747252747253; 'f1-score': 0.75; 'support': 182}; 'accuracy': 0.6901408450704225; 'macro avg': {'precision': 0.6689370485036119; 'recall': 0.6763628528334411; 'f1-score': 0.6712962962962963; 'support': 284}; 'weighted avg': {'precision': 0.6992281864561984; 'recall': 0.6901408450704225; 'f1-score': 0.6934663536776213; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.7272727272727273; 'f1-score': 0.6956521739130435; 'support': 11}; '1.0': {'precision': 0.85; 'recall': 0.8095238095238095; 'f1-score': 0.8292682926829269; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.7583333333333333; 'recall': 0.7683982683982684; 'f1-score': 0.7624602332979852; 'support': 32}; 'weighted avg': {'precision': 0.7869791666666666; 'recall': 0.78125; 'f1-score': 0.7833377518557796; 'support': 32}}
l: 5,1,CNF,1,284,32,17,[16; 17],222,1.025730,0.718750,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5882352941176471; 'f1-score': 0.7407407407407407; 'support': 102}; '1.0': {'precision': 0.8125; 'recall': 1.0; 'f1-score': 0.896551724137931; 'support': 182}; 'accuracy': 0.852112676056338; 'macro avg': {'precision': 0.90625; 'recall': 0.7941176470588236; 'f1-score': 0.8186462324393359; 'support': 284}; 'weighted avg': {'precision': 0.8798415492957746; 'recall': 0.852112676056338; 'f1-score': 0.8405914413685177; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.85; 'recall': 0.5909090909090909; 'f1-score': 0.5656108597285068; 'support': 32}; 'weighted avg': {'precision': 0.803125; 'recall': 0.71875; 'f1-score': 0.6462104072398189; 'support': 32}}
l: 5,1,CNF,2,284,32,17,[16; 17],222,1.021101,0.781250,1,[X2 >= 0.739470],{'0.0': {'precision': 0.6181818181818182; 'recall': 0.6666666666666666; 'f1-score': 0.6415094339622642; 'support': 102}; '1.0': {'precision': 0.8045977011494253; 'recall': 0.7692307692307693; 'f1-score': 0.7865168539325844; 'support': 182}; 'accuracy': 0.7323943661971831; 'macro avg': {'precision': 0.7113897596656218; 'recall': 0.717948717948718; 'f1-score': 0.7140131439474243; 'support': 284}; 'weighted avg': {'precision': 0.7376455178300735; 'recall': 0.7323943661971831; 'f1-score': 0.7344367242249342; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.7272727272727273; 'f1-score': 0.6956521739130435; 'support': 11}; '1.0': {'precision': 0.85; 'recall': 0.8095238095238095; 'f1-score': 0.8292682926829269; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.7583333333333333; 'recall': 0.7683982683982684; 'f1-score': 0.7624602332979852; 'support': 32}; 'weighted avg': {'precision': 0.7869791666666666; 'recall': 0.78125; 'f1-score': 0.7833377518557796; 'support': 32}}
l: 5,1,CNF,3,284,32,17,[16; 17],222,0.865654,0.875000,1,[X26 < 0.999945],{'0.0': {'precision': 0.8571428571428571; 'recall': 0.594059405940594; 'f1-score': 0.7017543859649122; 'support': 101}; '1.0': {'precision': 0.8084112149532711; 'recall': 0.9453551912568307; 'f1-score': 0.8715365239294711; 'support': 183}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8327770360480641; 'recall': 0.7697072985987123; 'f1-score': 0.7866454549471917; 'support': 284}; 'weighted avg': {'precision': 0.8257418341826662; 'recall': 0.8204225352112676; 'f1-score': 0.8111562565547513; 'support': 284}},{'0.0': {'precision': 0.9; 'recall': 0.75; 'f1-score': 0.8181818181818182; 'support': 12}; '1.0': {'precision': 0.8636363636363636; 'recall': 0.95; 'f1-score': 0.9047619047619048; 'support': 20}; 'accuracy': 0.875; 'macro avg': {'precision': 0.8818181818181818; 'recall': 0.85; 'f1-score': 0.8614718614718615; 'support': 32}; 'weighted avg': {'precision': 0.8772727272727273; 'recall': 0.875; 'f1-score': 0.8722943722943723; 'support': 32}}
