l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],222,1.290106,0.812500,1,[X26 < 0.999945],{'0.0': {'precision': 0.8356164383561644; 'recall': 0.5980392156862745; 'f1-score': 0.6971428571428572; 'support': 102}; '1.0': {'precision': 0.8056872037914692; 'recall': 0.9340659340659341; 'f1-score': 0.8651399491094148; 'support': 182}; 'accuracy': 0.8133802816901409; 'macro avg': {'precision': 0.8206518210738167; 'recall': 0.7660525748761042; 'f1-score': 0.781141403126136; 'support': 284}; 'weighted avg': {'precision': 0.8164364359238598; 'recall': 0.8133802816901409; 'f1-score': 0.8048029653749469; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 0.9523809523809523; 'f1-score': 0.8695652173913043; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8285714285714285; 'recall': 0.7489177489177489; 'f1-score': 0.7681159420289854; 'support': 32}; 'weighted avg': {'precision': 0.8196428571428571; 'recall': 0.8125; 'f1-score': 0.7998188405797101; 'support': 32}}
l: 5,1,CNF,1,284,32,35,[8; 9],222,1.542553,0.781250,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5490196078431373; 'f1-score': 0.7088607594936709; 'support': 102}; '1.0': {'precision': 0.7982456140350878; 'recall': 1.0; 'f1-score': 0.8878048780487805; 'support': 182}; 'accuracy': 0.8380281690140845; 'macro avg': {'precision': 0.8991228070175439; 'recall': 0.7745098039215687; 'f1-score': 0.7983328187712257; 'support': 284}; 'weighted avg': {'precision': 0.8707066963182605; 'recall': 0.8380281690140845; 'f1-score': 0.8235362157508186; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
l: 5,1,CNF,2,284,32,35,[8; 9],222,1.500864,0.750000,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5588235294117647; 'f1-score': 0.7169811320754718; 'support': 102}; '1.0': {'precision': 0.801762114537445; 'recall': 1.0; 'f1-score': 0.8899755501222494; 'support': 182}; 'accuracy': 0.8415492957746479; 'macro avg': {'precision': 0.9008810572687225; 'recall': 0.7794117647058824; 'f1-score': 0.8034783410988606; 'support': 284}; 'weighted avg': {'precision': 0.8729602283303345; 'recall': 0.8415492957746479; 'f1-score': 0.8278437520913644; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
l: 5,1,CNF,3,284,32,35,[8; 9],222,1.529879,0.750000,1,[X3 >= -0.609635],{'0.0': {'precision': 0.96; 'recall': 0.2376237623762376; 'f1-score': 0.38095238095238093; 'support': 101}; '1.0': {'precision': 0.7027027027027027; 'recall': 0.994535519125683; 'f1-score': 0.8235294117647058; 'support': 183}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.8313513513513513; 'recall': 0.6160796407509603; 'f1-score': 0.6022408963585434; 'support': 284}; 'weighted avg': {'precision': 0.7942063189950515; 'recall': 0.7253521126760564; 'f1-score': 0.6661340592575058; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.3333333333333333; 'f1-score': 0.5; 'support': 12}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6666666666666666; 'f1-score': 0.6666666666666666; 'support': 32}; 'weighted avg': {'precision': 0.8214285714285714; 'recall': 0.75; 'f1-score': 0.7083333333333333; 'support': 32}}
l: 5,1,CNF,4,284,32,35,[8; 9],222,1.630184,0.625000,1,[X9 < 0.989100],{'0.0': {'precision': 0.875; 'recall': 0.2079207920792079; 'f1-score': 0.336; 'support': 101}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.9836065573770492; 'f1-score': 0.8126410835214447; 'support': 183}; 'accuracy': 0.7077464788732394; 'macro avg': {'precision': 0.7836538461538461; 'recall': 0.5957636747281285; 'f1-score': 0.5743205417607223; 'support': 284}; 'weighted avg': {'precision': 0.7572792524377031; 'recall': 0.7077464788732394; 'f1-score': 0.643131402409945; 'support': 284}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 12}; '1.0': {'precision': 0.625; 'recall': 1.0; 'f1-score': 0.7692307692307693; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.3125; 'recall': 0.5; 'f1-score': 0.38461538461538464; 'support': 32}; 'weighted avg': {'precision': 0.390625; 'recall': 0.625; 'f1-score': 0.4807692307692308; 'support': 32}}
l: 5,1,CNF,5,284,32,35,[8; 9],222,1.803980,0.718750,1,[X6 >= 0.029375],{'0.0': {'precision': 0.9642857142857143; 'recall': 0.5346534653465347; 'f1-score': 0.6878980891719746; 'support': 101}; '1.0': {'precision': 0.793859649122807; 'recall': 0.9890710382513661; 'f1-score': 0.8807785888077859; 'support': 183}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.8790726817042607; 'recall': 0.7618622517989504; 'f1-score': 0.7843383389898803; 'support': 284}; 'weighted avg': {'precision': 0.8544689187758128; 'recall': 0.8274647887323944; 'f1-score': 0.8121837632330783; 'support': 284}},{'0.0': {'precision': 0.8; 'recall': 0.3333333333333333; 'f1-score': 0.47058823529411764; 'support': 12}; '1.0': {'precision': 0.7037037037037037; 'recall': 0.95; 'f1-score': 0.8085106382978724; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7518518518518519; 'recall': 0.6416666666666666; 'f1-score': 0.6395494367959951; 'support': 32}; 'weighted avg': {'precision': 0.7398148148148149; 'recall': 0.71875; 'f1-score': 0.6817897371714643; 'support': 32}}
l: 5,1,CNF,6,285,31,35,[8; 9],222,1.809330,0.838710,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.47058823529411764; 'f1-score': 0.6399999999999999; 'support': 102}; '1.0': {'precision': 0.7721518987341772; 'recall': 1.0; 'f1-score': 0.8714285714285713; 'support': 183}; 'accuracy': 0.8105263157894737; 'macro avg': {'precision': 0.8860759493670887; 'recall': 0.7352941176470589; 'f1-score': 0.7557142857142856; 'support': 285}; 'weighted avg': {'precision': 0.8536975349766822; 'recall': 0.8105263157894737; 'f1-score': 0.7886015037593984; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
l: 5,1,CNF,7,285,31,35,[8; 9],222,1.708938,0.774194,1,[X26 < 0.999945],{'0.0': {'precision': 0.8378378378378378; 'recall': 0.6078431372549019; 'f1-score': 0.7045454545454545; 'support': 102}; '1.0': {'precision': 0.8104265402843602; 'recall': 0.9344262295081968; 'f1-score': 0.868020304568528; 'support': 183}; 'accuracy': 0.8175438596491228; 'macro avg': {'precision': 0.8241321890610991; 'recall': 0.7711346833815493; 'f1-score': 0.7862828795569912; 'support': 285}; 'weighted avg': {'precision': 0.8202368994087628; 'recall': 0.8175438596491228; 'f1-score': 0.8095135161392174; 'support': 285}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7966666666666666; 'recall': 0.7022727272727273; 'f1-score': 0.7163398692810458; 'support': 31}; 'weighted avg': {'precision': 0.7860215053763441; 'recall': 0.7741935483870968; 'f1-score': 0.7535315201349357; 'support': 31}}
l: 5,1,CNF,8,285,31,35,[8; 9],222,1.842688,0.580645,2,[X2 >= 0.998505 OR X4 < 0.995175],{'0.0': {'precision': 0.6818181818181818; 'recall': 0.14705882352941177; 'f1-score': 0.24193548387096775; 'support': 102}; '1.0': {'precision': 0.6692015209125475; 'recall': 0.9617486338797814; 'f1-score': 0.7892376681614349; 'support': 183}; 'accuracy': 0.6701754385964912; 'macro avg': {'precision': 0.6755098513653646; 'recall': 0.5544037287045965; 'f1-score': 0.5155865760162013; 'support': 285}; 'weighted avg': {'precision': 0.6737169574471955; 'recall': 0.6701754385964912; 'f1-score': 0.5933610969416888; 'support': 285}},{'0.0': {'precision': 0.25; 'recall': 0.09090909090909091; 'f1-score': 0.13333333333333333; 'support': 11}; '1.0': {'precision': 0.6296296296296297; 'recall': 0.85; 'f1-score': 0.723404255319149; 'support': 20}; 'accuracy': 0.5806451612903226; 'macro avg': {'precision': 0.4398148148148148; 'recall': 0.47045454545454546; 'f1-score': 0.42836879432624114; 'support': 31}; 'weighted avg': {'precision': 0.49492234169653526; 'recall': 0.5806451612903226; 'f1-score': 0.514024250743537; 'support': 31}}
l: 5,1,CNF,9,285,31,35,[8; 9],222,1.995885,0.580645,1,[X3 >= -0.000170],{'0.0': {'precision': 0.45098039215686275; 'recall': 0.45098039215686275; 'f1-score': 0.45098039215686275; 'support': 102}; '1.0': {'precision': 0.6939890710382514; 'recall': 0.6939890710382514; 'f1-score': 0.6939890710382514; 'support': 183}; 'accuracy': 0.6070175438596491; 'macro avg': {'precision': 0.5724847315975571; 'recall': 0.5724847315975571; 'f1-score': 0.5724847315975571; 'support': 285}; 'weighted avg': {'precision': 0.6070175438596491; 'recall': 0.6070175438596491; 'f1-score': 0.6070175438596491; 'support': 285}},{'0.0': {'precision': 0.4375; 'recall': 0.6363636363636364; 'f1-score': 0.5185185185185185; 'support': 11}; '1.0': {'precision': 0.7333333333333333; 'recall': 0.55; 'f1-score': 0.6285714285714286; 'support': 20}; 'accuracy': 0.5806451612903226; 'macro avg': {'precision': 0.5854166666666667; 'recall': 0.5931818181818183; 'f1-score': 0.5735449735449736; 'support': 31}; 'weighted avg': {'precision': 0.6283602150537634; 'recall': 0.5806451612903226; 'f1-score': 0.5895203959720089; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 35}, (mean val acc cv) 0.721169 (+- 0.088876), (mean training time) 1.665441 (+- 0.196235)
