l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,1,[284; 284],222,14.700062,0.812500,1,[X26 < 0.999945],{'0.0': {'precision': 0.8714285714285714; 'recall': 0.5980392156862745; 'f1-score': 0.7093023255813954; 'support': 102}; '1.0': {'precision': 0.8084112149532711; 'recall': 0.9505494505494505; 'f1-score': 0.8737373737373737; 'support': 182}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8399198931909213; 'recall': 0.7742943331178624; 'f1-score': 0.7915198496593845; 'support': 284}; 'weighted avg': {'precision': 0.8310442091803156; 'recall': 0.823943661971831; 'f1-score': 0.8146797155968463; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 0.9523809523809523; 'f1-score': 0.8695652173913043; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8285714285714285; 'recall': 0.7489177489177489; 'f1-score': 0.7681159420289854; 'support': 32}; 'weighted avg': {'precision': 0.8196428571428571; 'recall': 0.8125; 'f1-score': 0.7998188405797101; 'support': 32}}
l: 5,1,CNF,1,284,32,1,[284; 284],222,15.409035,0.781250,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5098039215686274; 'f1-score': 0.6753246753246753; 'support': 102}; '1.0': {'precision': 0.7844827586206896; 'recall': 1.0; 'f1-score': 0.8792270531400966; 'support': 182}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8922413793103448; 'recall': 0.7549019607843137; 'f1-score': 0.777275864232386; 'support': 284}; 'weighted avg': {'precision': 0.8618868382710053; 'recall': 0.823943661971831; 'f1-score': 0.8059945089951214; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
l: 5,1,CNF,2,284,32,1,[284; 284],222,15.276165,0.781250,1,[X26 < 0.999945],{'0.0': {'precision': 0.863013698630137; 'recall': 0.6176470588235294; 'f1-score': 0.7200000000000001; 'support': 102}; '1.0': {'precision': 0.8151658767772512; 'recall': 0.945054945054945; 'f1-score': 0.8753180661577608; 'support': 182}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.839089787703694; 'recall': 0.7813510019392372; 'f1-score': 0.7976590330788804; 'support': 284}; 'weighted avg': {'precision': 0.8323506578652594; 'recall': 0.8274647887323944; 'f1-score': 0.8195348170447623; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
l: 5,1,CNF,3,284,32,1,[284; 284],222,18.710171,0.875000,1,[X26 < 0.999945],{'0.0': {'precision': 0.8656716417910447; 'recall': 0.5742574257425742; 'f1-score': 0.6904761904761905; 'support': 101}; '1.0': {'precision': 0.8018433179723502; 'recall': 0.9508196721311475; 'f1-score': 0.8699999999999999; 'support': 183}; 'accuracy': 0.8169014084507042; 'macro avg': {'precision': 0.8337574798816975; 'recall': 0.7625385489368608; 'f1-score': 0.7802380952380952; 'support': 284}; 'weighted avg': {'precision': 0.8245428274994212; 'recall': 0.8169014084507042; 'f1-score': 0.8061552649228705; 'support': 284}},{'0.0': {'precision': 0.9; 'recall': 0.75; 'f1-score': 0.8181818181818182; 'support': 12}; '1.0': {'precision': 0.8636363636363636; 'recall': 0.95; 'f1-score': 0.9047619047619048; 'support': 20}; 'accuracy': 0.875; 'macro avg': {'precision': 0.8818181818181818; 'recall': 0.85; 'f1-score': 0.8614718614718615; 'support': 32}; 'weighted avg': {'precision': 0.8772727272727273; 'recall': 0.875; 'f1-score': 0.8722943722943723; 'support': 32}}
l: 5,1,CNF,4,284,32,1,[284; 284],222,21.622726,0.812500,1,[X26 < 0.999945],{'0.0': {'precision': 0.8805970149253731; 'recall': 0.5841584158415841; 'f1-score': 0.7023809523809523; 'support': 101}; '1.0': {'precision': 0.8064516129032258; 'recall': 0.9562841530054644; 'f1-score': 0.875; 'support': 183}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8435243139142994; 'recall': 0.7702212844235243; 'f1-score': 0.7886904761904762; 'support': 284}; 'weighted avg': {'precision': 0.83282022418575; 'recall': 0.823943661971831; 'f1-score': 0.8136108316566063; 'support': 284}},{'0.0': {'precision': 0.8; 'recall': 0.6666666666666666; 'f1-score': 0.7272727272727272; 'support': 12}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9; 'f1-score': 0.8571428571428572; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8090909090909091; 'recall': 0.7833333333333333; 'f1-score': 0.7922077922077921; 'support': 32}; 'weighted avg': {'precision': 0.8113636363636364; 'recall': 0.8125; 'f1-score': 0.8084415584415585; 'support': 32}}
l: 5,1,CNF,5,284,32,1,[284; 284],222,14.583671,0.718750,1,[X26 < 0.999945],{'0.0': {'precision': 0.8857142857142857; 'recall': 0.6138613861386139; 'f1-score': 0.7251461988304092; 'support': 101}; '1.0': {'precision': 0.8177570093457944; 'recall': 0.9562841530054644; 'f1-score': 0.8816120906801007; 'support': 183}; 'accuracy': 0.8345070422535211; 'macro avg': {'precision': 0.85173564753004; 'recall': 0.7850727695720392; 'f1-score': 0.803379144755255; 'support': 284}; 'weighted avg': {'precision': 0.8419249139698001; 'recall': 0.8345070422535211; 'f1-score': 0.8259675305504568; 'support': 284}},{'0.0': {'precision': 0.7142857142857143; 'recall': 0.4166666666666667; 'f1-score': 0.5263157894736842; 'support': 12}; '1.0': {'precision': 0.72; 'recall': 0.9; 'f1-score': 0.7999999999999999; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7171428571428571; 'recall': 0.6583333333333333; 'f1-score': 0.6631578947368421; 'support': 32}; 'weighted avg': {'precision': 0.7178571428571427; 'recall': 0.71875; 'f1-score': 0.6973684210526315; 'support': 32}}
l: 5,1,CNF,6,285,31,1,[285; 285],222,16.579820,0.774194,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5098039215686274; 'f1-score': 0.6753246753246753; 'support': 102}; '1.0': {'precision': 0.7854077253218884; 'recall': 1.0; 'f1-score': 0.8798076923076923; 'support': 183}; 'accuracy': 0.8245614035087719; 'macro avg': {'precision': 0.8927038626609443; 'recall': 0.7549019607843137; 'f1-score': 0.7775661838161838; 'support': 285}; 'weighted avg': {'precision': 0.8622091709961599; 'recall': 0.8245614035087719; 'f1-score': 0.8066242967558757; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
l: 5,1,CNF,7,285,31,1,[285; 285],222,13.397492,0.870968,1,[X26 < 0.999945],{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5882352941176471; 'f1-score': 0.6976744186046512; 'support': 102}; '1.0': {'precision': 0.8046511627906977; 'recall': 0.9453551912568307; 'f1-score': 0.8693467336683418; 'support': 183}; 'accuracy': 0.8175438596491228; 'macro avg': {'precision': 0.8308970099667774; 'recall': 0.7667952426872389; 'f1-score': 0.7835105761364964; 'support': 285}; 'weighted avg': {'precision': 0.82343766392726; 'recall': 0.8175438596491228; 'f1-score': 0.8079061156455474; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
l: 5,1,CNF,8,285,31,1,[285; 285],222,15.923991,0.741935,1,[X26 < 0.999945],{'0.0': {'precision': 0.875; 'recall': 0.6176470588235294; 'f1-score': 0.7241379310344829; 'support': 102}; '1.0': {'precision': 0.8169014084507042; 'recall': 0.9508196721311475; 'f1-score': 0.8787878787878788; 'support': 183}; 'accuracy': 0.8315789473684211; 'macro avg': {'precision': 0.8459507042253521; 'recall': 0.7842333654773385; 'f1-score': 0.8014629049111808; 'support': 285}; 'weighted avg': {'precision': 0.8376945885841364; 'recall': 0.8315789473684211; 'f1-score': 0.8234394764340318; 'support': 285}},{'0.0': {'precision': 0.8; 'recall': 0.36363636363636365; 'f1-score': 0.5000000000000001; 'support': 11}; '1.0': {'precision': 0.7307692307692307; 'recall': 0.95; 'f1-score': 0.8260869565217392; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.7653846153846153; 'recall': 0.6568181818181817; 'f1-score': 0.6630434782608696; 'support': 31}; 'weighted avg': {'precision': 0.7553349875930522; 'recall': 0.7419354838709677; 'f1-score': 0.7103786816269285; 'support': 31}}
l: 5,1,CNF,9,285,31,1,[285; 285],222,15.045042,0.774194,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5098039215686274; 'f1-score': 0.6753246753246753; 'support': 102}; '1.0': {'precision': 0.7854077253218884; 'recall': 1.0; 'f1-score': 0.8798076923076923; 'support': 183}; 'accuracy': 0.8245614035087719; 'macro avg': {'precision': 0.8927038626609443; 'recall': 0.7549019607843137; 'f1-score': 0.7775661838161838; 'support': 285}; 'weighted avg': {'precision': 0.8622091709961599; 'recall': 0.8245614035087719; 'f1-score': 0.8066242967558757; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [285, 285], 'n_partitions': 1}, (mean val acc cv) 0.794254 (+- 0.047594), (mean training time) 16.124817 (+- 2.267162)
