l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],14,0.348150,0.698113,5,[X1 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5471698113207547; 'recall': 0.21804511278195488; 'f1-score': 0.3118279569892473; 'support': 133}; '1.0': {'precision': 0.7493975903614458; 'recall': 0.9283582089552239; 'f1-score': 0.8293333333333335; 'support': 335}; 'accuracy': 0.7264957264957265; 'macro avg': {'precision': 0.6482837008411002; 'recall': 0.5732016608685894; 'f1-score': 0.5705806451612904; 'support': 468}; 'weighted avg': {'precision': 0.6919268753776596; 'recall': 0.7264957264957265; 'f1-score': 0.6822644977483688; 'support': 468}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9210526315789473; 'f1-score': 0.8139534883720931; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5645833333333333; 'recall': 0.5271929824561403; 'f1-score': 0.5069767441860465; 'support': 53}; 'weighted avg': {'precision': 0.636006289308176; 'recall': 0.6981132075471698; 'f1-score': 0.6401930671347082; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],14,0.276500,0.692308,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5255474452554745; 'recall': 0.5373134328358209; 'f1-score': 0.5313653136531366; 'support': 134}; '1.0': {'precision': 0.8132530120481928; 'recall': 0.8059701492537313; 'f1-score': 0.8095952023988006; 'support': 335}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.6694002286518337; 'recall': 0.6716417910447761; 'f1-score': 0.6704802580259686; 'support': 469}; 'weighted avg': {'precision': 0.7310514215359877; 'recall': 0.7292110874200426; 'f1-score': 0.730100948471468; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.42857142857142855; 'f1-score': 0.42857142857142855; 'support': 14}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.7894736842105263; 'f1-score': 0.7894736842105263; 'support': 38}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6090225563909775; 'recall': 0.6090225563909775; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.6923076923076923; 'recall': 0.6923076923076923; 'f1-score': 0.6923076923076923; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],14,0.151947,0.673077,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5289855072463768; 'recall': 0.5447761194029851; 'f1-score': 0.5367647058823529; 'support': 134}; '1.0': {'precision': 0.8157099697885196; 'recall': 0.8059701492537313; 'f1-score': 0.8108108108108109; 'support': 335}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6723477385174482; 'recall': 0.6753731343283582; 'f1-score': 0.6737877583465819; 'support': 469}; 'weighted avg': {'precision': 0.7337886947764788; 'recall': 0.7313432835820896; 'f1-score': 0.7325119236883942; 'support': 469}},{'0.0': {'precision': 0.38461538461538464; 'recall': 0.35714285714285715; 'f1-score': 0.3703703703703704; 'support': 14}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.7894736842105263; 'f1-score': 0.7792207792207793; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.576923076923077; 'recall': 0.5733082706766918; 'f1-score': 0.5747955747955749; 'support': 52}; 'weighted avg': {'precision': 0.6656804733727811; 'recall': 0.6730769230769231; 'f1-score': 0.6691456691456691; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],14,0.250454,0.711538,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5185185185185185; 'recall': 0.5263157894736842; 'f1-score': 0.5223880597014925; 'support': 133}; '1.0': {'precision': 0.811377245508982; 'recall': 0.8065476190476191; 'f1-score': 0.8089552238805969; 'support': 336}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6649478820137502; 'recall': 0.6664317042606516; 'f1-score': 0.6656716417910447; 'support': 469}; 'weighted avg': {'precision': 0.7283277557654178; 'recall': 0.7270788912579957; 'f1-score': 0.727689908665627; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],14,0.245319,0.673077,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.56; 'recall': 0.10526315789473684; 'f1-score': 0.17721518987341772; 'support': 133}; '1.0': {'precision': 0.7319819819819819; 'recall': 0.9672619047619048; 'f1-score': 0.8333333333333333; 'support': 336}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.645990990990991; 'recall': 0.5362625313283208; 'f1-score': 0.5052742616033755; 'support': 469}; 'weighted avg': {'precision': 0.6832109721661961; 'recall': 0.7228144989339019; 'f1-score': 0.6472699792178348; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.06666666666666667; 'f1-score': 0.10526315789473685; 'support': 15}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.918918918918919; 'f1-score': 0.8000000000000002; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4791666666666667; 'recall': 0.4927927927927928; 'f1-score': 0.4526315789473685; 'support': 52}; 'weighted avg': {'precision': 0.5761217948717949; 'recall': 0.6730769230769231; 'f1-score': 0.599595141700405; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],14,0.228055,0.692308,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5223880597014925; 'recall': 0.5263157894736842; 'f1-score': 0.5243445692883896; 'support': 133}; '1.0': {'precision': 0.8119402985074626; 'recall': 0.8095238095238095; 'f1-score': 0.8107302533532041; 'support': 336}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.6671641791044776; 'recall': 0.6679197994987469; 'f1-score': 0.6675374113207968; 'support': 469}; 'weighted avg': {'precision': 0.7298284695923368; 'recall': 0.7292110874200426; 'f1-score': 0.7295164026482568; 'support': 469}},{'0.0': {'precision': 0.47058823529411764; 'recall': 0.5333333333333333; 'f1-score': 0.5; 'support': 15}; '1.0': {'precision': 0.8; 'recall': 0.7567567567567568; 'f1-score': 0.7777777777777778; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6352941176470588; 'recall': 0.6450450450450451; 'f1-score': 0.6388888888888888; 'support': 52}; 'weighted avg': {'precision': 0.7049773755656108; 'recall': 0.6923076923076923; 'f1-score': 0.6976495726495726; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],14,0.250950,0.730769,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5147058823529411; 'recall': 0.5263157894736842; 'f1-score': 0.5204460966542751; 'support': 133}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.8035714285714286; 'f1-score': 0.8071748878923768; 'support': 336}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.662758346581876; 'recall': 0.6649436090225564; 'f1-score': 0.6638104922733259; 'support': 469}; 'weighted avg': {'precision': 0.726840756472012; 'recall': 0.7249466950959488; 'f1-score': 0.7258637381382883; 'support': 469}},{'0.0': {'precision': 0.5333333333333333; 'recall': 0.5333333333333333; 'f1-score': 0.5333333333333333; 'support': 15}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.8108108108108109; 'f1-score': 0.8108108108108109; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6720720720720721; 'recall': 0.6720720720720721; 'f1-score': 0.6720720720720721; 'support': 52}; 'weighted avg': {'precision': 0.7307692307692307; 'recall': 0.7307692307692307; 'f1-score': 0.7307692307692307; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],14,0.219482,0.653846,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5307692307692308; 'recall': 0.518796992481203; 'f1-score': 0.5247148288973386; 'support': 133}; '1.0': {'precision': 0.8112094395280236; 'recall': 0.8184523809523809; 'f1-score': 0.8148148148148148; 'support': 336}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6709893351486271; 'recall': 0.668624686716792; 'f1-score': 0.6697648218560767; 'support': 469}; 'weighted avg': {'precision': 0.7316816191337392; 'recall': 0.7334754797441365; 'f1-score': 0.7325476546292619; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.6; 'f1-score': 0.5; 'support': 15}; '1.0': {'precision': 0.8064516129032258; 'recall': 0.6756756756756757; 'f1-score': 0.7352941176470588; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6175115207373272; 'recall': 0.6378378378378378; 'f1-score': 0.6176470588235294; 'support': 52}; 'weighted avg': {'precision': 0.6974477135767458; 'recall': 0.6538461538461539; 'f1-score': 0.667420814479638; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],14,0.369390,0.711538,4,[X1 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5283018867924528; 'recall': 0.21052631578947367; 'f1-score': 0.3010752688172043; 'support': 133}; '1.0': {'precision': 0.7475961538461539; 'recall': 0.9255952380952381; 'f1-score': 0.8271276595744681; 'support': 336}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6379490203193033; 'recall': 0.5680607769423559; 'f1-score': 0.5641014641958362; 'support': 469}; 'weighted avg': {'precision': 0.6854082273682387; 'recall': 0.7228144989339019; 'f1-score': 0.6779486233895724; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.2; 'f1-score': 0.28571428571428575; 'support': 15}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.918918918918919; 'f1-score': 0.8192771084337348; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6195652173913043; 'recall': 0.5594594594594595; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6701505016722407; 'recall': 0.7115384615384616; 'f1-score': 0.6653647557262014; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],14,0.266346,0.711538,5,[(NOT X1) OR X2 >= 1.650000 OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.6153846153846154; 'recall': 0.06015037593984962; 'f1-score': 0.1095890410958904; 'support': 133}; '1.0': {'precision': 0.7258771929824561; 'recall': 0.9851190476190477; 'f1-score': 0.835858585858586; 'support': 336}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6706309041835358; 'recall': 0.5226347117794486; 'f1-score': 0.4727238134772382; 'support': 469}; 'weighted avg': {'precision': 0.6945434769472476; 'recall': 0.7228144989339019; 'f1-score': 0.6299015507766275; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.972972972972973; 'f1-score': 0.8275862068965518; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.61; 'recall': 0.5198198198198198; 'f1-score': 0.47261663286004063; 'support': 52}; 'weighted avg': {'precision': 0.6565384615384615; 'recall': 0.7115384615384616; 'f1-score': 0.6227960680293337; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.694811 (+- 0.021860), (mean training time) 0.260659 (+- 0.058967)
