l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,605,68,75,[8; 9],64,1.489030,0.529412,1,[X1 >= 4.000000],{'0': {'precision': 0.8556338028169014; 'recall': 0.527114967462039; 'f1-score': 0.6523489932885905; 'support': 461}; '1': {'precision': 0.32087227414330216; 'recall': 0.7152777777777778; 'f1-score': 0.443010752688172; 'support': 144}; 'accuracy': 0.571900826446281; 'macro avg': {'precision': 0.5882530384801018; 'recall': 0.6211963726199083; 'f1-score': 0.5476798729883813; 'support': 605}; 'weighted avg': {'precision': 0.728351719959053; 'recall': 0.571900826446281; 'f1-score': 0.6025230318894826; 'support': 605}},{'0': {'precision': 0.8571428571428571; 'recall': 0.46153846153846156; 'f1-score': 0.6; 'support': 52}; '1': {'precision': 0.3; 'recall': 0.75; 'f1-score': 0.4285714285714285; 'support': 16}; 'accuracy': 0.5294117647058824; 'macro avg': {'precision': 0.5785714285714285; 'recall': 0.6057692307692308; 'f1-score': 0.5142857142857142; 'support': 68}; 'weighted avg': {'precision': 0.7260504201680672; 'recall': 0.5294117647058824; 'f1-score': 0.5596638655462185; 'support': 68}}
l: 5,1,CNF,1,605,68,75,[8; 9],64,1.955468,0.617647,1,[X0 < 4.000000],{'0': {'precision': 0.8120805369127517; 'recall': 0.7874186550976139; 'f1-score': 0.7995594713656388; 'support': 461}; '1': {'precision': 0.379746835443038; 'recall': 0.4166666666666667; 'f1-score': 0.3973509933774834; 'support': 144}; 'accuracy': 0.6991735537190082; 'macro avg': {'precision': 0.5959136861778949; 'recall': 0.6020426608821403; 'f1-score': 0.5984552323715611; 'support': 605}; 'weighted avg': {'precision': 0.7091779699513653; 'recall': 0.6991735537190082; 'f1-score': 0.7038272055304415; 'support': 605}},{'0': {'precision': 0.782608695652174; 'recall': 0.6923076923076923; 'f1-score': 0.7346938775510203; 'support': 52}; '1': {'precision': 0.2727272727272727; 'recall': 0.375; 'f1-score': 0.3157894736842105; 'support': 16}; 'accuracy': 0.6176470588235294; 'macro avg': {'precision': 0.5276679841897234; 'recall': 0.5336538461538461; 'f1-score': 0.5252416756176155; 'support': 68}; 'weighted avg': {'precision': 0.6626365961404325; 'recall': 0.6176470588235294; 'f1-score': 0.6361281354647121; 'support': 68}}
l: 5,1,CNF,2,605,68,75,[8; 9],64,1.780815,0.750000,1,[X0 < 2.000000],{'0': {'precision': 0.7626262626262627; 'recall': 0.982646420824295; 'f1-score': 0.8587677725118483; 'support': 461}; '1': {'precision': 0.2727272727272727; 'recall': 0.020833333333333332; 'f1-score': 0.03870967741935484; 'support': 144}; 'accuracy': 0.7537190082644628; 'macro avg': {'precision': 0.5176767676767677; 'recall': 0.5017398770788142; 'f1-score': 0.4487387249656016; 'support': 605}; 'weighted avg': {'precision': 0.6460222055263378; 'recall': 0.7537190082644628; 'f1-score': 0.6635803912005771; 'support': 605}},{'0': {'precision': 0.7611940298507462; 'recall': 0.9807692307692307; 'f1-score': 0.8571428571428572; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.75; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.49038461538461536; 'f1-score': 0.4285714285714286; 'support': 68}; 'weighted avg': {'precision': 0.582089552238806; 'recall': 0.75; 'f1-score': 0.6554621848739497; 'support': 68}}
l: 5,1,CNF,3,606,67,75,[8; 9],64,1.623931,0.731343,1,[X0 < 2.000000],{'0': {'precision': 0.7634228187919463; 'recall': 0.9848484848484849; 'f1-score': 0.8601134215500945; 'support': 462}; '1': {'precision': 0.3; 'recall': 0.020833333333333332; 'f1-score': 0.03896103896103896; 'support': 144}; 'accuracy': 0.7557755775577558; 'macro avg': {'precision': 0.5317114093959732; 'recall': 0.5028409090909091; 'f1-score': 0.44953723025556674; 'support': 606}; 'weighted avg': {'precision': 0.6533025450196026; 'recall': 0.7557755775577558; 'f1-score': 0.6649881029150715; 'support': 606}},{'0': {'precision': 0.7538461538461538; 'recall': 0.9607843137254902; 'f1-score': 0.8448275862068965; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.3769230769230769; 'recall': 0.4803921568627451; 'f1-score': 0.42241379310344823; 'support': 67}; 'weighted avg': {'precision': 0.5738231917336395; 'recall': 0.7313432835820896; 'f1-score': 0.6430777148739063; 'support': 67}}
l: 5,1,CNF,4,606,67,75,[8; 9],64,2.265075,0.597015,1,[X3 < 14.000000],{'0': {'precision': 0.7704590818363274; 'recall': 0.8354978354978355; 'f1-score': 0.801661474558671; 'support': 462}; '1': {'precision': 0.2761904761904762; 'recall': 0.2013888888888889; 'f1-score': 0.23293172690763053; 'support': 144}; 'accuracy': 0.6848184818481848; 'macro avg': {'precision': 0.5233247790134018; 'recall': 0.5184433621933622; 'f1-score': 0.5172966007331508; 'support': 606}; 'weighted avg': {'precision': 0.6530091161383033; 'recall': 0.6848184818481848; 'f1-score': 0.6665177721465426; 'support': 606}},{'0': {'precision': 0.7307692307692307; 'recall': 0.7450980392156863; 'f1-score': 0.7378640776699028; 'support': 51}; '1': {'precision': 0.13333333333333333; 'recall': 0.125; 'f1-score': 0.12903225806451615; 'support': 16}; 'accuracy': 0.5970149253731343; 'macro avg': {'precision': 0.432051282051282; 'recall': 0.43504901960784315; 'f1-score': 0.43344816786720947; 'support': 67}; 'weighted avg': {'precision': 0.5880979716800612; 'recall': 0.5970149253731343; 'f1-score': 0.592471404331303; 'support': 67}}
l: 5,1,CNF,5,606,67,75,[8; 9],64,2.006340,0.671642,1,[X0 < 4.000000],{'0': {'precision': 0.8080357142857143; 'recall': 0.7835497835497836; 'f1-score': 0.7956043956043956; 'support': 462}; '1': {'precision': 0.3670886075949367; 'recall': 0.4027777777777778; 'f1-score': 0.3841059602649006; 'support': 144}; 'accuracy': 0.693069306930693; 'macro avg': {'precision': 0.5875621609403255; 'recall': 0.5931637806637806; 'f1-score': 0.5898551779346481; 'support': 606}; 'weighted avg': {'precision': 0.7032562037849355; 'recall': 0.693069306930693; 'f1-score': 0.6978225891870897; 'support': 606}},{'0': {'precision': 0.8222222222222222; 'recall': 0.7254901960784313; 'f1-score': 0.7708333333333334; 'support': 51}; '1': {'precision': 0.36363636363636365; 'recall': 0.5; 'f1-score': 0.4210526315789474; 'support': 16}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.5929292929292929; 'recall': 0.6127450980392157; 'f1-score': 0.5959429824561404; 'support': 67}; 'weighted avg': {'precision': 0.7127091813658978; 'recall': 0.6716417910447762; 'f1-score': 0.6873036135113905; 'support': 67}}
l: 5,1,CNF,6,606,67,75,[8; 9],64,2.073126,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,7,606,67,75,[8; 9],64,2.023425,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,8,606,67,75,[8; 9],64,1.931953,0.462687,2,[X0 < 2.000000 OR X3 >= 35.000000],{'0': {'precision': 0.7617647058823529; 'recall': 0.5606060606060606; 'f1-score': 0.6458852867830424; 'support': 462}; '1': {'precision': 0.23684210526315788; 'recall': 0.4375; 'f1-score': 0.3073170731707317; 'support': 144}; 'accuracy': 0.5313531353135313; 'macro avg': {'precision': 0.4993034055727554; 'recall': 0.4990530303030303; 'f1-score': 0.476601179976887; 'support': 606}; 'weighted avg': {'precision': 0.6370306225669007; 'recall': 0.5313531353135313; 'f1-score': 0.5654334340434835; 'support': 606}},{'0': {'precision': 0.7027027027027027; 'recall': 0.5098039215686274; 'f1-score': 0.5909090909090909; 'support': 51}; '1': {'precision': 0.16666666666666666; 'recall': 0.3125; 'f1-score': 0.21739130434782608; 'support': 16}; 'accuracy': 0.4626865671641791; 'macro avg': {'precision': 0.4346846846846847; 'recall': 0.4111519607843137; 'f1-score': 0.4041501976284585; 'support': 67}; 'weighted avg': {'precision': 0.5746940970821568; 'recall': 0.4626865671641791; 'f1-score': 0.5017108135213262; 'support': 67}}
l: 5,1,CNF,9,606,67,75,[8; 9],64,1.912327,0.746269,2,[X0 < 4.000000 OR X3 < 4.000000],{'0': {'precision': 0.8100686498855835; 'recall': 0.7662337662337663; 'f1-score': 0.7875417130144605; 'support': 462}; '1': {'precision': 0.3609467455621302; 'recall': 0.4236111111111111; 'f1-score': 0.38977635782747605; 'support': 144}; 'accuracy': 0.6848184818481848; 'macro avg': {'precision': 0.5855076977238568; 'recall': 0.5949224386724387; 'f1-score': 0.5886590354209683; 'support': 606}; 'weighted avg': {'precision': 0.7033466132146639; 'recall': 0.6848184818481848; 'f1-score': 0.6930232127720087; 'support': 606}},{'0': {'precision': 0.8035714285714286; 'recall': 0.8823529411764706; 'f1-score': 0.8411214953271029; 'support': 51}; '1': {'precision': 0.45454545454545453; 'recall': 0.3125; 'f1-score': 0.3703703703703703; 'support': 16}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.6290584415584416; 'recall': 0.5974264705882353; 'f1-score': 0.6057459328487366; 'support': 67}; 'weighted avg': {'precision': 0.7202219422368676; 'recall': 0.746268656716418; 'f1-score': 0.7287033162329578; 'support': 67}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 75}, (mean val acc cv) 0.662840 (+- 0.101447), (mean training time) 1.906149 (+- 0.212834)
