l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,57,[8; 9],122,1.121440,0.884615,1,[X22 >= 117.450000],{'0.0': {'precision': 0.8913043478260869; 'recall': 0.9930795847750865; 'f1-score': 0.9394435351882161; 'support': 289}; '1.0': {'precision': 0.9855072463768116; 'recall': 0.7953216374269005; 'f1-score': 0.8802588996763754; 'support': 171}; 'accuracy': 0.9195652173913044; 'macro avg': {'precision': 0.9384057971014492; 'recall': 0.8942006111009935; 'f1-score': 0.9098512174322957; 'support': 460}; 'weighted avg': {'precision': 0.9263232514177693; 'recall': 0.9195652173913044; 'f1-score': 0.9174422902479448; 'support': 460}},{'0.0': {'precision': 0.8421052631578947; 'recall': 1.0; 'f1-score': 0.9142857142857143; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7; 'f1-score': 0.8235294117647058; 'support': 20}; 'accuracy': 0.8846153846153846; 'macro avg': {'precision': 0.9210526315789473; 'recall': 0.85; 'f1-score': 0.8689075630252101; 'support': 52}; 'weighted avg': {'precision': 0.902834008097166; 'recall': 0.8846153846153846; 'f1-score': 0.8793794440853263; 'support': 52}}
l: 5,1,CNF,1,460,52,57,[8; 9],122,1.199354,0.903846,2,[X7 >= 0.051420 OR X20 >= 18.225000],{'0.0': {'precision': 0.9597069597069597; 'recall': 0.9097222222222222; 'f1-score': 0.9340463458110517; 'support': 288}; '1.0': {'precision': 0.8609625668449198; 'recall': 0.936046511627907; 'f1-score': 0.8969359331476323; 'support': 172}; 'accuracy': 0.9195652173913044; 'macro avg': {'precision': 0.9103347632759398; 'recall': 0.9228843669250646; 'f1-score': 0.915491139479342; 'support': 460}; 'weighted avg': {'precision': 0.9227851432455012; 'recall': 0.9195652173913044; 'f1-score': 0.9201702784673385; 'support': 460}},{'0.0': {'precision': 0.8888888888888888; 'recall': 0.9696969696969697; 'f1-score': 0.927536231884058; 'support': 33}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9131944444444444; 'recall': 0.879585326953748; 'f1-score': 0.8923395445134576; 'support': 52}; 'weighted avg': {'precision': 0.906650641025641; 'recall': 0.9038461538461539; 'f1-score': 0.9018155757286193; 'support': 52}}
l: 5,1,CNF,2,461,51,57,[8; 9],122,1.202297,0.745098,1,[X21 >= 29.295000],{'0.0': {'precision': 0.7304347826086957; 'recall': 0.8719723183391004; 'f1-score': 0.7949526813880127; 'support': 289}; '1.0': {'precision': 0.6810344827586207; 'recall': 0.45930232558139533; 'f1-score': 0.548611111111111; 'support': 172}; 'accuracy': 0.7180043383947939; 'macro avg': {'precision': 0.7057346326836582; 'recall': 0.6656373219602478; 'f1-score': 0.6717818962495619; 'support': 461}; 'weighted avg': {'precision': 0.712003434291531; 'recall': 0.7180043383947939; 'f1-score': 0.703042160590557; 'support': 461}},{'0.0': {'precision': 0.7567567567567568; 'recall': 0.875; 'f1-score': 0.8115942028985507; 'support': 32}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.5263157894736842; 'f1-score': 0.6060606060606061; 'support': 19}; 'accuracy': 0.7450980392156863; 'macro avg': {'precision': 0.7355212355212355; 'recall': 0.700657894736842; 'f1-score': 0.7088274044795784; 'support': 51}; 'weighted avg': {'precision': 0.7409342115224468; 'recall': 0.7450980392156863; 'f1-score': 0.7350228629001008; 'support': 51}}
l: 5,1,CNF,3,461,51,57,[8; 9],122,1.272708,0.960784,2,[X0 >= 15.045000 OR X23 >= 1214.000000],{'0.0': {'precision': 0.8691588785046729; 'recall': 0.9653979238754326; 'f1-score': 0.9147540983606557; 'support': 289}; '1.0': {'precision': 0.9285714285714286; 'recall': 0.7558139534883721; 'f1-score': 0.8333333333333334; 'support': 172}; 'accuracy': 0.8872017353579176; 'macro avg': {'precision': 0.8988651535380507; 'recall': 0.8606059386819023; 'f1-score': 0.8740437158469945; 'support': 461}; 'weighted avg': {'precision': 0.8913258169243735; 'recall': 0.8872017353579176; 'f1-score': 0.8843758519730213; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,CNF,4,461,51,57,[8; 9],122,1.257280,0.647059,2,[X0 >= 15.045000 OR X12 >= 1.751000],{'0.0': {'precision': 0.9481481481481482; 'recall': 0.4429065743944637; 'f1-score': 0.6037735849056604; 'support': 289}; '1.0': {'precision': 0.5061349693251533; 'recall': 0.9593023255813954; 'f1-score': 0.6626506024096386; 'support': 172}; 'accuracy': 0.6355748373101953; 'macro avg': {'precision': 0.7271415587366508; 'recall': 0.7011044499879295; 'f1-score': 0.6332120936576495; 'support': 461}; 'weighted avg': {'precision': 0.7832321681968356; 'recall': 0.6355748373101953; 'f1-score': 0.6257407150806804; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.4375; 'f1-score': 0.6086956521739131; 'support': 32}; '1.0': {'precision': 0.5135135135135135; 'recall': 1.0; 'f1-score': 0.6785714285714285; 'support': 19}; 'accuracy': 0.6470588235294118; 'macro avg': {'precision': 0.7567567567567568; 'recall': 0.71875; 'f1-score': 0.6436335403726707; 'support': 51}; 'weighted avg': {'precision': 0.8187599364069953; 'recall': 0.6470588235294118; 'f1-score': 0.6347278041651443; 'support': 51}}
l: 5,1,CNF,5,461,51,57,[8; 9],122,1.206514,0.901961,4,[X2 >= 85.250000 OR X3 >= 883.250000 OR X6 >= 0.119200 OR X7 >= 0.079005],{'0.0': {'precision': 0.9901960784313726; 'recall': 0.698961937716263; 'f1-score': 0.8194726166328601; 'support': 289}; '1.0': {'precision': 0.6614785992217899; 'recall': 0.9883720930232558; 'f1-score': 0.7925407925407926; 'support': 172}; 'accuracy': 0.806941431670282; 'macro avg': {'precision': 0.8258373388265812; 'recall': 0.8436670153697594; 'f1-score': 0.8060067045868263; 'support': 461}; 'weighted avg': {'precision': 0.867550945190487; 'recall': 0.806941431670282; 'f1-score': 0.8094243004857113; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.84375; 'f1-score': 0.9152542372881356; 'support': 32}; '1.0': {'precision': 0.7916666666666666; 'recall': 1.0; 'f1-score': 0.8837209302325582; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8958333333333333; 'recall': 0.921875; 'f1-score': 0.8994875837603469; 'support': 51}; 'weighted avg': {'precision': 0.9223856209150326; 'recall': 0.9019607843137255; 'f1-score': 0.9035065346595871; 'support': 51}}
l: 5,1,CNF,6,461,51,57,[8; 9],122,1.247828,0.882353,3,[X0 >= 15.045000 OR X20 >= 18.225000 OR X25 >= 0.281050],{'0.0': {'precision': 0.9758064516129032; 'recall': 0.8373702422145328; 'f1-score': 0.9013035381750465; 'support': 289}; '1.0': {'precision': 0.7793427230046949; 'recall': 0.9651162790697675; 'f1-score': 0.8623376623376624; 'support': 172}; 'accuracy': 0.8850325379609545; 'macro avg': {'precision': 0.877574587308799; 'recall': 0.9012432606421501; 'f1-score': 0.8818206002563544; 'support': 461}; 'weighted avg': {'precision': 0.902505450917433; 'recall': 0.8850325379609545; 'f1-score': 0.8867652938279097; 'support': 461}},{'0.0': {'precision': 0.9333333333333333; 'recall': 0.875; 'f1-score': 0.9032258064516129; 'support': 32}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.8947368421052632; 'f1-score': 0.8500000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8714285714285714; 'recall': 0.8848684210526316; 'f1-score': 0.8766129032258065; 'support': 51}; 'weighted avg': {'precision': 0.8872082166199813; 'recall': 0.8823529411764706; 'f1-score': 0.8833965844402277; 'support': 51}}
l: 5,1,CNF,7,461,51,57,[8; 9],122,1.273772,0.882353,1,[X7 >= 0.051420],{'0.0': {'precision': 0.9466192170818505; 'recall': 0.9204152249134948; 'f1-score': 0.9333333333333332; 'support': 289}; '1.0': {'precision': 0.8722222222222222; 'recall': 0.9127906976744186; 'f1-score': 0.8920454545454546; 'support': 172}; 'accuracy': 0.9175704989154013; 'macro avg': {'precision': 0.9094207196520363; 'recall': 0.9166029612939567; 'f1-score': 0.9126893939393939; 'support': 461}; 'weighted avg': {'precision': 0.9188615530561324; 'recall': 0.9175704989154013; 'f1-score': 0.9179287451521724; 'support': 461}},{'0.0': {'precision': 0.90625; 'recall': 0.90625; 'f1-score': 0.90625; 'support': 32}; '1.0': {'precision': 0.8421052631578947; 'recall': 0.8421052631578947; 'f1-score': 0.8421052631578947; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8741776315789473; 'recall': 0.8741776315789473; 'f1-score': 0.8741776315789473; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8823529411764706; 'support': 51}}
l: 5,1,CNF,8,461,51,57,[8; 9],122,1.257078,0.901961,2,[X20 >= 18.225000 OR X21 >= 29.295000],{'0.0': {'precision': 0.9094202898550725; 'recall': 0.8685121107266436; 'f1-score': 0.8884955752212389; 'support': 289}; '1.0': {'precision': 0.7945945945945946; 'recall': 0.8546511627906976; 'f1-score': 0.8235294117647058; 'support': 172}; 'accuracy': 0.8633405639913232; 'macro avg': {'precision': 0.8520074422248336; 'recall': 0.8615816367586706; 'f1-score': 0.8560124934929724; 'support': 461}; 'weighted avg': {'precision': 0.8665785987817487; 'recall': 0.8633405639913232; 'f1-score': 0.864256572803617; 'support': 461}},{'0.0': {'precision': 0.9655172413793104; 'recall': 0.875; 'f1-score': 0.9180327868852458; 'support': 32}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8918495297805643; 'recall': 0.9111842105263157; 'f1-score': 0.8980407836865254; 'support': 51}; 'weighted avg': {'precision': 0.9106275739135781; 'recall': 0.9019607843137255; 'f1-score': 0.9031367845018854; 'support': 51}}
l: 5,1,CNF,9,461,51,57,[8; 9],122,1.233776,0.705882,3,[X0 >= 15.045000 OR X5 >= 0.155250 OR X6 >= 0.089420],{'0.0': {'precision': 0.9699248120300752; 'recall': 0.8927335640138409; 'f1-score': 0.9297297297297297; 'support': 289}; '1.0': {'precision': 0.841025641025641; 'recall': 0.9534883720930233; 'f1-score': 0.8937329700272479; 'support': 172}; 'accuracy': 0.9154013015184381; 'macro avg': {'precision': 0.9054752265278581; 'recall': 0.9231109680534321; 'f1-score': 0.9117313498784888; 'support': 461}; 'weighted avg': {'precision': 0.9218322796813492; 'recall': 0.9154013015184381; 'f1-score': 0.9162992684090641; 'support': 461}},{'0.0': {'precision': 0.9047619047619048; 'recall': 0.59375; 'f1-score': 0.7169811320754718; 'support': 32}; '1.0': {'precision': 0.5666666666666667; 'recall': 0.8947368421052632; 'f1-score': 0.6938775510204083; 'support': 19}; 'accuracy': 0.7058823529411765; 'macro avg': {'precision': 0.7357142857142858; 'recall': 0.7442434210526316; 'f1-score': 0.70542934154794; 'support': 51}; 'weighted avg': {'precision': 0.7788048552754434; 'recall': 0.7058823529411765; 'f1-score': 0.7083739156039774; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 57}, (mean val acc cv) 0.841591 (+- 0.098039), (mean training time) 1.227205 (+- 0.044176)
