l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],122,1.770830,0.903846,2,[X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9431438127090301; 'recall': 0.9757785467128027; 'f1-score': 0.9591836734693876; 'support': 289}; '1.0': {'precision': 0.9565217391304348; 'recall': 0.9005847953216374; 'f1-score': 0.9277108433734939; 'support': 171}; 'accuracy': 0.9478260869565217; 'macro avg': {'precision': 0.9498327759197325; 'recall': 0.93818167101722; 'f1-score': 0.9434472584214407; 'support': 460}; 'weighted avg': {'precision': 0.9481169114439435; 'recall': 0.9478260869565217; 'f1-score': 0.9474839909772184; 'support': 460}},{'0.0': {'precision': 0.8888888888888888; 'recall': 0.9696969696969697; 'f1-score': 0.927536231884058; 'support': 33}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9131944444444444; 'recall': 0.879585326953748; 'f1-score': 0.8923395445134576; 'support': 52}; 'weighted avg': {'precision': 0.906650641025641; 'recall': 0.9038461538461539; 'f1-score': 0.9018155757286193; 'support': 52}}
l: 5,1,CNF,1,460,52,1,[460; 460],122,1.824895,0.923077,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X13 >= 53.780000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9461279461279462; 'recall': 0.972318339100346; 'f1-score': 0.9590443686006827; 'support': 289}; '1.0': {'precision': 0.950920245398773; 'recall': 0.9064327485380117; 'f1-score': 0.9281437125748503; 'support': 171}; 'accuracy': 0.9478260869565217; 'macro avg': {'precision': 0.9485240957633596; 'recall': 0.9393755438191789; 'f1-score': 0.9435940405877665; 'support': 460}; 'weighted avg': {'precision': 0.9479094312916666; 'recall': 0.9478260869565217; 'f1-score': 0.9475573855997754; 'support': 460}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9090909090909091; 'f1-score': 0.9374999999999999; 'support': 33}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9124423963133641; 'recall': 0.9282296650717703; 'f1-score': 0.91875; 'support': 52}; 'weighted avg': {'precision': 0.9273307337823467; 'recall': 0.9230769230769231; 'f1-score': 0.9237980769230768; 'support': 52}}
l: 5,1,CNF,2,461,51,1,[461; 461],122,2.166007,0.921569,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9525423728813559; 'recall': 0.9689655172413794; 'f1-score': 0.9606837606837607; 'support': 290}; '1.0': {'precision': 0.9457831325301205; 'recall': 0.9181286549707602; 'f1-score': 0.9317507418397626; 'support': 171}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9491627527057382; 'recall': 0.9435470861060697; 'f1-score': 0.9462172512617617; 'support': 461}; 'weighted avg': {'precision': 0.9500351492369713; 'recall': 0.9501084598698482; 'f1-score': 0.9499515562969414; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,3,461,51,1,[461; 461],122,2.304227,0.921569,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9494949494949495; 'recall': 0.9724137931034482; 'f1-score': 0.960817717206133; 'support': 290}; '1.0': {'precision': 0.9512195121951219; 'recall': 0.9122807017543859; 'f1-score': 0.9313432835820895; 'support': 171}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9503572308450356; 'recall': 0.9423472474289171; 'f1-score': 0.9460805003941113; 'support': 461}; 'weighted avg': {'precision': 0.9501346462882888; 'recall': 0.9501084598698482; 'f1-score': 0.9498846843434184; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
l: 5,1,CNF,4,461,51,1,[461; 461],122,2.355246,0.921569,3,[X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.142350],{'0.0': {'precision': 0.975; 'recall': 0.9413793103448276; 'f1-score': 0.9578947368421052; 'support': 290}; '1.0': {'precision': 0.9060773480662984; 'recall': 0.9590643274853801; 'f1-score': 0.9318181818181818; 'support': 171}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9405386740331492; 'recall': 0.9502218189151038; 'f1-score': 0.9448564593301435; 'support': 461}; 'weighted avg': {'precision': 0.9494343308445489; 'recall': 0.9479392624728851; 'f1-score': 0.9482220884492834; 'support': 461}},{'0.0': {'precision': 0.9666666666666667; 'recall': 0.90625; 'f1-score': 0.9354838709677419; 'support': 32}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9119047619047619; 'recall': 0.9268092105263157; 'f1-score': 0.917741935483871; 'support': 51}; 'weighted avg': {'precision': 0.9258636788048552; 'recall': 0.9215686274509803; 'f1-score': 0.9222643896268184; 'support': 51}}
l: 5,1,CNF,5,461,51,1,[461; 461],122,2.586663,0.960784,3,[X13 >= 53.780000 OR X20 >= 18.225000 OR X27 >= 0.142350],{'0.0': {'precision': 0.9488054607508533; 'recall': 0.9586206896551724; 'f1-score': 0.95368782161235; 'support': 290}; '1.0': {'precision': 0.9285714285714286; 'recall': 0.9122807017543859; 'f1-score': 0.9203539823008849; 'support': 171}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.938688444661141; 'recall': 0.9354506957047792; 'f1-score': 0.9370209019566175; 'support': 461}; 'weighted avg': {'precision': 0.9412999954521947; 'recall': 0.9414316702819957; 'f1-score': 0.941323208765798; 'support': 461}},{'0.0': {'precision': 0.96875; 'recall': 0.96875; 'f1-score': 0.96875; 'support': 32}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9580592105263157; 'recall': 0.9580592105263157; 'f1-score': 0.9580592105263157; 'support': 51}; 'weighted avg': {'precision': 0.9607843137254902; 'recall': 0.9607843137254902; 'f1-score': 0.9607843137254902; 'support': 51}}
l: 5,1,CNF,6,461,51,1,[461; 461],122,2.305261,0.941176,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9523809523809523; 'recall': 0.9655172413793104; 'f1-score': 0.9589041095890412; 'support': 290}; '1.0': {'precision': 0.9401197604790419; 'recall': 0.9181286549707602; 'f1-score': 0.9289940828402367; 'support': 171}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9462503564299971; 'recall': 0.9418229481750353; 'f1-score': 0.9439490962146388; 'support': 461}; 'weighted avg': {'precision': 0.9478328746906557; 'recall': 0.9479392624728851; 'f1-score': 0.9478095009685518; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,7,461,51,1,[461; 461],122,2.140610,0.921569,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9525423728813559; 'recall': 0.9689655172413794; 'f1-score': 0.9606837606837607; 'support': 290}; '1.0': {'precision': 0.9457831325301205; 'recall': 0.9181286549707602; 'f1-score': 0.9317507418397626; 'support': 171}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9491627527057382; 'recall': 0.9435470861060697; 'f1-score': 0.9462172512617617; 'support': 461}; 'weighted avg': {'precision': 0.9500351492369713; 'recall': 0.9501084598698482; 'f1-score': 0.9499515562969414; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,8,461,51,1,[461; 461],122,1.946984,0.921569,5,[X2 >= 98.755000 OR X7 >= 0.079005 OR X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9556313993174061; 'recall': 0.9655172413793104; 'f1-score': 0.9605488850771869; 'support': 290}; '1.0': {'precision': 0.9404761904761905; 'recall': 0.9239766081871345; 'f1-score': 0.9321533923303835; 'support': 171}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9480537948967983; 'recall': 0.9447469247832224; 'f1-score': 0.9463511387037853; 'support': 461}; 'weighted avg': {'precision': 0.9500098359511417; 'recall': 0.9501084598698482; 'f1-score': 0.9500160667264205; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,9,461,51,1,[461; 461],122,2.781283,0.862745,3,[X13 >= 53.780000 OR X20 >= 18.225000 OR X27 >= 0.142350],{'0.0': {'precision': 0.9527027027027027; 'recall': 0.9724137931034482; 'f1-score': 0.9624573378839592; 'support': 290}; '1.0': {'precision': 0.9515151515151515; 'recall': 0.9181286549707602; 'f1-score': 0.9345238095238095; 'support': 171}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9521089271089271; 'recall': 0.9452712240371042; 'f1-score': 0.9484905737038843; 'support': 461}; 'weighted avg': {'precision': 0.9522622010691425; 'recall': 0.9522776572668112; 'f1-score': 0.9520958772557908; 'support': 461}},{'0.0': {'precision': 0.9310344827586207; 'recall': 0.84375; 'f1-score': 0.8852459016393444; 'support': 32}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.8947368421052632; 'f1-score': 0.8292682926829269; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8518808777429467; 'recall': 0.8692434210526316; 'f1-score': 0.8572570971611356; 'support': 51}; 'weighted avg': {'precision': 0.8720572868645892; 'recall': 0.8627450980392157; 'f1-score': 0.8643914983026398; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.919947 (+- 0.023817), (mean training time) 2.218201 (+- 0.303928)
