l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,461,52,1,[461; 461],122,1.966097,0.923077,3,[X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9466666666666667; 'recall': 0.9793103448275862; 'f1-score': 0.9627118644067797; 'support': 290}; '1.0': {'precision': 0.9627329192546584; 'recall': 0.9064327485380117; 'f1-score': 0.9337349397590361; 'support': 171}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9546997929606625; 'recall': 0.9428715466827989; 'f1-score': 0.9482234020829079; 'support': 461}; 'weighted avg': {'precision': 0.9526261659997395; 'recall': 0.9522776572668112; 'f1-score': 0.9519633739192219; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.85; 'f1-score': 0.8947368421052632; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9281045751633987; 'recall': 0.909375; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.924333836098542; 'recall': 0.9230769230769231; 'f1-score': 0.9222181327444485; 'support': 52}}
l: 5,1,CNF,1,461,52,1,[461; 461],122,2.045835,0.923077,4,[X3 >= 696.250000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9525423728813559; 'recall': 0.972318339100346; 'f1-score': 0.9623287671232877; 'support': 289}; '1.0': {'precision': 0.9518072289156626; 'recall': 0.9186046511627907; 'f1-score': 0.9349112426035502; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9521748008985093; 'recall': 0.9454614951315683; 'f1-score': 0.948620004863419; 'support': 461}; 'weighted avg': {'precision': 0.9522680892325506; 'recall': 0.9522776572668112; 'f1-score': 0.952099235198353; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.9393939393939394; 'f1-score': 0.9393939393939394; 'support': 33}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9170653907496014; 'recall': 0.9170653907496014; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.9230769230769231; 'recall': 0.9230769230769231; 'f1-score': 0.9230769230769231; 'support': 52}}
l: 5,1,CNF,2,461,52,1,[461; 461],122,1.925292,0.961538,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9463087248322147; 'recall': 0.9757785467128027; 'f1-score': 0.9608177172061328; 'support': 289}; '1.0': {'precision': 0.9570552147239264; 'recall': 0.9069767441860465; 'f1-score': 0.9313432835820895; 'support': 172}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9516819697780705; 'recall': 0.9413776454494246; 'f1-score': 0.9460805003941112; 'support': 461}; 'weighted avg': {'precision': 0.9503182611909444; 'recall': 0.9501084598698482; 'f1-score': 0.9498207484787241; 'support': 461}},{'0.0': {'precision': 0.9428571428571428; 'recall': 1.0; 'f1-score': 0.9705882352941176; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9714285714285714; 'recall': 0.9473684210526316; 'f1-score': 0.957516339869281; 'support': 52}; 'weighted avg': {'precision': 0.9637362637362638; 'recall': 0.9615384615384616; 'f1-score': 0.961035696329814; 'support': 52}}
l: 5,1,CNF,3,462,51,1,[462; 462],122,1.638848,0.941176,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9437086092715232; 'recall': 0.9827586206896551; 'f1-score': 0.9628378378378379; 'support': 290}; '1.0': {'precision': 0.96875; 'recall': 0.9011627906976745; 'f1-score': 0.9337349397590361; 'support': 172}; 'accuracy': 0.9523809523809523; 'macro avg': {'precision': 0.9562293046357616; 'recall': 0.9419607056936647; 'f1-score': 0.948286388798437; 'support': 462}; 'weighted avg': {'precision': 0.9530313781141596; 'recall': 0.9523809523809523; 'f1-score': 0.9520029926656434; 'support': 462}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
l: 5,1,CNF,4,462,51,1,[462; 462],122,2.363554,0.980392,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9403973509933775; 'recall': 0.9793103448275862; 'f1-score': 0.9594594594594594; 'support': 290}; '1.0': {'precision': 0.9625; 'recall': 0.8953488372093024; 'f1-score': 0.927710843373494; 'support': 172}; 'accuracy': 0.948051948051948; 'macro avg': {'precision': 0.9514486754966888; 'recall': 0.9373295910184443; 'f1-score': 0.9435851514164767; 'support': 462}; 'weighted avg': {'precision': 0.948626042831341; 'recall': 0.948051948051948; 'f1-score': 0.9476396283625199; 'support': 462}},{'0.0': {'precision': 1.0; 'recall': 0.96875; 'f1-score': 0.9841269841269841; 'support': 32}; '1.0': {'precision': 0.95; 'recall': 1.0; 'f1-score': 0.9743589743589743; 'support': 19}; 'accuracy': 0.9803921568627451; 'macro avg': {'precision': 0.975; 'recall': 0.984375; 'f1-score': 0.9792429792429792; 'support': 51}; 'weighted avg': {'precision': 0.9813725490196078; 'recall': 0.9803921568627451; 'f1-score': 0.9804879216643922; 'support': 51}}
l: 5,1,CNF,5,462,51,1,[462; 462],122,1.756124,0.941176,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9466666666666667; 'recall': 0.9793103448275862; 'f1-score': 0.9627118644067797; 'support': 290}; '1.0': {'precision': 0.9629629629629629; 'recall': 0.9069767441860465; 'f1-score': 0.934131736526946; 'support': 172}; 'accuracy': 0.9523809523809523; 'macro avg': {'precision': 0.9548148148148148; 'recall': 0.9431435445068164; 'f1-score': 0.9484218004668629; 'support': 462}; 'weighted avg': {'precision': 0.9527336860670194; 'recall': 0.9523809523809523; 'f1-score': 0.9520716436376642; 'support': 462}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,6,462,51,1,[462; 462],122,1.418099,0.901961,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9530201342281879; 'recall': 0.9793103448275862; 'f1-score': 0.9659863945578231; 'support': 290}; '1.0': {'precision': 0.9634146341463414; 'recall': 0.9186046511627907; 'f1-score': 0.9404761904761905; 'support': 172}; 'accuracy': 0.9567099567099567; 'macro avg': {'precision': 0.9582173841872647; 'recall': 0.9489574979951885; 'f1-score': 0.9532312925170068; 'support': 462}; 'weighted avg': {'precision': 0.9568899480505307; 'recall': 0.9567099567099567; 'f1-score': 0.9564890891421503; 'support': 462}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
l: 5,1,CNF,7,462,51,1,[462; 462],122,1.954762,0.921569,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9498327759197325; 'recall': 0.9793103448275862; 'f1-score': 0.9643463497453311; 'support': 290}; '1.0': {'precision': 0.9631901840490797; 'recall': 0.9127906976744186; 'f1-score': 0.9373134328358208; 'support': 172}; 'accuracy': 0.9545454545454546; 'macro avg': {'precision': 0.9565114799844061; 'recall': 0.9460505212510024; 'f1-score': 0.9508298912905759; 'support': 462}; 'weighted avg': {'precision': 0.9548056637947275; 'recall': 0.9545454545454546; 'f1-score': 0.9542821469132189; 'support': 462}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,8,462,51,1,[462; 462],122,2.360546,0.960784,3,[X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9433333333333334; 'recall': 0.9758620689655172; 'f1-score': 0.9593220338983052; 'support': 290}; '1.0': {'precision': 0.9567901234567902; 'recall': 0.9011627906976745; 'f1-score': 0.9281437125748504; 'support': 172}; 'accuracy': 0.948051948051948; 'macro avg': {'precision': 0.9500617283950618; 'recall': 0.9385124298315959; 'f1-score': 0.9437328732365777; 'support': 462}; 'weighted avg': {'precision': 0.9483432205654427; 'recall': 0.948051948051948; 'f1-score': 0.9477145203319973; 'support': 462}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,CNF,9,462,51,1,[462; 462],122,2.033511,0.980392,4,[X12 >= 5.131000 OR X22 >= 117.450000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9433333333333334; 'recall': 0.9758620689655172; 'f1-score': 0.9593220338983052; 'support': 290}; '1.0': {'precision': 0.9567901234567902; 'recall': 0.9011627906976745; 'f1-score': 0.9281437125748504; 'support': 172}; 'accuracy': 0.948051948051948; 'macro avg': {'precision': 0.9500617283950618; 'recall': 0.9385124298315959; 'f1-score': 0.9437328732365777; 'support': 462}; 'weighted avg': {'precision': 0.9483432205654427; 'recall': 0.948051948051948; 'f1-score': 0.9477145203319973; 'support': 462}},{'0.0': {'precision': 0.9696969696969697; 'recall': 1.0; 'f1-score': 0.9846153846153847; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.9473684210526315; 'f1-score': 0.972972972972973; 'support': 19}; 'accuracy': 0.9803921568627451; 'macro avg': {'precision': 0.9848484848484849; 'recall': 0.9736842105263157; 'f1-score': 0.9787941787941788; 'support': 51}; 'weighted avg': {'precision': 0.9809863339275104; 'recall': 0.9803921568627451; 'f1-score': 0.9802780155721332; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [462, 462], 'n_partitions': 1}, (mean val acc cv) 0.943514 (+- 0.025294), (mean training time) 1.946267 (+- 0.278174)
