lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],564,1.067346,0.656250,2,[X3 < 0.291670 OR X19 < 0.000000],{'0.0': {'precision': 0.6785714285714286; 'recall': 0.18627450980392157; 'f1-score': 0.29230769230769227; 'support': 102}; '1.0': {'precision': 0.67578125; 'recall': 0.9505494505494505; 'f1-score': 0.7899543378995434; 'support': 182}; 'accuracy': 0.676056338028169; 'macro avg': {'precision': 0.6771763392857143; 'recall': 0.568411980176686; 'f1-score': 0.5411310151036178; 'support': 284}; 'weighted avg': {'precision': 0.67678335638833; 'recall': 0.676056338028169; 'f1-score': 0.6112220919475405; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9523809523809523; 'f1-score': 0.7843137254901961; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.5833333333333333; 'recall': 0.5216450216450216; 'f1-score': 0.46907993966817496; 'support': 32}; 'weighted avg': {'precision': 0.609375; 'recall': 0.65625; 'f1-score': 0.5675904977375565; 'support': 32}}
5,1,CNF,1,284,32,35,[8; 9],564,1.260935,0.687500,2,[X2 < 0.749160 OR X6 >= 0.348160],{'0.0': {'precision': 0.4666666666666667; 'recall': 0.13725490196078433; 'f1-score': 0.21212121212121213; 'support': 102}; '1.0': {'precision': 0.6535433070866141; 'recall': 0.9120879120879121; 'f1-score': 0.7614678899082568; 'support': 182}; 'accuracy': 0.6338028169014085; 'macro avg': {'precision': 0.5601049868766403; 'recall': 0.5246714070243482; 'f1-score': 0.48679455101473446; 'support': 284}; 'weighted avg': {'precision': 0.5864256404569146; 'recall': 0.6338028169014085; 'f1-score': 0.5641673225340365; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.09090909090909091; 'f1-score': 0.16666666666666669; 'support': 11}; '1.0': {'precision': 0.6774193548387096; 'recall': 1.0; 'f1-score': 0.8076923076923077; 'support': 21}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.8387096774193548; 'recall': 0.5454545454545454; 'f1-score': 0.4871794871794872; 'support': 32}; 'weighted avg': {'precision': 0.7883064516129032; 'recall': 0.6875; 'f1-score': 0.5873397435897436; 'support': 32}}
5,1,CNF,2,284,32,35,[8; 9],564,1.165077,0.625000,2,[X4 < 0.981220 OR X9 >= 0.096100],{'0.0': {'precision': 0.39655172413793105; 'recall': 0.22549019607843138; 'f1-score': 0.28750000000000003; 'support': 102}; '1.0': {'precision': 0.6504424778761062; 'recall': 0.8076923076923077; 'f1-score': 0.7205882352941176; 'support': 182}; 'accuracy': 0.5985915492957746; 'macro avg': {'precision': 0.5234971010070186; 'recall': 0.5165912518853696; 'f1-score': 0.5040441176470588; 'support': 284}; 'weighted avg': {'precision': 0.5592563620969025; 'recall': 0.5985915492957746; 'f1-score': 0.5650424606462304; 'support': 284}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.45454545454545453; 'f1-score': 0.45454545454545453; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.7142857142857143; 'f1-score': 0.7142857142857143; 'support': 21}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5844155844155844; 'recall': 0.5844155844155844; 'f1-score': 0.5844155844155844; 'support': 32}; 'weighted avg': {'precision': 0.625; 'recall': 0.625; 'f1-score': 0.625; 'support': 32}}
5,1,CNF,3,284,32,35,[8; 9],564,1.135649,0.843750,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9814814814814815; 'recall': 0.5247524752475248; 'f1-score': 0.6838709677419357; 'support': 101}; '1.0': {'precision': 0.7913043478260869; 'recall': 0.994535519125683; 'f1-score': 0.8813559322033898; 'support': 183}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.8863929146537842; 'recall': 0.7596439971866039; 'f1-score': 0.7826134499726627; 'support': 284}; 'weighted avg': {'precision': 0.858937765076773; 'recall': 0.8274647887323944; 'f1-score': 0.8111236032928023; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5833333333333334; 'f1-score': 0.7368421052631579; 'support': 12}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9; 'recall': 0.7916666666666667; 'f1-score': 0.8128654970760234; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.84375; 'f1-score': 0.8318713450292398; 'support': 32}}
5,1,CNF,4,284,32,35,[8; 9],564,1.182825,0.781250,1,[X13 >= -0.496390],{'0.0': {'precision': 0.96; 'recall': 0.2376237623762376; 'f1-score': 0.38095238095238093; 'support': 101}; '1.0': {'precision': 0.7027027027027027; 'recall': 0.994535519125683; 'f1-score': 0.8235294117647058; 'support': 183}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.8313513513513513; 'recall': 0.6160796407509603; 'f1-score': 0.6022408963585434; 'support': 284}; 'weighted avg': {'precision': 0.7942063189950515; 'recall': 0.7253521126760564; 'f1-score': 0.6661340592575058; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.4166666666666667; 'f1-score': 0.5882352941176471; 'support': 12}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.7083333333333334; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.8379629629629629; 'recall': 0.78125; 'f1-score': 0.7525031289111389; 'support': 32}}
5,1,CNF,5,284,32,35,[8; 9],564,1.164241,0.687500,3,[X2 >= 0.328340 OR X8 >= 0.238100 OR X9 < -0.234040],{'0.0': {'precision': 0.9230769230769231; 'recall': 0.3564356435643564; 'f1-score': 0.5142857142857142; 'support': 101}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.9836065573770492; 'f1-score': 0.8411214953271028; 'support': 183}; 'accuracy': 0.7605633802816901; 'macro avg': {'precision': 0.8288854003139718; 'recall': 0.6700211004707028; 'f1-score': 0.6777036048064085; 'support': 284}; 'weighted avg': {'precision': 0.8016892564176267; 'recall': 0.7605633802816901; 'f1-score': 0.7248876436187216; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.25; 'f1-score': 0.375; 'support': 12}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.95; 'f1-score': 0.7916666666666667; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.7142857142857143; 'recall': 0.6; 'f1-score': 0.5833333333333334; 'support': 32}; 'weighted avg': {'precision': 0.7053571428571429; 'recall': 0.6875; 'f1-score': 0.6354166666666667; 'support': 32}}
5,1,CNF,6,285,31,35,[8; 9],564,1.215259,0.709677,1,[X0],{'0.0': {'precision': 1.0; 'recall': 0.30392156862745096; 'f1-score': 0.46616541353383456; 'support': 102}; '1.0': {'precision': 0.7204724409448819; 'recall': 1.0; 'f1-score': 0.8375286041189932; 'support': 183}; 'accuracy': 0.7508771929824561; 'macro avg': {'precision': 0.860236220472441; 'recall': 0.6519607843137255; 'f1-score': 0.6518470088264139; 'support': 285}; 'weighted avg': {'precision': 0.8205138831330294; 'recall': 0.7508771929824561; 'f1-score': 0.7046196727516734; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.7096774193548387; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.5909090909090909; 'f1-score': 0.5620094191522763; 'support': 31}; 'weighted avg': {'precision': 0.799777530589544; 'recall': 0.7096774193548387; 'f1-score': 0.6358434192535575; 'support': 31}}
5,1,CNF,7,285,31,35,[8; 9],564,1.276970,0.645161,2,[X2 >= 0.600000 OR X5 < 0.022800],{'0.0': {'precision': 0.6341463414634146; 'recall': 0.2549019607843137; 'f1-score': 0.3636363636363636; 'support': 102}; '1.0': {'precision': 0.6885245901639344; 'recall': 0.9180327868852459; 'f1-score': 0.7868852459016393; 'support': 183}; 'accuracy': 0.6807017543859649; 'macro avg': {'precision': 0.6613354658136745; 'recall': 0.5864673738347799; 'f1-score': 0.5752608047690014; 'support': 285}; 'weighted avg': {'precision': 0.6690629011553274; 'recall': 0.6807017543859649; 'f1-score': 0.6354066985645933; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.95; 'f1-score': 0.7755102040816326; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5775862068965517; 'recall': 0.5204545454545454; 'f1-score': 0.46467817896389324; 'support': 31}; 'weighted avg': {'precision': 0.600111234705228; 'recall': 0.6451612903225806; 'f1-score': 0.554919734643237; 'support': 31}}
5,1,CNF,8,285,31,35,[8; 9],564,1.170383,0.741935,3,[X2 >= 0.749160 OR X6 >= 0.554320 OR X13 >= 0.525170],{'0.0': {'precision': 0.6666666666666666; 'recall': 0.45098039215686275; 'f1-score': 0.5380116959064327; 'support': 102}; '1.0': {'precision': 0.7407407407407407; 'recall': 0.8743169398907104; 'f1-score': 0.8020050125313283; 'support': 183}; 'accuracy': 0.7228070175438597; 'macro avg': {'precision': 0.7037037037037037; 'recall': 0.6626486660237866; 'f1-score': 0.6700083542188805; 'support': 285}; 'weighted avg': {'precision': 0.7142300194931773; 'recall': 0.7228070175438597; 'f1-score': 0.7075231939497867; 'support': 285}},{'0.0': {'precision': 0.8; 'recall': 0.36363636363636365; 'f1-score': 0.5000000000000001; 'support': 11}; '1.0': {'precision': 0.7307692307692307; 'recall': 0.95; 'f1-score': 0.8260869565217392; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.7653846153846153; 'recall': 0.6568181818181817; 'f1-score': 0.6630434782608696; 'support': 31}; 'weighted avg': {'precision': 0.7553349875930522; 'recall': 0.7419354838709677; 'f1-score': 0.7103786816269285; 'support': 31}}
5,1,CNF,9,285,31,35,[8; 9],564,1.189819,0.774194,1,[X3 >= -0.500000],{'0.0': {'precision': 0.9259259259259259; 'recall': 0.24509803921568626; 'f1-score': 0.3875968992248062; 'support': 102}; '1.0': {'precision': 0.7015503875968992; 'recall': 0.9890710382513661; 'f1-score': 0.8208616780045352; 'support': 183}; 'accuracy': 0.7228070175438597; 'macro avg': {'precision': 0.8137381567614126; 'recall': 0.6170845387335262; 'f1-score': 0.6042292886146707; 'support': 285}; 'weighted avg': {'precision': 0.7818532118409719; 'recall': 0.7228070175438597; 'f1-score': 0.6657984940202111; 'support': 285}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7966666666666666; 'recall': 0.7022727272727273; 'f1-score': 0.7163398692810458; 'support': 31}; 'weighted avg': {'precision': 0.7860215053763441; 'recall': 0.7741935483870968; 'f1-score': 0.7535315201349357; 'support': 31}}
5,1,CNF,0,284,32,17,[16; 17],564,0.768031,0.812500,2,[X29 >= 0.015470 OR X33 < 0.000000],{'0.0': {'precision': 0.6901408450704225; 'recall': 0.4803921568627451; 'f1-score': 0.5664739884393063; 'support': 102}; '1.0': {'precision': 0.7511737089201878; 'recall': 0.8791208791208791; 'f1-score': 0.810126582278481; 'support': 182}; 'accuracy': 0.7359154929577465; 'macro avg': {'precision': 0.7206572769953051; 'recall': 0.6797565179918121; 'f1-score': 0.6883002853588936; 'support': 284}; 'weighted avg': {'precision': 0.7292534550023143; 'recall': 0.7359154929577465; 'f1-score': 0.7226175520968056; 'support': 284}},{'0.0': {'precision': 0.7777777777777778; 'recall': 0.6363636363636364; 'f1-score': 0.7000000000000001; 'support': 11}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.9047619047619048; 'f1-score': 0.8636363636363636; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8019323671497585; 'recall': 0.7705627705627706; 'f1-score': 0.7818181818181819; 'support': 32}; 'weighted avg': {'precision': 0.8094806763285025; 'recall': 0.8125; 'f1-score': 0.8073863636363636; 'support': 32}}
