lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],222,0.805985,0.718750,1,[X11 < 0.981525],{'0.0': {'precision': 0.84; 'recall': 0.20388349514563106; 'f1-score': 0.328125; 'support': 103}; '1.0': {'precision': 0.6833976833976834; 'recall': 0.9779005524861878; 'f1-score': 0.8045454545454546; 'support': 181}; 'accuracy': 0.6971830985915493; 'macro avg': {'precision': 0.7616988416988417; 'recall': 0.5908920238159094; 'f1-score': 0.5663352272727273; 'support': 284}; 'weighted avg': {'precision': 0.7401935939964108; 'recall': 0.6971830985915493; 'f1-score': 0.6317591629321383; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.2727272727272727; 'f1-score': 0.39999999999999997; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9523809523809523; 'f1-score': 0.8163265306122449; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7321428571428572; 'recall': 0.6125541125541125; 'f1-score': 0.6081632653061224; 'support': 32}; 'weighted avg': {'precision': 0.7265625; 'recall': 0.71875; 'f1-score': 0.6732142857142857; 'support': 32}}
5,1,CNF,1,284,32,35,[8; 9],222,0.865024,0.656250,3,[X5 < -0.000715 OR X16 < -0.054150 OR X33 >= 0.005400],{'0.0': {'precision': 0.6323529411764706; 'recall': 0.4174757281553398; 'f1-score': 0.502923976608187; 'support': 103}; '1.0': {'precision': 0.7222222222222222; 'recall': 0.861878453038674; 'f1-score': 0.7858942065491182; 'support': 181}; 'accuracy': 0.7007042253521126; 'macro avg': {'precision': 0.6772875816993464; 'recall': 0.639677090597007; 'f1-score': 0.6444090915786527; 'support': 284}; 'weighted avg': {'precision': 0.6896287857866151; 'recall': 0.7007042253521126; 'f1-score': 0.6832676794930763; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.2727272727272727; 'f1-score': 0.3529411764705882; 'support': 11}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.8571428571428571; 'f1-score': 0.7659574468085107; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.5961538461538461; 'recall': 0.5649350649350648; 'f1-score': 0.5594493116395495; 'support': 32}; 'weighted avg': {'precision': 0.6262019230769231; 'recall': 0.65625; 'f1-score': 0.6239831038798499; 'support': 32}}
5,1,CNF,2,284,32,35,[8; 9],222,1.014780,0.625000,2,[X21 < -0.001400 OR X26 >= 0.528120],{'0.0': {'precision': 0.3611111111111111; 'recall': 0.2549019607843137; 'f1-score': 0.29885057471264365; 'support': 102}; '1.0': {'precision': 0.6415094339622641; 'recall': 0.7472527472527473; 'f1-score': 0.6903553299492386; 'support': 182}; 'accuracy': 0.5704225352112676; 'macro avg': {'precision': 0.5013102725366876; 'recall': 0.5010773540185305; 'f1-score': 0.49460295233094115; 'support': 284}; 'weighted avg': {'precision': 0.540802994065019; 'recall': 0.5704225352112676; 'f1-score': 0.5497444671529967; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.25; 'f1-score': 0.3333333333333333; 'support': 12}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5769230769230769; 'recall': 0.55; 'f1-score': 0.5362318840579711; 'support': 32}; 'weighted avg': {'precision': 0.5961538461538461; 'recall': 0.625; 'f1-score': 0.5869565217391305; 'support': 32}}
5,1,CNF,3,284,32,35,[8; 9],222,1.018565,0.750000,2,[X10 >= 0.087130 OR X12 < -0.076515],{'0.0': {'precision': 0.9090909090909091; 'recall': 0.39215686274509803; 'f1-score': 0.547945205479452; 'support': 102}; '1.0': {'precision': 0.7416666666666667; 'recall': 0.978021978021978; 'f1-score': 0.8436018957345971; 'support': 182}; 'accuracy': 0.7676056338028169; 'macro avg': {'precision': 0.8253787878787879; 'recall': 0.685089420383538; 'f1-score': 0.6957735506070246; 'support': 284}; 'weighted avg': {'precision': 0.8017979086641058; 'recall': 0.7676056338028169; 'f1-score': 0.7374153379669042; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.3333333333333333; 'f1-score': 0.5; 'support': 12}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6666666666666666; 'f1-score': 0.6666666666666666; 'support': 32}; 'weighted avg': {'precision': 0.8214285714285714; 'recall': 0.75; 'f1-score': 0.7083333333333333; 'support': 32}}
5,1,CNF,4,284,32,35,[8; 9],222,1.172422,0.687500,2,[X5 >= -0.795310 OR X8 < -0.036395],{'0.0': {'precision': 1.0; 'recall': 0.1568627450980392; 'f1-score': 0.2711864406779661; 'support': 102}; '1.0': {'precision': 0.6791044776119403; 'recall': 1.0; 'f1-score': 0.8088888888888888; 'support': 182}; 'accuracy': 0.6971830985915493; 'macro avg': {'precision': 0.8395522388059702; 'recall': 0.5784313725490196; 'f1-score': 0.5400376647834274; 'support': 284}; 'weighted avg': {'precision': 0.7943556863569476; 'recall': 0.6971830985915493; 'f1-score': 0.6157704039680645; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.16666666666666666; 'f1-score': 0.2857142857142857; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5833333333333334; 'f1-score': 0.5428571428571429; 'support': 32}; 'weighted avg': {'precision': 0.7916666666666666; 'recall': 0.6875; 'f1-score': 0.6071428571428571; 'support': 32}}
5,1,CNF,5,284,32,35,[8; 9],222,1.081628,0.750000,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.5196078431372549; 'f1-score': 0.6838709677419356; 'support': 102}; '1.0': {'precision': 0.7878787878787878; 'recall': 1.0; 'f1-score': 0.8813559322033898; 'support': 182}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.8939393939393939; 'recall': 0.7598039215686274; 'f1-score': 0.7826134499726627; 'support': 284}; 'weighted avg': {'precision': 0.8640631668800682; 'recall': 0.8274647887323944; 'f1-score': 0.8104282336996281; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.3333333333333333; 'f1-score': 0.5; 'support': 12}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6666666666666666; 'f1-score': 0.6666666666666666; 'support': 32}; 'weighted avg': {'precision': 0.8214285714285714; 'recall': 0.75; 'f1-score': 0.7083333333333333; 'support': 32}}
5,1,CNF,6,285,31,35,[8; 9],222,1.166585,0.741935,1,[X0],{'0.0': {'precision': 1.0; 'recall': 0.3106796116504854; 'f1-score': 0.4740740740740741; 'support': 103}; '1.0': {'precision': 0.7193675889328063; 'recall': 1.0; 'f1-score': 0.8367816091954023; 'support': 182}; 'accuracy': 0.7508771929824561; 'macro avg': {'precision': 0.8596837944664031; 'recall': 0.6553398058252426; 'f1-score': 0.6554278416347382; 'support': 285}; 'weighted avg': {'precision': 0.8207891269676166; 'recall': 0.7508771929824561; 'f1-score': 0.7056978333445364; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6363636363636364; 'f1-score': 0.6309523809523809; 'support': 31}; 'weighted avg': {'precision': 0.815668202764977; 'recall': 0.7419354838709677; 'f1-score': 0.6897081413210445; 'support': 31}}
5,1,CNF,7,285,31,35,[8; 9],222,1.351179,0.677419,1,[X9 >= -0.572990],{'0.0': {'precision': 1.0; 'recall': 0.1553398058252427; 'f1-score': 0.2689075630252101; 'support': 103}; '1.0': {'precision': 0.6765799256505576; 'recall': 1.0; 'f1-score': 0.8070953436807095; 'support': 182}; 'accuracy': 0.6947368421052632; 'macro avg': {'precision': 0.8382899628252788; 'recall': 0.5776699029126213; 'f1-score': 0.5380014533529598; 'support': 285}; 'weighted avg': {'precision': 0.7934650753277245; 'recall': 0.6947368421052632; 'f1-score': 0.6125923913736342; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.09090909090909091; 'f1-score': 0.16666666666666669; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5454545454545454; 'f1-score': 0.4833333333333334; 'support': 31}; 'weighted avg': {'precision': 0.7849462365591398; 'recall': 0.6774193548387096; 'f1-score': 0.575268817204301; 'support': 31}}
5,1,CNF,8,285,31,35,[8; 9],222,1.301558,0.838710,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.49514563106796117; 'f1-score': 0.6623376623376623; 'support': 103}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 182}; 'accuracy': 0.8175438596491228; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7475728155339806; 'f1-score': 0.7686688311688312; 'support': 285}; 'weighted avg': {'precision': 0.8580896686159845; 'recall': 0.8175438596491228; 'f1-score': 0.7981430849851904; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
5,1,CNF,9,285,31,35,[8; 9],222,1.367424,0.741935,2,[X2 >= 0.190280 OR X3 >= 0.746850],{'0.0': {'precision': 1.0; 'recall': 0.46601941747572817; 'f1-score': 0.6357615894039735; 'support': 103}; '1.0': {'precision': 0.7679324894514767; 'recall': 1.0; 'f1-score': 0.8687350835322195; 'support': 182}; 'accuracy': 0.8070175438596491; 'macro avg': {'precision': 0.8839662447257384; 'recall': 0.7330097087378641; 'f1-score': 0.7522483364680965; 'support': 285}; 'weighted avg': {'precision': 0.8518025020356799; 'recall': 0.8070175438596491; 'f1-score': 0.7845376453034147; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6363636363636364; 'f1-score': 0.6309523809523809; 'support': 31}; 'weighted avg': {'precision': 0.815668202764977; 'recall': 0.7419354838709677; 'f1-score': 0.6897081413210445; 'support': 31}}
5,1,CNF,0,284,32,17,[16; 17],222,0.759669,0.843750,1,[X24 >= 0.087220],{'0.0': {'precision': 0.5520833333333334; 'recall': 0.5145631067961165; 'f1-score': 0.5326633165829147; 'support': 103}; '1.0': {'precision': 0.7340425531914894; 'recall': 0.7624309392265194; 'f1-score': 0.7479674796747968; 'support': 181}; 'accuracy': 0.6725352112676056; 'macro avg': {'precision': 0.6430629432624113; 'recall': 0.6384970230113179; 'f1-score': 0.6403153981288557; 'support': 284}; 'weighted avg': {'precision': 0.6680503009189892; 'recall': 0.6725352112676056; 'f1-score': 0.6698818148914734; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.8181818181818182; 'f1-score': 0.7826086956521738; 'support': 11}; '1.0': {'precision': 0.9; 'recall': 0.8571428571428571; 'f1-score': 0.8780487804878048; 'support': 21}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.825; 'recall': 0.8376623376623377; 'f1-score': 0.8303287380699893; 'support': 32}; 'weighted avg': {'precision': 0.8484375000000001; 'recall': 0.84375; 'f1-score': 0.8452412513255567; 'support': 32}}
