lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,283,32,1,[283; 283],222,11.177413,0.781250,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5490196078431373; 'f1-score': 0.7088607594936709; 'support': 102}; '1.0': {'precision': 0.7973568281938326; 'recall': 1.0; 'f1-score': 0.8872549019607843; 'support': 181}; 'accuracy': 0.8374558303886925; 'macro avg': {'precision': 0.8986784140969163; 'recall': 0.7745098039215687; 'f1-score': 0.7980578307272276; 'support': 283}; 'weighted avg': {'precision': 0.8703942964773276; 'recall': 0.8374558303886925; 'f1-score': 0.8229573665132734; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
5,1,CNF,1,283,32,1,[283; 283],222,8.724655,0.750000,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5588235294117647; 'f1-score': 0.7169811320754718; 'support': 102}; '1.0': {'precision': 0.8008849557522124; 'recall': 1.0; 'f1-score': 0.8894348894348895; 'support': 181}; 'accuracy': 0.8409893992932862; 'macro avg': {'precision': 0.9004424778761062; 'recall': 0.7794117647058824; 'f1-score': 0.8032080107551807; 'support': 283}; 'weighted avg': {'precision': 0.8726508020888708; 'recall': 0.8409893992932862; 'f1-score': 0.8272784115173607; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
5,1,CNF,2,283,32,1,[283; 283],222,12.117924,0.906250,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.504950495049505; 'f1-score': 0.6710526315789473; 'support': 101}; '1.0': {'precision': 0.7844827586206896; 'recall': 1.0; 'f1-score': 0.8792270531400966; 'support': 182}; 'accuracy': 0.823321554770318; 'macro avg': {'precision': 0.8922413793103448; 'recall': 0.7524752475247525; 'f1-score': 0.7751398423595219; 'support': 283}; 'weighted avg': {'precision': 0.8613988058974047; 'recall': 0.823321554770318; 'f1-score': 0.8049315882013118; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.75; 'f1-score': 0.8571428571428571; 'support': 12}; '1.0': {'precision': 0.8695652173913043; 'recall': 1.0; 'f1-score': 0.9302325581395349; 'support': 20}; 'accuracy': 0.90625; 'macro avg': {'precision': 0.9347826086956521; 'recall': 0.875; 'f1-score': 0.893687707641196; 'support': 32}; 'weighted avg': {'precision': 0.9184782608695652; 'recall': 0.90625; 'f1-score': 0.9028239202657807; 'support': 32}}
5,1,CNF,3,283,32,1,[283; 283],222,10.417386,0.781250,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5445544554455446; 'f1-score': 0.7051282051282052; 'support': 101}; '1.0': {'precision': 0.7982456140350878; 'recall': 1.0; 'f1-score': 0.8878048780487805; 'support': 182}; 'accuracy': 0.8374558303886925; 'macro avg': {'precision': 0.8991228070175439; 'recall': 0.7722772277227723; 'f1-score': 0.7964665415884928; 'support': 283}; 'weighted avg': {'precision': 0.8702498295207985; 'recall': 0.8374558303886925; 'f1-score': 0.822609316335077; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.4166666666666667; 'f1-score': 0.5882352941176471; 'support': 12}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.7083333333333334; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.8379629629629629; 'recall': 0.78125; 'f1-score': 0.7525031289111389; 'support': 32}}
5,1,CNF,4,283,32,1,[283; 283],222,11.864510,0.843750,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5247524752475248; 'f1-score': 0.6883116883116883; 'support': 101}; '1.0': {'precision': 0.7913043478260869; 'recall': 1.0; 'f1-score': 0.883495145631068; 'support': 182}; 'accuracy': 0.8303886925795053; 'macro avg': {'precision': 0.8956521739130434; 'recall': 0.7623762376237624; 'f1-score': 0.7859034169713781; 'support': 283}; 'weighted avg': {'precision': 0.8657858349976955; 'recall': 0.8303886925795053; 'f1-score': 0.8138360318881093; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.5833333333333334; 'f1-score': 0.7368421052631579; 'support': 12}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9; 'recall': 0.7916666666666667; 'f1-score': 0.8128654970760234; 'support': 32}; 'weighted avg': {'precision': 0.875; 'recall': 0.84375; 'f1-score': 0.8318713450292398; 'support': 32}}
5,1,CNF,5,284,31,1,[284; 284],222,9.176126,0.806452,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5392156862745098; 'f1-score': 0.7006369426751593; 'support': 102}; '1.0': {'precision': 0.7947598253275109; 'recall': 1.0; 'f1-score': 0.8856447688564477; 'support': 182}; 'accuracy': 0.8345070422535211; 'macro avg': {'precision': 0.8973799126637554; 'recall': 0.7696078431372548; 'f1-score': 0.7931408557658035; 'support': 284}; 'weighted avg': {'precision': 0.8684728458084753; 'recall': 0.8345070422535211; 'f1-score': 0.8191982960730273; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.7272727272727273; 'f1-score': 0.7472826086956522; 'support': 31}; 'weighted avg': {'precision': 0.8511166253101737; 'recall': 0.8064516129032258; 'f1-score': 0.7827840112201965; 'support': 31}}
5,1,CNF,6,284,31,1,[284; 284],222,17.633727,0.935484,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5; 'f1-score': 0.6666666666666666; 'support': 102}; '1.0': {'precision': 0.7811158798283262; 'recall': 1.0; 'f1-score': 0.8771084337349397; 'support': 182}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8905579399141631; 'recall': 0.75; 'f1-score': 0.7718875502008031; 'support': 284}; 'weighted avg': {'precision': 0.859729190594209; 'recall': 0.8204225352112676; 'f1-score': 0.8015272357033768; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.8181818181818182; 'f1-score': 0.9; 'support': 11}; '1.0': {'precision': 0.9090909090909091; 'recall': 1.0; 'f1-score': 0.9523809523809523; 'support': 20}; 'accuracy': 0.9354838709677419; 'macro avg': {'precision': 0.9545454545454546; 'recall': 0.9090909090909092; 'f1-score': 0.9261904761904762; 'support': 31}; 'weighted avg': {'precision': 0.9413489736070381; 'recall': 0.9354838709677419; 'f1-score': 0.9337941628264209; 'support': 31}}
5,1,CNF,7,284,31,1,[284; 284],222,13.245375,0.838710,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5294117647058824; 'f1-score': 0.6923076923076924; 'support': 102}; '1.0': {'precision': 0.7913043478260869; 'recall': 1.0; 'f1-score': 0.883495145631068; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.8956521739130434; 'recall': 0.7647058823529411; 'f1-score': 0.7879014189693803; 'support': 284}; 'weighted avg': {'precision': 0.8662584200857317; 'recall': 0.8309859154929577; 'f1-score': 0.8148292292966162; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
5,1,CNF,8,284,31,1,[284; 284],222,12.309546,0.870968,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5196078431372549; 'f1-score': 0.6838709677419356; 'support': 102}; '1.0': {'precision': 0.7878787878787878; 'recall': 1.0; 'f1-score': 0.8813559322033898; 'support': 182}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.8939393939393939; 'recall': 0.7598039215686274; 'f1-score': 0.7826134499726627; 'support': 284}; 'weighted avg': {'precision': 0.8640631668800682; 'recall': 0.8274647887323944; 'f1-score': 0.8104282336996281; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
5,1,CNF,9,284,31,1,[284; 284],222,11.333302,0.806452,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5392156862745098; 'f1-score': 0.7006369426751593; 'support': 102}; '1.0': {'precision': 0.7947598253275109; 'recall': 1.0; 'f1-score': 0.8856447688564477; 'support': 182}; 'accuracy': 0.8345070422535211; 'macro avg': {'precision': 0.8973799126637554; 'recall': 0.7696078431372548; 'f1-score': 0.7931408557658035; 'support': 284}; 'weighted avg': {'precision': 0.8684728458084753; 'recall': 0.8345070422535211; 'f1-score': 0.8191982960730273; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.7272727272727273; 'f1-score': 0.7472826086956522; 'support': 31}; 'weighted avg': {'precision': 0.8511166253101737; 'recall': 0.8064516129032258; 'f1-score': 0.7827840112201965; 'support': 31}}
5,1,DNF,0,283,32,1,[283; 283],222,2.992751,0.968750,9,[X2 >= 0.190280 AND X4 >= 0.041440 AND X5 >= -0.795310 AND X7 >= -0.983575 AND X9 >= -0.572990 AND X13 >= -0.554585 AND X15 < 0.968410 AND X15 >= -0.905170 AND X28 >= -0.911830],{'0.0': {'precision': 0.9696969696969697; 'recall': 0.9411764705882353; 'f1-score': 0.955223880597015; 'support': 102}; '1.0': {'precision': 0.967391304347826; 'recall': 0.9834254143646409; 'f1-score': 0.9753424657534246; 'support': 181}; 'accuracy': 0.9681978798586572; 'macro avg': {'precision': 0.9685441370223979; 'recall': 0.9623009424764382; 'f1-score': 0.9652831731752198; 'support': 283}; 'weighted avg': {'precision': 0.9682223215408035; 'recall': 0.9681978798586572; 'f1-score': 0.9680912442482876; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.9090909090909091; 'f1-score': 0.9523809523809523; 'support': 11}; '1.0': {'precision': 0.9545454545454546; 'recall': 1.0; 'f1-score': 0.9767441860465117; 'support': 21}; 'accuracy': 0.96875; 'macro avg': {'precision': 0.9772727272727273; 'recall': 0.9545454545454546; 'f1-score': 0.9645625692137321; 'support': 32}; 'weighted avg': {'precision': 0.9701704545454546; 'recall': 0.96875; 'f1-score': 0.9683693244739757; 'support': 32}}
