lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.223749,0.811321,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5103448275862069; 'recall': 0.556390977443609; 'f1-score': 0.5323741007194244; 'support': 133}; '1.0': {'precision': 0.8173374613003096; 'recall': 0.7880597014925373; 'f1-score': 0.8024316109422494; 'support': 335}; 'accuracy': 0.7222222222222222; 'macro avg': {'precision': 0.6638411444432583; 'recall': 0.6722253394680732; 'f1-score': 0.6674028558308369; 'support': 468}; 'weighted avg': {'precision': 0.7300938282148917; 'recall': 0.7222222222222222; 'f1-score': 0.7256844979943098; 'support': 468}},{'0.0': {'precision': 0.6923076923076923; 'recall': 0.6; 'f1-score': 0.6428571428571429; 'support': 15}; '1.0': {'precision': 0.85; 'recall': 0.8947368421052632; 'f1-score': 0.8717948717948718; 'support': 38}; 'accuracy': 0.8113207547169812; 'macro avg': {'precision': 0.7711538461538461; 'recall': 0.7473684210526316; 'f1-score': 0.7573260073260073; 'support': 53}; 'weighted avg': {'precision': 0.8053701015965167; 'recall': 0.8113207547169812; 'f1-score': 0.8070011749257033; 'support': 53}}
5,1,CNF,1,469,52,58,[8; 9],14,1.111216,0.750000,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.528169014084507; 'recall': 0.5597014925373134; 'f1-score': 0.5434782608695652; 'support': 134}; '1.0': {'precision': 0.8195718654434251; 'recall': 0.8; 'f1-score': 0.8096676737160122; 'support': 335}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6738704397639661; 'recall': 0.6798507462686567; 'f1-score': 0.6765729672927887; 'support': 469}; 'weighted avg': {'precision': 0.7363139079123058; 'recall': 0.7313432835820896; 'f1-score': 0.7336135557598845; 'support': 469}},{'0.0': {'precision': 0.5333333333333333; 'recall': 0.5714285714285714; 'f1-score': 0.5517241379310344; 'support': 14}; '1.0': {'precision': 0.8378378378378378; 'recall': 0.8157894736842105; 'f1-score': 0.8266666666666665; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6855855855855856; 'recall': 0.6936090225563909; 'f1-score': 0.6891954022988505; 'support': 52}; 'weighted avg': {'precision': 0.7558558558558559; 'recall': 0.75; 'f1-score': 0.7526436781609195; 'support': 52}}
5,1,CNF,2,469,52,58,[8; 9],14,1.157720,0.711538,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.5126050420168067; 'recall': 0.4552238805970149; 'f1-score': 0.48221343873517786; 'support': 134}; '1.0': {'precision': 0.7914285714285715; 'recall': 0.826865671641791; 'f1-score': 0.8087591240875912; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.652016806722689; 'recall': 0.6410447761194029; 'f1-score': 0.6454862814113845; 'support': 469}; 'weighted avg': {'precision': 0.711764705882353; 'recall': 0.720682302771855; 'f1-score': 0.7154603568440445; 'support': 469}},{'0.0': {'precision': 0.46153846153846156; 'recall': 0.42857142857142855; 'f1-score': 0.4444444444444445; 'support': 14}; '1.0': {'precision': 0.7948717948717948; 'recall': 0.8157894736842105; 'f1-score': 0.8051948051948051; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6282051282051282; 'recall': 0.6221804511278195; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.7051282051282051; 'recall': 0.7115384615384616; 'f1-score': 0.708069708069708; 'support': 52}}
5,1,CNF,3,469,52,58,[8; 9],14,1.178846,0.576923,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.44841269841269843; 'recall': 0.849624060150376; 'f1-score': 0.5870129870129871; 'support': 133}; '1.0': {'precision': 0.9078341013824884; 'recall': 0.5863095238095238; 'f1-score': 0.7124773960216999; 'support': 336}; 'accuracy': 0.6609808102345416; 'macro avg': {'precision': 0.6781233998975934; 'recall': 0.71796679197995; 'f1-score': 0.6497451915173436; 'support': 469}; 'weighted avg': {'precision': 0.7775504199432943; 'recall': 0.6609808102345416; 'f1-score': 0.6768979367505723; 'support': 469}},{'0.0': {'precision': 0.3870967741935484; 'recall': 0.8; 'f1-score': 0.5217391304347827; 'support': 15}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.4864864864864865; 'f1-score': 0.6206896551724138; 'support': 37}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.6221198156682027; 'recall': 0.6432432432432433; 'f1-score': 0.5712143928035982; 'support': 52}; 'weighted avg': {'precision': 0.7215526409074796; 'recall': 0.5769230769230769; 'f1-score': 0.5921462345750202; 'support': 52}}
5,1,CNF,4,469,52,58,[8; 9],14,1.145782,0.692308,5,[X2 >= 1.650000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.26666666666666666; 'recall': 0.09022556390977443; 'f1-score': 0.1348314606741573; 'support': 133}; '1.0': {'precision': 0.714622641509434; 'recall': 0.9017857142857143; 'f1-score': 0.7973684210526316; 'support': 336}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.49064465408805036; 'recall': 0.49600563909774437; 'f1-score': 0.46609994086339446; 'support': 469}; 'weighted avg': {'precision': 0.5875903501361119; 'recall': 0.6716417910447762; 'f1-score': 0.609484805422915; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.723404255319149; 'recall': 0.918918918918919; 'f1-score': 0.8095238095238095; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5617021276595745; 'recall': 0.5261261261261262; 'f1-score': 0.5047619047619047; 'support': 52}; 'weighted avg': {'precision': 0.6301145662847791; 'recall': 0.6923076923076923; 'f1-score': 0.6336996336996337; 'support': 52}}
5,1,CNF,5,469,52,58,[8; 9],14,1.205950,0.692308,3,[X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4594594594594595; 'recall': 0.6390977443609023; 'f1-score': 0.5345911949685535; 'support': 133}; '1.0': {'precision': 0.8309859154929577; 'recall': 0.7023809523809523; 'f1-score': 0.7612903225806451; 'support': 336}; 'accuracy': 0.6844349680170576; 'macro avg': {'precision': 0.6452226874762086; 'recall': 0.6707393483709273; 'f1-score': 0.6479407587745993; 'support': 469}; 'weighted avg': {'precision': 0.7256276667670404; 'recall': 0.6844349680170576; 'f1-score': 0.6970025102727385; 'support': 469}},{'0.0': {'precision': 0.4782608695652174; 'recall': 0.7333333333333333; 'f1-score': 0.5789473684210527; 'support': 15}; '1.0': {'precision': 0.8620689655172413; 'recall': 0.6756756756756757; 'f1-score': 0.7575757575757576; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6701649175412294; 'recall': 0.7045045045045044; 'f1-score': 0.6682615629984051; 'support': 52}; 'weighted avg': {'precision': 0.7513550916849266; 'recall': 0.6923076923076923; 'f1-score': 0.706048337627285; 'support': 52}}
5,1,CNF,6,469,52,58,[8; 9],14,1.291004,0.576923,2,[X2 >= 1.650000 OR X9 < 0.895000],{'0.0': {'precision': 0.4449760765550239; 'recall': 0.6992481203007519; 'f1-score': 0.543859649122807; 'support': 133}; '1.0': {'precision': 0.8461538461538461; 'recall': 0.6547619047619048; 'f1-score': 0.738255033557047; 'support': 336}; 'accuracy': 0.6673773987206824; 'macro avg': {'precision': 0.645564961354435; 'recall': 0.6770050125313283; 'f1-score': 0.641057341339927; 'support': 469}; 'weighted avg': {'precision': 0.7323870159691056; 'recall': 0.6673773987206824; 'f1-score': 0.6831279842398745; 'support': 469}},{'0.0': {'precision': 0.3870967741935484; 'recall': 0.8; 'f1-score': 0.5217391304347827; 'support': 15}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.4864864864864865; 'f1-score': 0.6206896551724138; 'support': 37}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.6221198156682027; 'recall': 0.6432432432432433; 'f1-score': 0.5712143928035982; 'support': 52}; 'weighted avg': {'precision': 0.7215526409074796; 'recall': 0.5769230769230769; 'f1-score': 0.5921462345750202; 'support': 52}}
5,1,CNF,7,469,52,58,[8; 9],14,1.164450,0.750000,4,[(NOT X1) OR X3 >= 1.250000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4217687074829932; 'recall': 0.46616541353383456; 'f1-score': 0.44285714285714284; 'support': 133}; '1.0': {'precision': 0.7795031055900621; 'recall': 0.7470238095238095; 'f1-score': 0.762917933130699; 'support': 336}; 'accuracy': 0.6673773987206824; 'macro avg': {'precision': 0.6006359065365277; 'recall': 0.6065946115288221; 'f1-score': 0.6028875379939209; 'support': 469}; 'weighted avg': {'precision': 0.678056037470147; 'recall': 0.6673773987206824; 'f1-score': 0.6721544254411831; 'support': 469}},{'0.0': {'precision': 0.5625; 'recall': 0.6; 'f1-score': 0.5806451612903225; 'support': 15}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.8108108108108109; 'f1-score': 0.8219178082191781; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6979166666666667; 'recall': 0.7054054054054054; 'f1-score': 0.7012814847547504; 'support': 52}; 'weighted avg': {'precision': 0.7552083333333334; 'recall': 0.75; 'f1-score': 0.7523199292973929; 'support': 52}}
5,1,CNF,8,469,52,58,[8; 9],14,1.303479,0.596154,3,[(NOT X1) OR X5 < 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.09615384615384616; 'recall': 0.03759398496240601; 'f1-score': 0.05405405405405406; 'support': 133}; '1.0': {'precision': 0.6930455635491607; 'recall': 0.8601190476190477; 'f1-score': 0.7675962815405047; 'support': 336}; 'accuracy': 0.6268656716417911; 'macro avg': {'precision': 0.3945997048515034; 'recall': 0.44885651629072687; 'f1-score': 0.4108251677972794; 'support': 469}; 'weighted avg': {'precision': 0.523777763093773; 'recall': 0.6268656716417911; 'f1-score': 0.5652484856861381; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6739130434782609; 'recall': 0.8378378378378378; 'f1-score': 0.746987951807229; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.33695652173913043; 'recall': 0.4189189189189189; 'f1-score': 0.3734939759036145; 'support': 52}; 'weighted avg': {'precision': 0.47951505016722407; 'recall': 0.5961538461538461; 'f1-score': 0.5315106580166822; 'support': 52}}
5,1,CNF,9,469,52,58,[8; 9],14,1.201836,0.673077,4,[(NOT X1) OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.44; 'recall': 0.08270676691729323; 'f1-score': 0.13924050632911392; 'support': 133}; '1.0': {'precision': 0.7252252252252253; 'recall': 0.9583333333333334; 'f1-score': 0.8256410256410257; 'support': 336}; 'accuracy': 0.7100213219616205; 'macro avg': {'precision': 0.5826126126126127; 'recall': 0.5205200501253133; 'f1-score': 0.4824407659850698; 'support': 469}; 'weighted avg': {'precision': 0.6443404598628479; 'recall': 0.7100213219616205; 'f1-score': 0.630990132104812; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.9459459459459459; 'f1-score': 0.8045977011494254; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.35; 'recall': 0.47297297297297297; 'f1-score': 0.4022988505747127; 'support': 52}; 'weighted avg': {'precision': 0.49807692307692303; 'recall': 0.6730769230769231; 'f1-score': 0.572502210433245; 'support': 52}}
5,1,CNF,0,468,53,29,[16; 17],14,0.620482,0.698113,3,[X3 >= 1.250000 OR X4 < 211.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.12244897959183673; 'recall': 0.045112781954887216; 'f1-score': 0.06593406593406594; 'support': 133}; '1.0': {'precision': 0.6968973747016707; 'recall': 0.8716417910447761; 'f1-score': 0.7745358090185677; 'support': 335}; 'accuracy': 0.6367521367521367; 'macro avg': {'precision': 0.4096731771467537; 'recall': 0.45837728649983167; 'f1-score': 0.4202349374763168; 'support': 468}; 'weighted avg': {'precision': 0.5336460145529358; 'recall': 0.6367521367521367; 'f1-score': 0.5731596726291687; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.9473684210526315; 'f1-score': 0.8181818181818181; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5266666666666666; 'recall': 0.5070175438596491; 'f1-score': 0.46464646464646464; 'support': 53}; 'weighted avg': {'precision': 0.610566037735849; 'recall': 0.6981132075471698; 'f1-score': 0.6180674671240709; 'support': 53}}
5,1,CNF,1,469,52,29,[16; 17],14,0.639338,0.750000,5,[(NOT X1) OR X2 >= 1.650000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.2926829268292683; 'recall': 0.08955223880597014; 'f1-score': 0.13714285714285715; 'support': 134}; '1.0': {'precision': 0.7149532710280374; 'recall': 0.9134328358208955; 'f1-score': 0.8020969855832242; 'support': 335}; 'accuracy': 0.6780383795309168; 'macro avg': {'precision': 0.5038180989286528; 'recall': 0.5014925373134328; 'f1-score': 0.46961992136304065; 'support': 469}; 'weighted avg': {'precision': 0.5943046012569605; 'recall': 0.6780383795309168; 'f1-score': 0.6121100917431194; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.14285714285714285; 'f1-score': 0.23529411764705882; 'support': 14}; '1.0': {'precision': 0.7551020408163265; 'recall': 0.9736842105263158; 'f1-score': 0.8505747126436782; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7108843537414966; 'recall': 0.5582706766917294; 'f1-score': 0.5429344151453686; 'support': 52}; 'weighted avg': {'precision': 0.7312925170068026; 'recall': 0.75; 'f1-score': 0.6849222447599731; 'support': 52}}
5,1,CNF,2,469,52,29,[16; 17],14,0.652614,0.730769,3,[X4 >= 211.500000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.44; 'recall': 0.08208955223880597; 'f1-score': 0.13836477987421386; 'support': 134}; '1.0': {'precision': 0.722972972972973; 'recall': 0.9582089552238806; 'f1-score': 0.8241335044929397; 'support': 335}; 'accuracy': 0.7078891257995735; 'macro avg': {'precision': 0.5814864864864865; 'recall': 0.5201492537313432; 'f1-score': 0.48124914218357673; 'support': 469}; 'weighted avg': {'precision': 0.6421235521235522; 'recall': 0.7078891257995735; 'f1-score': 0.6281995831733037; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.36538461538461536; 'recall': 0.5; 'f1-score': 0.42222222222222217; 'support': 52}; 'weighted avg': {'precision': 0.5340236686390532; 'recall': 0.7307692307692307; 'f1-score': 0.6170940170940169; 'support': 52}}
