lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,469,53,58,[8; 9],14,1.228533,0.698113,3,[(NOT X1) OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.464; 'recall': 0.43283582089552236; 'f1-score': 0.44787644787644787; 'support': 134}; '1.0': {'precision': 0.7790697674418605; 'recall': 0.8; 'f1-score': 0.7893961708394699; 'support': 335}; 'accuracy': 0.6950959488272921; 'macro avg': {'precision': 0.6215348837209302; 'recall': 0.6164179104477612; 'f1-score': 0.6186363093579589; 'support': 469}; 'weighted avg': {'precision': 0.6890498338870432; 'recall': 0.6950959488272921; 'f1-score': 0.6918191071357493; 'support': 469}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.4666666666666667; 'f1-score': 0.4666666666666667; 'support': 15}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.7894736842105263; 'f1-score': 0.7894736842105263; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.6280701754385964; 'recall': 0.6280701754385964; 'f1-score': 0.6280701754385964; 'support': 53}; 'weighted avg': {'precision': 0.6981132075471698; 'recall': 0.6981132075471698; 'f1-score': 0.6981132075471698; 'support': 53}}
5,1,CNF,1,469,53,58,[8; 9],14,1.250894,0.735849,6,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5425531914893617; 'recall': 0.3805970149253731; 'f1-score': 0.4473684210526316; 'support': 134}; '1.0': {'precision': 0.7786666666666666; 'recall': 0.8716417910447761; 'f1-score': 0.8225352112676055; 'support': 335}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6606099290780141; 'recall': 0.6261194029850746; 'f1-score': 0.6349518161601185; 'support': 469}; 'weighted avg': {'precision': 0.7112056737588651; 'recall': 0.7313432835820896; 'f1-score': 0.7153446997776131; 'support': 469}},{'0.0': {'precision': 0.5555555555555556; 'recall': 0.3333333333333333; 'f1-score': 0.4166666666666667; 'support': 15}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.8947368421052632; 'f1-score': 0.8292682926829269; 'support': 38}; 'accuracy': 0.7358490566037735; 'macro avg': {'precision': 0.6641414141414141; 'recall': 0.6140350877192983; 'f1-score': 0.6229674796747968; 'support': 53}; 'weighted avg': {'precision': 0.7112635791881075; 'recall': 0.7358490566037735; 'f1-score': 0.7124942475839854; 'support': 53}}
5,1,CNF,2,470,52,58,[8; 9],14,1.280668,0.711538,3,[(NOT X1) OR X3 >= 1.250000 OR X6 < 59.500000],{'0.0': {'precision': 0.1935483870967742; 'recall': 0.08888888888888889; 'f1-score': 0.12182741116751268; 'support': 135}; '1.0': {'precision': 0.6985294117647058; 'recall': 0.8507462686567164; 'f1-score': 0.7671601615074024; 'support': 335}; 'accuracy': 0.6319148936170212; 'macro avg': {'precision': 0.44603889943074004; 'recall': 0.46981757877280267; 'f1-score': 0.44449378633745756; 'support': 470}; 'weighted avg': {'precision': 0.553481670636683; 'recall': 0.6319148936170212; 'f1-score': 0.5817986268353064; 'support': 470}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.21428571428571427; 'f1-score': 0.2857142857142857; 'support': 14}; '1.0': {'precision': 0.7555555555555555; 'recall': 0.8947368421052632; 'f1-score': 0.8192771084337349; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5920634920634921; 'recall': 0.5545112781954887; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6675213675213675; 'recall': 0.7115384615384616; 'f1-score': 0.6756255792400372; 'support': 52}}
5,1,CNF,3,470,52,58,[8; 9],14,1.303497,0.653846,2,[(NOT X1) OR X2 >= 1.650000],{'0.0': {'precision': 0.3842364532019704; 'recall': 0.582089552238806; 'f1-score': 0.4629080118694362; 'support': 134}; '1.0': {'precision': 0.7902621722846442; 'recall': 0.6279761904761905; 'f1-score': 0.6998341625207296; 'support': 336}; 'accuracy': 0.6148936170212767; 'macro avg': {'precision': 0.5872493127433074; 'recall': 0.6050328713574982; 'f1-score': 0.5813710871950829; 'support': 470}; 'weighted avg': {'precision': 0.6745016481206478; 'recall': 0.6148936170212767; 'f1-score': 0.6322850046754672; 'support': 470}},{'0.0': {'precision': 0.44; 'recall': 0.7333333333333333; 'f1-score': 0.5499999999999999; 'support': 15}; '1.0': {'precision': 0.8518518518518519; 'recall': 0.6216216216216216; 'f1-score': 0.7187499999999999; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6459259259259259; 'recall': 0.6774774774774774; 'f1-score': 0.6343749999999999; 'support': 52}; 'weighted avg': {'precision': 0.733048433048433; 'recall': 0.6538461538461539; 'f1-score': 0.6700721153846152; 'support': 52}}
5,1,CNF,4,470,52,58,[8; 9],14,1.247727,0.673077,3,[X1 OR X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4588235294117647; 'recall': 0.291044776119403; 'f1-score': 0.35616438356164387; 'support': 134}; '1.0': {'precision': 0.7532467532467533; 'recall': 0.8630952380952381; 'f1-score': 0.8044382801664356; 'support': 336}; 'accuracy': 0.7; 'macro avg': {'precision': 0.606035141329259; 'recall': 0.5770700071073206; 'f1-score': 0.5803013318640398; 'support': 470}; 'weighted avg': {'precision': 0.6693048128342246; 'recall': 0.7; 'f1-score': 0.6766325309216652; 'support': 470}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
5,1,CNF,5,470,52,58,[8; 9],14,1.235805,0.653846,4,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.5040650406504065; 'recall': 0.4626865671641791; 'f1-score': 0.48249027237354086; 'support': 134}; '1.0': {'precision': 0.792507204610951; 'recall': 0.8184523809523809; 'f1-score': 0.8052708638360176; 'support': 336}; 'accuracy': 0.7170212765957447; 'macro avg': {'precision': 0.6482861226306788; 'recall': 0.64056947405828; 'f1-score': 0.6438805681047792; 'support': 470}; 'weighted avg': {'precision': 0.7102705025456043; 'recall': 0.7170212765957447; 'f1-score': 0.7132440569084179; 'support': 470}},{'0.0': {'precision': 0.4117647058823529; 'recall': 0.4666666666666667; 'f1-score': 0.43749999999999994; 'support': 15}; '1.0': {'precision': 0.7714285714285715; 'recall': 0.7297297297297297; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5915966386554622; 'recall': 0.5981981981981982; 'f1-score': 0.59375; 'support': 52}; 'weighted avg': {'precision': 0.6676793794440853; 'recall': 0.6538461538461539; 'f1-score': 0.6598557692307693; 'support': 52}}
5,1,CNF,6,470,52,58,[8; 9],14,1.248221,0.711538,3,[X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.46766169154228854; 'recall': 0.7014925373134329; 'f1-score': 0.5611940298507463; 'support': 134}; '1.0': {'precision': 0.8513011152416357; 'recall': 0.6815476190476191; 'f1-score': 0.7570247933884298; 'support': 336}; 'accuracy': 0.6872340425531915; 'macro avg': {'precision': 0.659481403391962; 'recall': 0.691520078180526; 'f1-score': 0.659109411619588; 'support': 470}; 'weighted avg': {'precision': 0.7419230667826728; 'recall': 0.6872340425531915; 'f1-score': 0.7011921927202391; 'support': 470}},{'0.0': {'precision': 0.5; 'recall': 0.8; 'f1-score': 0.6153846153846154; 'support': 15}; '1.0': {'precision': 0.8928571428571429; 'recall': 0.6756756756756757; 'f1-score': 0.7692307692307693; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6964285714285714; 'recall': 0.7378378378378379; 'f1-score': 0.6923076923076923; 'support': 52}; 'weighted avg': {'precision': 0.779532967032967; 'recall': 0.7115384615384616; 'f1-score': 0.7248520710059172; 'support': 52}}
5,1,CNF,7,470,52,58,[8; 9],14,1.230365,0.653846,3,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.5027624309392266; 'recall': 0.6791044776119403; 'f1-score': 0.5777777777777777; 'support': 134}; '1.0': {'precision': 0.8512110726643599; 'recall': 0.7321428571428571; 'f1-score': 0.7871999999999999; 'support': 336}; 'accuracy': 0.7170212765957447; 'macro avg': {'precision': 0.6769867518017932; 'recall': 0.7056236673773987; 'f1-score': 0.6824888888888888; 'support': 470}; 'weighted avg': {'precision': 0.7518661407682581; 'recall': 0.7170212765957447; 'f1-score': 0.7274923877068558; 'support': 470}},{'0.0': {'precision': 0.43478260869565216; 'recall': 0.6666666666666666; 'f1-score': 0.5263157894736841; 'support': 15}; '1.0': {'precision': 0.8275862068965517; 'recall': 0.6486486486486487; 'f1-score': 0.7272727272727273; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.631184407796102; 'recall': 0.6576576576576576; 'f1-score': 0.6267942583732057; 'support': 52}; 'weighted avg': {'precision': 0.7142774766462922; 'recall': 0.6538461538461539; 'f1-score': 0.6693043798306957; 'support': 52}}
5,1,CNF,8,470,52,58,[8; 9],14,1.266351,0.750000,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.47715736040609136; 'recall': 0.7014925373134329; 'f1-score': 0.56797583081571; 'support': 134}; '1.0': {'precision': 0.8534798534798534; 'recall': 0.6934523809523809; 'f1-score': 0.7651888341543512; 'support': 336}; 'accuracy': 0.6957446808510638; 'macro avg': {'precision': 0.6653186069429724; 'recall': 0.6974724591329069; 'f1-score': 0.6665823324850306; 'support': 470}; 'weighted avg': {'precision': 0.7461879086460576; 'recall': 0.6957446808510638; 'f1-score': 0.7089621480961004; 'support': 470}},{'0.0': {'precision': 0.5555555555555556; 'recall': 0.6666666666666666; 'f1-score': 0.606060606060606; 'support': 15}; '1.0': {'precision': 0.8529411764705882; 'recall': 0.7837837837837838; 'f1-score': 0.8169014084507041; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7042483660130718; 'recall': 0.7252252252252251; 'f1-score': 0.711481007255655; 'support': 52}; 'weighted avg': {'precision': 0.767156862745098; 'recall': 0.75; 'f1-score': 0.7560819462227912; 'support': 52}}
5,1,CNF,9,470,52,58,[8; 9],14,1.223702,0.673077,2,[X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.41216216216216217; 'recall': 0.9104477611940298; 'f1-score': 0.5674418604651164; 'support': 134}; '1.0': {'precision': 0.9310344827586207; 'recall': 0.48214285714285715; 'f1-score': 0.6352941176470589; 'support': 336}; 'accuracy': 0.6042553191489362; 'macro avg': {'precision': 0.6715983224603914; 'recall': 0.6962953091684435; 'f1-score': 0.6013679890560877; 'support': 470}; 'weighted avg': {'precision': 0.7831006722055879; 'recall': 0.6042553191489362; 'f1-score': 0.6159490060249732; 'support': 470}},{'0.0': {'precision': 0.4642857142857143; 'recall': 0.8666666666666667; 'f1-score': 0.6046511627906976; 'support': 15}; '1.0': {'precision': 0.9166666666666666; 'recall': 0.5945945945945946; 'f1-score': 0.7213114754098361; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.6904761904761905; 'recall': 0.7306306306306307; 'f1-score': 0.6629813191002669; 'support': 52}; 'weighted avg': {'precision': 0.7861721611721612; 'recall': 0.6730769230769231; 'f1-score': 0.6876594621543154; 'support': 52}}
5,1,CNF,0,469,53,29,[16; 17],14,0.651747,0.660377,4,[(NOT X1) OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.504950495049505; 'recall': 0.3805970149253731; 'f1-score': 0.4340425531914894; 'support': 134}; '1.0': {'precision': 0.7744565217391305; 'recall': 0.8507462686567164; 'f1-score': 0.810810810810811; 'support': 335}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6397035083943177; 'recall': 0.6156716417910448; 'f1-score': 0.6224266820011501; 'support': 469}; 'weighted avg': {'precision': 0.6974547998278089; 'recall': 0.7164179104477612; 'f1-score': 0.7031627372052904; 'support': 469}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.26666666666666666; 'f1-score': 0.30769230769230765; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8157894736842105; 'f1-score': 0.775; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.550865800865801; 'recall': 0.5412280701754386; 'f1-score': 0.5413461538461538; 'support': 53}; 'weighted avg': {'precision': 0.6321163113615944; 'recall': 0.660377358490566; 'f1-score': 0.6427431059506531; 'support': 53}}
5,1,CNF,1,469,53,29,[16; 17],14,0.652446,0.716981,3,[X1 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.45; 'recall': 0.20149253731343283; 'f1-score': 0.27835051546391754; 'support': 134}; '1.0': {'precision': 0.7383863080684596; 'recall': 0.9014925373134328; 'f1-score': 0.8118279569892473; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.5941931540342298; 'recall': 0.5514925373134328; 'f1-score': 0.5450892362265825; 'support': 469}; 'weighted avg': {'precision': 0.6559902200488997; 'recall': 0.7014925373134329; 'f1-score': 0.659405830839153; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4666666666666667; 'f1-score': 0.4827586206896552; 'support': 15}; '1.0': {'precision': 0.7948717948717948; 'recall': 0.8157894736842105; 'f1-score': 0.8051948051948051; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6474358974358974; 'recall': 0.6412280701754386; 'f1-score': 0.6439767129422301; 'support': 53}; 'weighted avg': {'precision': 0.7114175133043057; 'recall': 0.7169811320754716; 'f1-score': 0.7139392812782533; 'support': 53}}
5,1,CNF,2,470,52,29,[16; 17],14,0.630821,0.711538,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5337837837837838; 'recall': 0.5851851851851851; 'f1-score': 0.558303886925795; 'support': 135}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.7940298507462686; 'f1-score': 0.8097412480974124; 'support': 335}; 'accuracy': 0.7340425531914894; 'macro avg': {'precision': 0.6799353701527615; 'recall': 0.6896075179657268; 'f1-score': 0.6840225675116037; 'support': 470}; 'weighted avg': {'precision': 0.7421275345650925; 'recall': 0.7340425531914894; 'f1-score': 0.7375198783991819; 'support': 470}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.35714285714285715; 'f1-score': 0.4; 'support': 14}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8421052631578947; 'f1-score': 0.810126582278481; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6175166297117517; 'recall': 0.599624060150376; 'f1-score': 0.6050632911392405; 'support': 52}; 'weighted avg': {'precision': 0.6927340951731196; 'recall': 0.7115384615384616; 'f1-score': 0.6997078870496592; 'support': 52}}
5,1,CNF,3,470,52,29,[16; 17],14,0.634491,0.730769,3,[X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.45077720207253885; 'recall': 0.6492537313432836; 'f1-score': 0.5321100917431193; 'support': 134}; '1.0': {'precision': 0.8303249097472925; 'recall': 0.6845238095238095; 'f1-score': 0.7504078303425775; 'support': 336}; 'accuracy': 0.674468085106383; 'macro avg': {'precision': 0.6405510559099157; 'recall': 0.6668887704335466; 'f1-score': 0.6412589610428484; 'support': 470}; 'weighted avg': {'precision': 0.7221134356442775; 'recall': 0.674468085106383; 'f1-score': 0.6881697516780511; 'support': 470}},{'0.0': {'precision': 0.5217391304347826; 'recall': 0.8; 'f1-score': 0.6315789473684211; 'support': 15}; '1.0': {'precision': 0.896551724137931; 'recall': 0.7027027027027027; 'f1-score': 0.787878787878788; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7091454272863569; 'recall': 0.7513513513513514; 'f1-score': 0.7097288676236045; 'support': 52}; 'weighted avg': {'precision': 0.7884327067235615; 'recall': 0.7307692307692307; 'f1-score': 0.7427922954238745; 'support': 52}}
