lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,1,[468; 468],14,0.232949,0.716981,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5208333333333334; 'recall': 0.373134328358209; 'f1-score': 0.4347826086956522; 'support': 134}; '1.0': {'precision': 0.7741935483870968; 'recall': 0.8622754491017964; 'f1-score': 0.8158640226628896; 'support': 334}; 'accuracy': 0.7222222222222222; 'macro avg': {'precision': 0.647513440860215; 'recall': 0.6177048887300027; 'f1-score': 0.6253233156792709; 'support': 468}; 'weighted avg': {'precision': 0.7016502389486261; 'recall': 0.7222222222222222; 'f1-score': 0.7067509682363728; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.9473684210526315; 'f1-score': 0.8275862068965517; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6173469387755102; 'recall': 0.5403508771929825; 'f1-score': 0.5190562613430127; 'support': 53}; 'weighted avg': {'precision': 0.6682710820177128; 'recall': 0.7169811320754716; 'f1-score': 0.6529466150737938; 'support': 53}}
5,1,CNF,1,469,52,1,[469; 469],14,0.161516,0.750000,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5177304964539007; 'recall': 0.5407407407407407; 'f1-score': 0.5289855072463768; 'support': 135}; '1.0': {'precision': 0.8109756097560976; 'recall': 0.7964071856287425; 'f1-score': 0.8036253776435045; 'support': 334}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6643530531049991; 'recall': 0.6685739631847416; 'f1-score': 0.6663054424449406; 'support': 469}; 'weighted avg': {'precision': 0.7265660355646337; 'recall': 0.7228144989339019; 'f1-score': 0.7245712571667194; 'support': 469}},{'0.0': {'precision': 0.5333333333333333; 'recall': 0.5714285714285714; 'f1-score': 0.5517241379310344; 'support': 14}; '1.0': {'precision': 0.8378378378378378; 'recall': 0.8157894736842105; 'f1-score': 0.8266666666666665; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6855855855855856; 'recall': 0.6936090225563909; 'f1-score': 0.6891954022988505; 'support': 52}; 'weighted avg': {'precision': 0.7558558558558559; 'recall': 0.75; 'f1-score': 0.7526436781609195; 'support': 52}}
5,1,CNF,2,469,52,1,[469; 469],14,0.141298,0.673077,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5289855072463768; 'recall': 0.5447761194029851; 'f1-score': 0.5367647058823529; 'support': 134}; '1.0': {'precision': 0.8157099697885196; 'recall': 0.8059701492537313; 'f1-score': 0.8108108108108109; 'support': 335}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6723477385174482; 'recall': 0.6753731343283582; 'f1-score': 0.6737877583465819; 'support': 469}; 'weighted avg': {'precision': 0.7337886947764788; 'recall': 0.7313432835820896; 'f1-score': 0.7325119236883942; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.5333333333333333; 'f1-score': 0.4848484848484848; 'support': 15}; '1.0': {'precision': 0.7941176470588235; 'recall': 0.7297297297297297; 'f1-score': 0.7605633802816901; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.619281045751634; 'recall': 0.6315315315315315; 'f1-score': 0.6227059325650874; 'support': 52}; 'weighted avg': {'precision': 0.6932503770739065; 'recall': 0.6730769230769231; 'f1-score': 0.6810302373682655; 'support': 52}}
5,1,CNF,3,469,52,1,[469; 469],14,0.272112,0.673077,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 < 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 1.0; 'recall': 0.022388059701492536; 'f1-score': 0.043795620437956206; 'support': 134}; '1.0': {'precision': 0.7188841201716738; 'recall': 1.0; 'f1-score': 0.8364544319600499; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.8594420600858369; 'recall': 0.5111940298507462; 'f1-score': 0.44012502619900307; 'support': 469}; 'weighted avg': {'precision': 0.799202942979767; 'recall': 0.720682302771855; 'f1-score': 0.6099804858108803; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.9459459459459459; 'f1-score': 0.8045977011494254; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.35; 'recall': 0.47297297297297297; 'f1-score': 0.4022988505747127; 'support': 52}; 'weighted avg': {'precision': 0.49807692307692303; 'recall': 0.6730769230769231; 'f1-score': 0.572502210433245; 'support': 52}}
5,1,CNF,4,469,52,1,[469; 469],14,0.139798,0.634615,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5367647058823529; 'recall': 0.5447761194029851; 'f1-score': 0.5407407407407407; 'support': 134}; '1.0': {'precision': 0.8168168168168168; 'recall': 0.8119402985074626; 'f1-score': 0.8143712574850299; 'support': 335}; 'accuracy': 0.7356076759061834; 'macro avg': {'precision': 0.6767907613495849; 'recall': 0.6783582089552238; 'f1-score': 0.6775559991128853; 'support': 469}; 'weighted avg': {'precision': 0.7368019279783986; 'recall': 0.7356076759061834; 'f1-score': 0.7361911098438045; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.5333333333333333; 'f1-score': 0.4571428571428572; 'support': 15}; '1.0': {'precision': 0.78125; 'recall': 0.6756756756756757; 'f1-score': 0.7246376811594203; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.590625; 'recall': 0.6045045045045045; 'f1-score': 0.5908902691511387; 'support': 52}; 'weighted avg': {'precision': 0.6712740384615384; 'recall': 0.6346153846153846; 'f1-score': 0.647475712693104; 'support': 52}}
5,1,CNF,5,469,52,1,[469; 469],14,0.229304,0.730769,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5172413793103449; 'recall': 0.5597014925373134; 'f1-score': 0.5376344086021504; 'support': 134}; '1.0': {'precision': 0.8179012345679012; 'recall': 0.7910447761194029; 'f1-score': 0.8042488619119877; 'support': 335}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.667571306939123; 'recall': 0.6753731343283582; 'f1-score': 0.6709416352570691; 'support': 469}; 'weighted avg': {'precision': 0.7319984187800279; 'recall': 0.7249466950959488; 'f1-score': 0.7280733038234628; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.4; 'f1-score': 0.4615384615384615; 'support': 15}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8648648648648649; 'f1-score': 0.8205128205128206; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6629711751662971; 'recall': 0.6324324324324324; 'f1-score': 0.6410256410256411; 'support': 52}; 'weighted avg': {'precision': 0.7126897492751152; 'recall': 0.7307692307692307; 'f1-score': 0.7169625246548323; 'support': 52}}
5,1,CNF,6,469,52,1,[469; 469],14,0.145709,0.711538,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5214285714285715; 'recall': 0.5447761194029851; 'f1-score': 0.5328467153284672; 'support': 134}; '1.0': {'precision': 0.8145896656534954; 'recall': 0.8; 'f1-score': 0.8072289156626506; 'support': 335}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6680091185410335; 'recall': 0.6723880597014926; 'f1-score': 0.6700378154955589; 'support': 469}; 'weighted avg': {'precision': 0.7308293530178029; 'recall': 0.7270788912579957; 'f1-score': 0.7288340012814554; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
5,1,CNF,7,469,52,1,[469; 469],14,0.139196,0.596154,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5413533834586466; 'recall': 0.5373134328358209; 'f1-score': 0.5393258426966292; 'support': 134}; '1.0': {'precision': 0.8154761904761905; 'recall': 0.817910447761194; 'f1-score': 0.8166915052160953; 'support': 335}; 'accuracy': 0.7377398720682303; 'macro avg': {'precision': 0.6784147869674185; 'recall': 0.6776119402985075; 'f1-score': 0.6780086739563622; 'support': 469}; 'weighted avg': {'precision': 0.737155388471178; 'recall': 0.7377398720682303; 'f1-score': 0.7374441730676764; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.6; 'f1-score': 0.4615384615384615; 'support': 15}; '1.0': {'precision': 0.7857142857142857; 'recall': 0.5945945945945946; 'f1-score': 0.676923076923077; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5803571428571428; 'recall': 0.5972972972972973; 'f1-score': 0.5692307692307692; 'support': 52}; 'weighted avg': {'precision': 0.667239010989011; 'recall': 0.5961538461538461; 'f1-score': 0.6147928994082841; 'support': 52}}
5,1,CNF,8,469,52,1,[469; 469],14,0.230606,0.730769,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5174825174825175; 'recall': 0.5522388059701493; 'f1-score': 0.5342960288808665; 'support': 134}; '1.0': {'precision': 0.8159509202453987; 'recall': 0.7940298507462686; 'f1-score': 0.8048411497730711; 'support': 335}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6667167188639581; 'recall': 0.673134328358209; 'f1-score': 0.6695685893269687; 'support': 469}; 'weighted avg': {'precision': 0.7306742337417184; 'recall': 0.7249466950959488; 'f1-score': 0.7275425438038697; 'support': 469}},{'0.0': {'precision': 0.5384615384615384; 'recall': 0.4666666666666667; 'f1-score': 0.5; 'support': 15}; '1.0': {'precision': 0.7948717948717948; 'recall': 0.8378378378378378; 'f1-score': 0.8157894736842105; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6666666666666666; 'recall': 0.6522522522522523; 'f1-score': 0.6578947368421053; 'support': 52}; 'weighted avg': {'precision': 0.7209072978303748; 'recall': 0.7307692307692307; 'f1-score': 0.7246963562753036; 'support': 52}}
5,1,CNF,9,469,52,1,[469; 469],14,0.214437,0.692308,4,[X2 >= 1.650000 OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.6363636363636364; 'recall': 0.05223880597014925; 'f1-score': 0.09655172413793103; 'support': 134}; '1.0': {'precision': 0.722707423580786; 'recall': 0.9880597014925373; 'f1-score': 0.8348045397225724; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6795355299722112; 'recall': 0.5201492537313432; 'f1-score': 0.4656781319302517; 'support': 469}; 'weighted avg': {'precision': 0.6980377700901718; 'recall': 0.720682302771855; 'f1-score': 0.6238751638412463; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.723404255319149; 'recall': 0.918918918918919; 'f1-score': 0.8095238095238095; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5617021276595745; 'recall': 0.5261261261261262; 'f1-score': 0.5047619047619047; 'support': 52}; 'weighted avg': {'precision': 0.6301145662847791; 'recall': 0.6923076923076923; 'f1-score': 0.6336996336996337; 'support': 52}}
5,1,DNF,0,468,53,1,[468; 468],14,0.186794,0.716981,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7136752136752137; 'recall': 1.0; 'f1-score': 0.8329177057356608; 'support': 334}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.35683760683760685; 'recall': 0.5; 'f1-score': 0.4164588528678304; 'support': 468}; 'weighted avg': {'precision': 0.5093323106143619; 'recall': 0.7136752136752137; 'f1-score': 0.5944327216147666; 'support': 468}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
