lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,1,[468; 468],14,0.291008,0.584906,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5379310344827586; 'recall': 0.582089552238806; 'f1-score': 0.5591397849462366; 'support': 134}; '1.0': {'precision': 0.826625386996904; 'recall': 0.7994011976047904; 'f1-score': 0.8127853881278538; 'support': 334}; 'accuracy': 0.7371794871794872; 'macro avg': {'precision': 0.6822782107398313; 'recall': 0.6907453749217982; 'f1-score': 0.6859625865370452; 'support': 468}; 'weighted avg': {'precision': 0.7439650382001188; 'recall': 0.7371794871794872; 'f1-score': 0.7401603649946558; 'support': 468}},{'0.0': {'precision': 0.23076923076923078; 'recall': 0.2; 'f1-score': 0.21428571428571427; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.7368421052631579; 'f1-score': 0.717948717948718; 'support': 38}; 'accuracy': 0.5849056603773585; 'macro avg': {'precision': 0.4653846153846154; 'recall': 0.46842105263157896; 'f1-score': 0.4661172161172161; 'support': 53}; 'weighted avg': {'precision': 0.5671988388969521; 'recall': 0.5849056603773585; 'f1-score': 0.575402584836547; 'support': 53}}
5,1,CNF,1,469,52,1,[469; 469],14,0.193996,0.711538,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5177304964539007; 'recall': 0.5407407407407407; 'f1-score': 0.5289855072463768; 'support': 135}; '1.0': {'precision': 0.8109756097560976; 'recall': 0.7964071856287425; 'f1-score': 0.8036253776435045; 'support': 334}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6643530531049991; 'recall': 0.6685739631847416; 'f1-score': 0.6663054424449406; 'support': 469}; 'weighted avg': {'precision': 0.7265660355646337; 'recall': 0.7228144989339019; 'f1-score': 0.7245712571667194; 'support': 469}},{'0.0': {'precision': 0.47058823529411764; 'recall': 0.5714285714285714; 'f1-score': 0.5161290322580646; 'support': 14}; '1.0': {'precision': 0.8285714285714286; 'recall': 0.7631578947368421; 'f1-score': 0.7945205479452055; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6495798319327731; 'recall': 0.6672932330827068; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.732191338073691; 'recall': 0.7115384615384616; 'f1-score': 0.7195689860294368; 'support': 52}}
5,1,CNF,2,469,52,1,[469; 469],14,0.259099,0.692308,5,[X1 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5306122448979592; 'recall': 0.19402985074626866; 'f1-score': 0.28415300546448086; 'support': 134}; '1.0': {'precision': 0.7428571428571429; 'recall': 0.9313432835820895; 'f1-score': 0.8264900662251655; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6367346938775511; 'recall': 0.5626865671641791; 'f1-score': 0.5553215358448231; 'support': 469}; 'weighted avg': {'precision': 0.6822157434402333; 'recall': 0.720682302771855; 'f1-score': 0.6715366202935413; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.723404255319149; 'recall': 0.918918918918919; 'f1-score': 0.8095238095238095; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5617021276595745; 'recall': 0.5261261261261262; 'f1-score': 0.5047619047619047; 'support': 52}; 'weighted avg': {'precision': 0.6301145662847791; 'recall': 0.6923076923076923; 'f1-score': 0.6336996336996337; 'support': 52}}
5,1,CNF,3,469,52,1,[469; 469],14,0.218550,0.576923,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5357142857142857; 'recall': 0.5597014925373134; 'f1-score': 0.5474452554744524; 'support': 134}; '1.0': {'precision': 0.8206686930091185; 'recall': 0.8059701492537313; 'f1-score': 0.8132530120481927; 'support': 335}; 'accuracy': 0.7356076759061834; 'macro avg': {'precision': 0.678191489361702; 'recall': 0.6828358208955223; 'f1-score': 0.6803491337613226; 'support': 469}; 'weighted avg': {'precision': 0.7392531480677376; 'recall': 0.7356076759061834; 'f1-score': 0.7373079387414099; 'support': 469}},{'0.0': {'precision': 0.1111111111111111; 'recall': 0.06666666666666667; 'f1-score': 0.08333333333333334; 'support': 15}; '1.0': {'precision': 0.6744186046511628; 'recall': 0.7837837837837838; 'f1-score': 0.725; 'support': 37}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.3927648578811369; 'recall': 0.4252252252252252; 'f1-score': 0.4041666666666667; 'support': 52}; 'weighted avg': {'precision': 0.5119260584376863; 'recall': 0.5769230769230769; 'f1-score': 0.5399038461538461; 'support': 52}}
5,1,CNF,4,469,52,1,[469; 469],14,0.249774,0.673077,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5220588235294118; 'recall': 0.5298507462686567; 'f1-score': 0.5259259259259259; 'support': 134}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.8059701492537313; 'f1-score': 0.8083832335329342; 'support': 335}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6664348171701113; 'recall': 0.667910447761194; 'f1-score': 0.66715457972943; 'support': 469}; 'weighted avg': {'precision': 0.7283102430161253; 'recall': 0.7270788912579957; 'f1-score': 0.7276811456452175; 'support': 469}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.6666666666666666; 'f1-score': 0.5405405405405405; 'support': 15}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.6756756756756757; 'f1-score': 0.746268656716418; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.6439393939393939; 'recall': 0.6711711711711712; 'f1-score': 0.6434045986284792; 'support': 52}; 'weighted avg': {'precision': 0.7240675990675991; 'recall': 0.6730769230769231; 'f1-score': 0.6869240078195301; 'support': 52}}
5,1,CNF,5,469,52,1,[469; 469],14,0.180367,0.596154,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5494505494505495; 'recall': 0.373134328358209; 'f1-score': 0.4444444444444445; 'support': 134}; '1.0': {'precision': 0.7777777777777778; 'recall': 0.8776119402985074; 'f1-score': 0.8246844319775597; 'support': 335}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6636141636141637; 'recall': 0.6253731343283582; 'f1-score': 0.6345644382110021; 'support': 469}; 'weighted avg': {'precision': 0.7125414268271411; 'recall': 0.7334754797441365; 'f1-score': 0.7160444355395267; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.2; 'f1-score': 0.22222222222222224; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.7567567567567568; 'f1-score': 0.7272727272727273; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.475; 'recall': 0.4783783783783784; 'f1-score': 0.47474747474747475; 'support': 52}; 'weighted avg': {'precision': 0.5701923076923077; 'recall': 0.5961538461538461; 'f1-score': 0.5815850815850816; 'support': 52}}
5,1,CNF,6,469,52,1,[469; 469],14,0.269271,0.730769,5,[(NOT X1) OR X2 >= 1.650000 OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5714285714285714; 'recall': 0.05970149253731343; 'f1-score': 0.10810810810810811; 'support': 134}; '1.0': {'precision': 0.7230769230769231; 'recall': 0.982089552238806; 'f1-score': 0.8329113924050632; 'support': 335}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6472527472527472; 'recall': 0.5208955223880597; 'f1-score': 0.47050975025658565; 'support': 469}; 'weighted avg': {'precision': 0.6797488226059654; 'recall': 0.7185501066098081; 'f1-score': 0.6258247397487904; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.06666666666666667; 'f1-score': 0.125; 'support': 15}; '1.0': {'precision': 0.7254901960784313; 'recall': 1.0; 'f1-score': 0.8409090909090908; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.8627450980392157; 'recall': 0.5333333333333333; 'f1-score': 0.4829545454545454; 'support': 52}; 'weighted avg': {'precision': 0.8046757164404224; 'recall': 0.7307692307692307; 'f1-score': 0.6343968531468531; 'support': 52}}
5,1,CNF,7,469,52,1,[469; 469],14,0.351866,0.692308,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 < 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.8; 'recall': 0.029850746268656716; 'f1-score': 0.05755395683453237; 'support': 134}; '1.0': {'precision': 0.7198275862068966; 'recall': 0.9970149253731343; 'f1-score': 0.8360450563204005; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.7599137931034483; 'recall': 0.5134328358208955; 'f1-score': 0.4467995065774664; 'support': 469}; 'weighted avg': {'precision': 0.7427339901477832; 'recall': 0.720682302771855; 'f1-score': 0.6136190278958666; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
5,1,CNF,8,469,52,1,[469; 469],14,0.325626,0.711538,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 < 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.6666666666666666; 'recall': 0.029850746268656716; 'f1-score': 0.05714285714285715; 'support': 134}; '1.0': {'precision': 0.7192224622030238; 'recall': 0.9940298507462687; 'f1-score': 0.8345864661654135; 'support': 335}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6929445644348452; 'recall': 0.5119402985074627; 'f1-score': 0.44586466165413535; 'support': 469}; 'weighted avg': {'precision': 0.7042065206212075; 'recall': 0.7185501066098081; 'f1-score': 0.6124597207303973; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,CNF,9,469,52,1,[469; 469],14,0.149902,0.673077,5,[(NOT X1) OR X2 >= 1.650000 OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.6923076923076923; 'recall': 0.06716417910447761; 'f1-score': 0.12244897959183673; 'support': 134}; '1.0': {'precision': 0.7258771929824561; 'recall': 0.9880597014925373; 'f1-score': 0.8369152970922881; 'support': 335}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.7090924426450742; 'recall': 0.5276119402985074; 'f1-score': 0.4796821383420624; 'support': 469}; 'weighted avg': {'precision': 0.7162859070753808; 'recall': 0.7249466950959488; 'f1-score': 0.6327820635207306; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.9459459459459459; 'f1-score': 0.8045977011494254; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.35; 'recall': 0.47297297297297297; 'f1-score': 0.4022988505747127; 'support': 52}; 'weighted avg': {'precision': 0.49807692307692303; 'recall': 0.6730769230769231; 'f1-score': 0.572502210433245; 'support': 52}}
5,1,DNF,0,468,53,1,[468; 468],14,0.163100,0.716981,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7136752136752137; 'recall': 1.0; 'f1-score': 0.8329177057356608; 'support': 334}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.35683760683760685; 'recall': 0.5; 'f1-score': 0.4164588528678304; 'support': 468}; 'weighted avg': {'precision': 0.5093323106143619; 'recall': 0.7136752136752137; 'f1-score': 0.5944327216147666; 'support': 468}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
