lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,469,53,1,[469; 469],14,0.127546,0.679245,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5323741007194245; 'recall': 0.5522388059701493; 'f1-score': 0.5421245421245421; 'support': 134}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.8059701492537313; 'f1-score': 0.8120300751879699; 'support': 335}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6752779594506213; 'recall': 0.6791044776119404; 'f1-score': 0.677077308656256; 'support': 469}; 'weighted avg': {'precision': 0.7365224703354201; 'recall': 0.7334754797441365; 'f1-score': 0.734914208598419; 'support': 469}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.3333333333333333; 'f1-score': 0.3703703703703704; 'support': 15}; '1.0': {'precision': 0.7560975609756098; 'recall': 0.8157894736842105; 'f1-score': 0.7848101265822786; 'support': 38}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.5863821138211383; 'recall': 0.5745614035087719; 'f1-score': 0.5775902484763245; 'support': 53}; 'weighted avg': {'precision': 0.6600322135296826; 'recall': 0.6792452830188679; 'f1-score': 0.6675158559562668; 'support': 53}}
5,1,CNF,1,469,53,1,[469; 469],14,0.208501,0.754717,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5294117647058824; 'recall': 0.5373134328358209; 'f1-score': 0.5333333333333332; 'support': 134}; '1.0': {'precision': 0.8138138138138138; 'recall': 0.808955223880597; 'f1-score': 0.811377245508982; 'support': 335}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.671612789259848; 'recall': 0.673134328358209; 'f1-score': 0.6723552894211576; 'support': 469}; 'weighted avg': {'precision': 0.732556085497262; 'recall': 0.7313432835820896; 'f1-score': 0.7319361277445109; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.8; 'f1-score': 0.6486486486486486; 'support': 15}; '1.0': {'precision': 0.9032258064516129; 'recall': 0.7368421052631579; 'f1-score': 0.8115942028985507; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.7243401759530792; 'recall': 0.7684210526315789; 'f1-score': 0.7301214257735996; 'support': 53}; 'weighted avg': {'precision': 0.8019697891882919; 'recall': 0.7547169811320755; 'f1-score': 0.7654775366014086; 'support': 53}}
5,1,CNF,2,470,52,1,[470; 470],14,0.208540,0.711538,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5374149659863946; 'recall': 0.5851851851851851; 'f1-score': 0.5602836879432623; 'support': 135}; '1.0': {'precision': 0.826625386996904; 'recall': 0.7970149253731343; 'f1-score': 0.8115501519756839; 'support': 335}; 'accuracy': 0.7361702127659574; 'macro avg': {'precision': 0.6820201764916494; 'recall': 0.6911000552791597; 'f1-score': 0.6859169199594731; 'support': 470}; 'weighted avg': {'precision': 0.7435543086215449; 'recall': 0.7361702127659574; 'f1-score': 0.7393778697536054; 'support': 470}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.35714285714285715; 'f1-score': 0.4; 'support': 14}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8421052631578947; 'f1-score': 0.810126582278481; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6175166297117517; 'recall': 0.599624060150376; 'f1-score': 0.6050632911392405; 'support': 52}; 'weighted avg': {'precision': 0.6927340951731196; 'recall': 0.7115384615384616; 'f1-score': 0.6997078870496592; 'support': 52}}
5,1,CNF,3,470,52,1,[470; 470],14,0.251821,0.769231,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.532608695652174; 'recall': 0.3656716417910448; 'f1-score': 0.4336283185840708; 'support': 134}; '1.0': {'precision': 0.7751322751322751; 'recall': 0.8720238095238095; 'f1-score': 0.8207282913165266; 'support': 336}; 'accuracy': 0.7276595744680852; 'macro avg': {'precision': 0.6538704853922246; 'recall': 0.6188477256574272; 'f1-score': 0.6271783049502987; 'support': 470}; 'weighted avg': {'precision': 0.7059872545996506; 'recall': 0.7276595744680852; 'f1-score': 0.7103636182396137; 'support': 470}},{'0.0': {'precision': 0.6363636363636364; 'recall': 0.4666666666666667; 'f1-score': 0.5384615384615385; 'support': 15}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.8918918918918919; 'f1-score': 0.8461538461538461; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7206208425720622; 'recall': 0.6792792792792792; 'f1-score': 0.6923076923076923; 'support': 52}; 'weighted avg': {'precision': 0.7562681221217807; 'recall': 0.7692307692307693; 'f1-score': 0.7573964497041421; 'support': 52}}
5,1,CNF,4,470,52,1,[470; 470],14,0.149783,0.634615,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5486111111111112; 'recall': 0.5895522388059702; 'f1-score': 0.5683453237410072; 'support': 134}; '1.0': {'precision': 0.8312883435582822; 'recall': 0.8065476190476191; 'f1-score': 0.8187311178247735; 'support': 336}; 'accuracy': 0.7446808510638298; 'macro avg': {'precision': 0.6899497273346966; 'recall': 0.6980499289267946; 'f1-score': 0.6935382207828904; 'support': 470}; 'weighted avg': {'precision': 0.7506952602648335; 'recall': 0.7446808510638298; 'f1-score': 0.7473445297242954; 'support': 470}},{'0.0': {'precision': 0.35714285714285715; 'recall': 0.3333333333333333; 'f1-score': 0.3448275862068965; 'support': 15}; '1.0': {'precision': 0.7368421052631579; 'recall': 0.7567567567567568; 'f1-score': 0.7466666666666667; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5469924812030075; 'recall': 0.545045045045045; 'f1-score': 0.5457471264367816; 'support': 52}; 'weighted avg': {'precision': 0.6273134759976865; 'recall': 0.6346153846153846; 'f1-score': 0.6307515473032714; 'support': 52}}
5,1,CNF,5,470,52,1,[470; 470],14,0.128165,0.653846,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5467625899280576; 'recall': 0.5671641791044776; 'f1-score': 0.5567765567765568; 'support': 134}; '1.0': {'precision': 0.824773413897281; 'recall': 0.8125; 'f1-score': 0.8185907046476762; 'support': 336}; 'accuracy': 0.7425531914893617; 'macro avg': {'precision': 0.6857680019126693; 'recall': 0.6898320895522387; 'f1-score': 0.6876836307121166; 'support': 470}; 'weighted avg': {'precision': 0.7455107534464811; 'recall': 0.7425531914893617; 'f1-score': 0.7439458199354847; 'support': 470}},{'0.0': {'precision': 0.42105263157894735; 'recall': 0.5333333333333333; 'f1-score': 0.47058823529411764; 'support': 15}; '1.0': {'precision': 0.7878787878787878; 'recall': 0.7027027027027027; 'f1-score': 0.7428571428571429; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6044657097288676; 'recall': 0.618018018018018; 'f1-score': 0.6067226890756303; 'support': 52}; 'weighted avg': {'precision': 0.6820635504846031; 'recall': 0.6538461538461539; 'f1-score': 0.6643180349062702; 'support': 52}}
5,1,CNF,6,470,52,1,[470; 470],14,0.183259,0.750000,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5285714285714286; 'recall': 0.5522388059701493; 'f1-score': 0.54014598540146; 'support': 134}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.8035714285714286; 'f1-score': 0.8108108108108109; 'support': 336}; 'accuracy': 0.7319148936170212; 'macro avg': {'precision': 0.6733766233766234; 'recall': 0.677905117270789; 'f1-score': 0.6754783981061354; 'support': 470}; 'weighted avg': {'precision': 0.7356120475269412; 'recall': 0.7319148936170212; 'f1-score': 0.733642541438783; 'support': 470}},{'0.0': {'precision': 0.5555555555555556; 'recall': 0.6666666666666666; 'f1-score': 0.606060606060606; 'support': 15}; '1.0': {'precision': 0.8529411764705882; 'recall': 0.7837837837837838; 'f1-score': 0.8169014084507041; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7042483660130718; 'recall': 0.7252252252252251; 'f1-score': 0.711481007255655; 'support': 52}; 'weighted avg': {'precision': 0.767156862745098; 'recall': 0.75; 'f1-score': 0.7560819462227912; 'support': 52}}
5,1,CNF,7,470,52,1,[470; 470],14,0.235058,0.692308,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5390070921985816; 'recall': 0.5671641791044776; 'f1-score': 0.5527272727272726; 'support': 134}; '1.0': {'precision': 0.8237082066869301; 'recall': 0.8065476190476191; 'f1-score': 0.8150375939849624; 'support': 336}; 'accuracy': 0.7382978723404255; 'macro avg': {'precision': 0.6813576494427558; 'recall': 0.6868558990760483; 'f1-score': 0.6838824333561175; 'support': 470}; 'weighted avg': {'precision': 0.7425381017051456; 'recall': 0.7382978723404255; 'f1-score': 0.7402512470731957; 'support': 470}},{'0.0': {'precision': 0.47058823529411764; 'recall': 0.5333333333333333; 'f1-score': 0.5; 'support': 15}; '1.0': {'precision': 0.8; 'recall': 0.7567567567567568; 'f1-score': 0.7777777777777778; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6352941176470588; 'recall': 0.6450450450450451; 'f1-score': 0.6388888888888888; 'support': 52}; 'weighted avg': {'precision': 0.7049773755656108; 'recall': 0.6923076923076923; 'f1-score': 0.6976495726495726; 'support': 52}}
5,1,CNF,8,470,52,1,[470; 470],14,0.213316,0.769231,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5241379310344828; 'recall': 0.5671641791044776; 'f1-score': 0.5448028673835126; 'support': 134}; '1.0': {'precision': 0.8215384615384616; 'recall': 0.7946428571428571; 'f1-score': 0.8078668683812404; 'support': 336}; 'accuracy': 0.7297872340425532; 'macro avg': {'precision': 0.6728381962864722; 'recall': 0.6809035181236673; 'f1-score': 0.6763348678823765; 'support': 470}; 'weighted avg': {'precision': 0.7367476719905186; 'recall': 0.7297872340425532; 'f1-score': 0.732865642564867; 'support': 470}},{'0.0': {'precision': 0.6153846153846154; 'recall': 0.5333333333333333; 'f1-score': 0.5714285714285715; 'support': 15}; '1.0': {'precision': 0.8205128205128205; 'recall': 0.8648648648648649; 'f1-score': 0.8421052631578947; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.717948717948718; 'recall': 0.6990990990990991; 'f1-score': 0.7067669172932332; 'support': 52}; 'weighted avg': {'precision': 0.7613412228796844; 'recall': 0.7692307692307693; 'f1-score': 0.7640254482359746; 'support': 52}}
5,1,CNF,9,470,52,1,[470; 470],14,0.144991,0.692308,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5465116279069767; 'recall': 0.35074626865671643; 'f1-score': 0.42727272727272725; 'support': 134}; '1.0': {'precision': 0.7734375; 'recall': 0.8839285714285714; 'f1-score': 0.825; 'support': 336}; 'accuracy': 0.7319148936170212; 'macro avg': {'precision': 0.6599745639534884; 'recall': 0.6173374200426439; 'f1-score': 0.6261363636363636; 'support': 470}; 'weighted avg': {'precision': 0.7087394854032657; 'recall': 0.7319148936170212; 'f1-score': 0.711605415860735; 'support': 470}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
5,1,DNF,0,469,53,1,[469; 469],14,0.206274,0.716981,0,[],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
