lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,460,52,57,[8; 9],540,1.897889,0.826923,2,[X0 >= 15.056000 OR X4 >= 0.103260],{'0.0': {'precision': 0.9316239316239316; 'recall': 0.754325259515571; 'f1-score': 0.8336520076481836; 'support': 289}; '1.0': {'precision': 0.6858407079646017; 'recall': 0.9064327485380117; 'f1-score': 0.7808564231738034; 'support': 171}; 'accuracy': 0.8108695652173913; 'macro avg': {'precision': 0.8087323197942666; 'recall': 0.8303790040267913; 'f1-score': 0.8072542154109935; 'support': 460}; 'weighted avg': {'precision': 0.8402566897853546; 'recall': 0.8108695652173913; 'f1-score': 0.8140258229848815; 'support': 460}},{'0.0': {'precision': 0.9; 'recall': 0.8181818181818182; 'f1-score': 0.8571428571428572; 'support': 33}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8421052631578947; 'f1-score': 0.7804878048780488; 'support': 19}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.8136363636363637; 'recall': 0.8301435406698565; 'f1-score': 0.818815331010453; 'support': 52}; 'weighted avg': {'precision': 0.8368881118881119; 'recall': 0.8269230769230769; 'f1-score': 0.8291342803537927; 'support': 52}}
5,1,CNF,1,460,52,57,[8; 9],540,1.881886,0.903846,2,[X5 >= 0.141900 OR X20 >= 17.386000],{'0.0': {'precision': 0.9222972972972973; 'recall': 0.9446366782006921; 'f1-score': 0.9333333333333332; 'support': 289}; '1.0': {'precision': 0.9024390243902439; 'recall': 0.8654970760233918; 'f1-score': 0.8835820895522388; 'support': 171}; 'accuracy': 0.9152173913043479; 'macro avg': {'precision': 0.9123681608437706; 'recall': 0.9050668771120419; 'f1-score': 0.9084577114427861; 'support': 460}; 'weighted avg': {'precision': 0.9149152001948926; 'recall': 0.9152173913043479; 'f1-score': 0.9148388492321002; 'support': 460}},{'0.0': {'precision': 0.9666666666666667; 'recall': 0.8787878787878788; 'f1-score': 0.9206349206349207; 'support': 33}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.8924242424242425; 'recall': 0.9130781499202552; 'f1-score': 0.8993418505613628; 'support': 52}; 'weighted avg': {'precision': 0.9124125874125875; 'recall': 0.9038461538461539; 'f1-score': 0.9050746001965515; 'support': 52}}
5,1,CNF,2,461,51,57,[8; 9],540,1.874442,0.901961,1,[X6 >= 0.086212],{'0.0': {'precision': 0.9239130434782609; 'recall': 0.8793103448275862; 'f1-score': 0.901060070671378; 'support': 290}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.8771929824561403; 'f1-score': 0.8426966292134831; 'support': 171}; 'accuracy': 0.8785249457700651; 'macro avg': {'precision': 0.8673619271445359; 'recall': 0.8782516636418632; 'f1-score': 0.8718783499424305; 'support': 461}; 'weighted avg': {'precision': 0.8819597207317663; 'recall': 0.8785249457700651; 'f1-score': 0.879411158547083; 'support': 461}},{'0.0': {'precision': 0.9354838709677419; 'recall': 0.90625; 'f1-score': 0.9206349206349206; 'support': 32}; '1.0': {'precision': 0.85; 'recall': 0.8947368421052632; 'f1-score': 0.8717948717948718; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8927419354838709; 'recall': 0.9004934210526316; 'f1-score': 0.8962148962148961; 'support': 51}; 'weighted avg': {'precision': 0.9036369386464261; 'recall': 0.9019607843137255; 'f1-score': 0.9024396083219612; 'support': 51}}
5,1,CNF,3,461,51,57,[8; 9],540,1.881914,0.705882,2,[X6 >= 0.045070 OR X7 >= 0.064496],{'0.0': {'precision': 0.9679144385026738; 'recall': 0.6241379310344828; 'f1-score': 0.7589098532494758; 'support': 290}; '1.0': {'precision': 0.6021897810218978; 'recall': 0.9649122807017544; 'f1-score': 0.7415730337078651; 'support': 171}; 'accuracy': 0.7505422993492408; 'macro avg': {'precision': 0.7850521097622858; 'recall': 0.7945251058681186; 'f1-score': 0.7502414434786704; 'support': 461}; 'weighted avg': {'precision': 0.8322551837755312; 'recall': 0.7505422993492408; 'f1-score': 0.7524790590160366; 'support': 461}},{'0.0': {'precision': 0.9473684210526315; 'recall': 0.5625; 'f1-score': 0.7058823529411765; 'support': 32}; '1.0': {'precision': 0.5625; 'recall': 0.9473684210526315; 'f1-score': 0.7058823529411765; 'support': 19}; 'accuracy': 0.7058823529411765; 'macro avg': {'precision': 0.7549342105263157; 'recall': 0.7549342105263157; 'f1-score': 0.7058823529411765; 'support': 51}; 'weighted avg': {'precision': 0.803986068111455; 'recall': 0.7058823529411765; 'f1-score': 0.7058823529411765; 'support': 51}}
5,1,CNF,4,461,51,57,[8; 9],540,2.044936,0.941176,1,[X0 >= 15.056000],{'0.0': {'precision': 0.8641975308641975; 'recall': 0.9655172413793104; 'f1-score': 0.9120521172638436; 'support': 290}; '1.0': {'precision': 0.927007299270073; 'recall': 0.7426900584795322; 'f1-score': 0.8246753246753246; 'support': 171}; 'accuracy': 0.8828633405639913; 'macro avg': {'precision': 0.8956024150671352; 'recall': 0.8541036499294212; 'f1-score': 0.868363720969584; 'support': 461}; 'weighted avg': {'precision': 0.8874957312924072; 'recall': 0.8828633405639913; 'f1-score': 0.8796412028763453; 'support': 461}},{'0.0': {'precision': 0.9142857142857143; 'recall': 1.0; 'f1-score': 0.955223880597015; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9571428571428571; 'recall': 0.9210526315789473; 'f1-score': 0.9347547974413646; 'support': 51}; 'weighted avg': {'precision': 0.9462184873949578; 'recall': 0.9411764705882353; 'f1-score': 0.939972406873197; 'support': 51}}
5,1,CNF,5,461,51,57,[8; 9],540,2.114292,0.882353,1,[X0 >= 14.058000],{'0.0': {'precision': 0.8992805755395683; 'recall': 0.8620689655172413; 'f1-score': 0.880281690140845; 'support': 290}; '1.0': {'precision': 0.7814207650273224; 'recall': 0.8362573099415205; 'f1-score': 0.807909604519774; 'support': 171}; 'accuracy': 0.8524945770065075; 'macro avg': {'precision': 0.8403506702834453; 'recall': 0.8491631377293809; 'f1-score': 0.8440956473303095; 'support': 461}; 'weighted avg': {'precision': 0.8555625113365443; 'recall': 0.8524945770065075; 'f1-score': 0.8534365130449597; 'support': 461}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9375; 'f1-score': 0.9090909090909091; 'support': 32}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.7894736842105263; 'f1-score': 0.8333333333333333; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8823529411764706; 'recall': 0.8634868421052632; 'f1-score': 0.8712121212121211; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8808674985145573; 'support': 51}}
5,1,CNF,6,461,51,57,[8; 9],540,1.935483,0.901961,2,[X0 >= 14.058000 OR X6 >= 0.111920],{'0.0': {'precision': 0.9453125; 'recall': 0.8344827586206897; 'f1-score': 0.8864468864468863; 'support': 290}; '1.0': {'precision': 0.7658536585365854; 'recall': 0.9181286549707602; 'f1-score': 0.8351063829787234; 'support': 171}; 'accuracy': 0.8655097613882863; 'macro avg': {'precision': 0.8555830792682927; 'recall': 0.876305706795725; 'f1-score': 0.8607766347128049; 'support': 461}; 'weighted avg': {'precision': 0.878745337548278; 'recall': 0.8655097613882863; 'f1-score': 0.8674030120584788; 'support': 461}},{'0.0': {'precision': 0.9655172413793104; 'recall': 0.875; 'f1-score': 0.9180327868852458; 'support': 32}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8918495297805643; 'recall': 0.9111842105263157; 'f1-score': 0.8980407836865254; 'support': 51}; 'weighted avg': {'precision': 0.9106275739135781; 'recall': 0.9019607843137255; 'f1-score': 0.9031367845018854; 'support': 51}}
5,1,CNF,7,461,51,57,[8; 9],540,1.990355,0.627451,2,[X0 >= 15.056000 OR X4 >= 0.091828],{'0.0': {'precision': 0.98; 'recall': 0.506896551724138; 'f1-score': 0.6681818181818181; 'support': 290}; '1.0': {'precision': 0.5401929260450161; 'recall': 0.9824561403508771; 'f1-score': 0.6970954356846475; 'support': 171}; 'accuracy': 0.6832971800433839; 'macro avg': {'precision': 0.760096463022508; 'recall': 0.7446763460375075; 'f1-score': 0.6826386269332327; 'support': 461}; 'weighted avg': {'precision': 0.8168611504418606; 'recall': 0.6832971800433839; 'f1-score': 0.6789068259757092; 'support': 461}},{'0.0': {'precision': 0.9333333333333333; 'recall': 0.4375; 'f1-score': 0.5957446808510638; 'support': 32}; '1.0': {'precision': 0.5; 'recall': 0.9473684210526315; 'f1-score': 0.6545454545454545; 'support': 19}; 'accuracy': 0.6274509803921569; 'macro avg': {'precision': 0.7166666666666667; 'recall': 0.6924342105263157; 'f1-score': 0.6251450676982592; 'support': 51}; 'weighted avg': {'precision': 0.7718954248366013; 'recall': 0.6274509803921569; 'f1-score': 0.6176508514430917; 'support': 51}}
5,1,CNF,8,461,51,57,[8; 9],540,2.041998,0.843137,2,[X0 >= 14.058000 OR X1 >= 19.968000],{'0.0': {'precision': 0.9489795918367347; 'recall': 0.6413793103448275; 'f1-score': 0.7654320987654321; 'support': 290}; '1.0': {'precision': 0.6075471698113207; 'recall': 0.9415204678362573; 'f1-score': 0.7385321100917431; 'support': 171}; 'accuracy': 0.7527114967462039; 'macro avg': {'precision': 0.7782633808240278; 'recall': 0.7914498890905424; 'f1-score': 0.7519821044285876; 'support': 461}; 'weighted avg': {'precision': 0.82233112292926; 'recall': 0.7527114967462039; 'f1-score': 0.7554540118604411; 'support': 461}},{'0.0': {'precision': 0.9285714285714286; 'recall': 0.8125; 'f1-score': 0.8666666666666666; 'support': 32}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.8947368421052632; 'f1-score': 0.8095238095238095; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8338509316770186; 'recall': 0.8536184210526316; 'f1-score': 0.838095238095238; 'support': 51}; 'weighted avg': {'precision': 0.8579953720618682; 'recall': 0.8431372549019608; 'f1-score': 0.8453781512605042; 'support': 51}}
5,1,CNF,9,461,51,57,[8; 9],540,1.948029,0.980392,1,[X23 >= 926.960000],{'0.0': {'precision': 0.8685015290519877; 'recall': 0.9793103448275862; 'f1-score': 0.9205834683954619; 'support': 290}; '1.0': {'precision': 0.9552238805970149; 'recall': 0.7485380116959064; 'f1-score': 0.8393442622950819; 'support': 171}; 'accuracy': 0.8937093275488069; 'macro avg': {'precision': 0.9118627048245014; 'recall': 0.8639241782617463; 'f1-score': 0.8799638653452719; 'support': 461}; 'weighted avg': {'precision': 0.9006696898203167; 'recall': 0.8937093275488069; 'f1-score': 0.8904491858723275; 'support': 461}},{'0.0': {'precision': 0.9696969696969697; 'recall': 1.0; 'f1-score': 0.9846153846153847; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.9473684210526315; 'f1-score': 0.972972972972973; 'support': 19}; 'accuracy': 0.9803921568627451; 'macro avg': {'precision': 0.9848484848484849; 'recall': 0.9736842105263157; 'f1-score': 0.9787941787941788; 'support': 51}; 'weighted avg': {'precision': 0.9809863339275104; 'recall': 0.9803921568627451; 'f1-score': 0.9802780155721332; 'support': 51}}
5,1,CNF,0,460,52,28,[16; 17],540,1.092165,0.826923,4,[X0 >= 15.056000 OR X2 >= 111.680000 OR X18 < 0.013012 OR X27 >= 0.177540],{'0.0': {'precision': 0.925; 'recall': 0.8961937716262975; 'f1-score': 0.9103690685413005; 'support': 289}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.8771929824561403; 'f1-score': 0.8547008547008548; 'support': 171}; 'accuracy': 0.8891304347826087; 'macro avg': {'precision': 0.8791666666666667; 'recall': 0.8866933770412189; 'f1-score': 0.8825349616210776; 'support': 460}; 'weighted avg': {'precision': 0.8909239130434783; 'recall': 0.8891304347826087; 'f1-score': 0.8896750151353956; 'support': 460}},{'0.0': {'precision': 0.875; 'recall': 0.8484848484848485; 'f1-score': 0.8615384615384615; 'support': 33}; '1.0': {'precision': 0.75; 'recall': 0.7894736842105263; 'f1-score': 0.7692307692307692; 'support': 19}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.8125; 'recall': 0.8189792663476874; 'f1-score': 0.8153846153846154; 'support': 52}; 'weighted avg': {'precision': 0.8293269230769231; 'recall': 0.8269230769230769; 'f1-score': 0.8278106508875739; 'support': 52}}
