lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,460,52,57,[8; 9],122,1.196414,0.865385,1,[X6 >= 0.069225],{'0.0': {'precision': 0.9596774193548387; 'recall': 0.8235294117647058; 'f1-score': 0.8864059590316573; 'support': 289}; '1.0': {'precision': 0.7594339622641509; 'recall': 0.9415204678362573; 'f1-score': 0.8407310704960835; 'support': 171}; 'accuracy': 0.8673913043478261; 'macro avg': {'precision': 0.8595556908094948; 'recall': 0.8825249398004815; 'f1-score': 0.8635685147638704; 'support': 460}; 'weighted avg': {'precision': 0.8852390907406918; 'recall': 0.8673913043478261; 'f1-score': 0.8694268156847376; 'support': 460}},{'0.0': {'precision': 0.9310344827586207; 'recall': 0.84375; 'f1-score': 0.8852459016393444; 'support': 32}; '1.0': {'precision': 0.782608695652174; 'recall': 0.9; 'f1-score': 0.8372093023255814; 'support': 20}; 'accuracy': 0.8653846153846154; 'macro avg': {'precision': 0.8568215892053973; 'recall': 0.871875; 'f1-score': 0.861227601982463; 'support': 52}; 'weighted avg': {'precision': 0.8739476415638335; 'recall': 0.8653846153846154; 'f1-score': 0.8667702865186663; 'support': 52}}
5,1,CNF,1,460,52,57,[8; 9],122,1.298943,0.865385,1,[X0 >= 15.045000],{'0.0': {'precision': 0.8703703703703703; 'recall': 0.9791666666666666; 'f1-score': 0.9215686274509804; 'support': 288}; '1.0': {'precision': 0.9558823529411765; 'recall': 0.7558139534883721; 'f1-score': 0.8441558441558441; 'support': 172}; 'accuracy': 0.8956521739130435; 'macro avg': {'precision': 0.9131263616557734; 'recall': 0.8674903100775193; 'f1-score': 0.8828622358034123; 'support': 460}; 'weighted avg': {'precision': 0.9023444160272804; 'recall': 0.8956521739130435; 'f1-score': 0.8926229780449729; 'support': 460}},{'0.0': {'precision': 0.8611111111111112; 'recall': 0.9393939393939394; 'f1-score': 0.8985507246376813; 'support': 33}; '1.0': {'precision': 0.875; 'recall': 0.7368421052631579; 'f1-score': 0.7999999999999999; 'support': 19}; 'accuracy': 0.8653846153846154; 'macro avg': {'precision': 0.8680555555555556; 'recall': 0.8381180223285487; 'f1-score': 0.8492753623188406; 'support': 52}; 'weighted avg': {'precision': 0.8661858974358976; 'recall': 0.8653846153846154; 'f1-score': 0.8625418060200669; 'support': 52}}
5,1,CNF,2,461,51,57,[8; 9],122,1.297518,0.921569,4,[X0 >= 15.045000 OR X3 >= 883.250000 OR X5 >= 0.155250 OR X7 >= 0.079005],{'0.0': {'precision': 0.9256756756756757; 'recall': 0.9480968858131488; 'f1-score': 0.9367521367521366; 'support': 289}; '1.0': {'precision': 0.9090909090909091; 'recall': 0.872093023255814; 'f1-score': 0.8902077151335313; 'support': 172}; 'accuracy': 0.9197396963123644; 'macro avg': {'precision': 0.9173832923832923; 'recall': 0.9100949545344814; 'f1-score': 0.9134799259428339; 'support': 461}; 'weighted avg': {'precision': 0.9194878668848299; 'recall': 0.9197396963123644; 'f1-score': 0.9193863221786006; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
5,1,CNF,3,461,51,57,[8; 9],122,1.253026,0.843137,2,[X6 >= 0.119200 OR X27 >= 0.109550],{'0.0': {'precision': 0.9798387096774194; 'recall': 0.8408304498269896; 'f1-score': 0.9050279329608939; 'support': 289}; '1.0': {'precision': 0.784037558685446; 'recall': 0.9709302325581395; 'f1-score': 0.8675324675324676; 'support': 172}; 'accuracy': 0.8893709327548807; 'macro avg': {'precision': 0.8819381341814327; 'recall': 0.9058803411925646; 'f1-score': 0.8862802002466807; 'support': 461}; 'weighted avg': {'precision': 0.9067849179841018; 'recall': 0.8893709327548807; 'f1-score': 0.8910383016079887; 'support': 461}},{'0.0': {'precision': 0.9; 'recall': 0.84375; 'f1-score': 0.870967741935484; 'support': 32}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.8421052631578947; 'f1-score': 0.8; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8309523809523809; 'recall': 0.8429276315789473; 'f1-score': 0.835483870967742; 'support': 51}; 'weighted avg': {'precision': 0.8485527544351075; 'recall': 0.8431372549019608; 'f1-score': 0.8445287792536371; 'support': 51}}
5,1,CNF,4,461,51,57,[8; 9],122,1.238219,0.862745,3,[X5 >= 0.155250 OR X6 >= 0.069225 OR X20 >= 18.225000],{'0.0': {'precision': 0.967479674796748; 'recall': 0.8235294117647058; 'f1-score': 0.8897196261682243; 'support': 289}; '1.0': {'precision': 0.7627906976744186; 'recall': 0.9534883720930233; 'f1-score': 0.8475452196382429; 'support': 172}; 'accuracy': 0.8720173535791758; 'macro avg': {'precision': 0.8651351862355834; 'recall': 0.8885088919288646; 'f1-score': 0.8686324229032336; 'support': 461}; 'weighted avg': {'precision': 0.8911098178226903; 'recall': 0.8720173535791758; 'f1-score': 0.8739842727557366; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.78125; 'f1-score': 0.8771929824561403; 'support': 32}; '1.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8653846153846154; 'recall': 0.890625; 'f1-score': 0.8608187134502923; 'support': 51}; 'weighted avg': {'precision': 0.8996983408748115; 'recall': 0.8627450980392157; 'f1-score': 0.8649925467262928; 'support': 51}}
5,1,CNF,5,461,51,57,[8; 9],122,1.315923,0.882353,3,[X2 >= 98.755000 OR X10 >= 0.420250 OR X20 >= 18.225000],{'0.0': {'precision': 0.9113475177304965; 'recall': 0.889273356401384; 'f1-score': 0.9001751313485113; 'support': 289}; '1.0': {'precision': 0.8212290502793296; 'recall': 0.8546511627906976; 'f1-score': 0.8376068376068376; 'support': 172}; 'accuracy': 0.8763557483731019; 'macro avg': {'precision': 0.8662882840049131; 'recall': 0.8719622595960408; 'f1-score': 0.8688909844776744; 'support': 461}; 'weighted avg': {'precision': 0.8777241415881956; 'recall': 0.8763557483731019; 'f1-score': 0.8768307788028109; 'support': 461}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9375; 'f1-score': 0.9090909090909091; 'support': 32}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.7894736842105263; 'f1-score': 0.8333333333333333; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8823529411764706; 'recall': 0.8634868421052632; 'f1-score': 0.8712121212121211; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8808674985145573; 'support': 51}}
5,1,CNF,6,461,51,57,[8; 9],122,1.316882,0.960784,2,[X7 >= 0.051420 OR X18 >= 0.043635],{'0.0': {'precision': 0.9399293286219081; 'recall': 0.9204152249134948; 'f1-score': 0.9300699300699301; 'support': 289}; '1.0': {'precision': 0.8707865168539326; 'recall': 0.9011627906976745; 'f1-score': 0.8857142857142857; 'support': 172}; 'accuracy': 0.913232104121475; 'macro avg': {'precision': 0.9053579227379204; 'recall': 0.9107890078055847; 'f1-score': 0.9078921078921078; 'support': 461}; 'weighted avg': {'precision': 0.9141320105653099; 'recall': 0.913232104121475; 'f1-score': 0.9135207525663058; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.9375; 'f1-score': 0.967741935483871; 'support': 32}; '1.0': {'precision': 0.9047619047619048; 'recall': 1.0; 'f1-score': 0.9500000000000001; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9523809523809523; 'recall': 0.96875; 'f1-score': 0.9588709677419356; 'support': 51}; 'weighted avg': {'precision': 0.9645191409897292; 'recall': 0.9607843137254902; 'f1-score': 0.9611321948134092; 'support': 51}}
5,1,CNF,7,461,51,57,[8; 9],122,1.351605,0.862745,2,[X7 >= 0.079005 OR X20 >= 14.905000],{'0.0': {'precision': 0.9822222222222222; 'recall': 0.7647058823529411; 'f1-score': 0.8599221789883269; 'support': 289}; '1.0': {'precision': 0.711864406779661; 'recall': 0.9767441860465116; 'f1-score': 0.823529411764706; 'support': 172}; 'accuracy': 0.8438177874186551; 'macro avg': {'precision': 0.8470433145009416; 'recall': 0.8707250341997264; 'f1-score': 0.8417257953765165; 'support': 461}; 'weighted avg': {'precision': 0.8813511934670801; 'recall': 0.8438177874186551; 'f1-score': 0.8463439664884075; 'support': 461}},{'0.0': {'precision': 0.9629629629629629; 'recall': 0.8125; 'f1-score': 0.8813559322033898; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.9473684210526315; 'f1-score': 0.8372093023255814; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8564814814814814; 'recall': 0.8799342105263157; 'f1-score': 0.8592826172644856; 'support': 51}; 'weighted avg': {'precision': 0.8836238198983296; 'recall': 0.8627450980392157; 'f1-score': 0.864909148523422; 'support': 51}}
5,1,CNF,8,461,51,57,[8; 9],122,1.298817,0.941176,2,[X5 >= 0.155250 OR X7 >= 0.051420],{'0.0': {'precision': 0.9432624113475178; 'recall': 0.9204152249134948; 'f1-score': 0.9316987740805605; 'support': 289}; '1.0': {'precision': 0.8715083798882681; 'recall': 0.9069767441860465; 'f1-score': 0.8888888888888888; 'support': 172}; 'accuracy': 0.9154013015184381; 'macro avg': {'precision': 0.907385395617893; 'recall': 0.9136959845497706; 'f1-score': 0.9102938314847246; 'support': 461}; 'weighted avg': {'precision': 0.9164908421262793; 'recall': 0.9154013015184381; 'f1-score': 0.9157263223387654; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
5,1,CNF,9,461,51,57,[8; 9],122,1.443024,0.803922,2,[X2 >= 85.250000 OR X3 >= 696.250000],{'0.0': {'precision': 0.9504504504504504; 'recall': 0.7301038062283737; 'f1-score': 0.8258317025440314; 'support': 289}; '1.0': {'precision': 0.6736401673640168; 'recall': 0.936046511627907; 'f1-score': 0.7834549878345499; 'support': 172}; 'accuracy': 0.806941431670282; 'macro avg': {'precision': 0.8120453089072336; 'recall': 0.8330751589281403; 'f1-score': 0.8046433451892907; 'support': 461}; 'weighted avg': {'precision': 0.8471719934203711; 'recall': 0.806941431670282; 'f1-score': 0.8100208675548105; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.6875; 'f1-score': 0.8148148148148148; 'support': 32}; '1.0': {'precision': 0.6551724137931034; 'recall': 1.0; 'f1-score': 0.7916666666666666; 'support': 19}; 'accuracy': 0.803921568627451; 'macro avg': {'precision': 0.8275862068965517; 'recall': 0.84375; 'f1-score': 0.8032407407407407; 'support': 51}; 'weighted avg': {'precision': 0.8715348208248818; 'recall': 0.803921568627451; 'f1-score': 0.8061909949164852; 'support': 51}}
5,1,CNF,0,460,52,28,[16; 17],122,0.746107,0.923077,2,[X7 >= 0.079005 OR X20 >= 18.225000],{'0.0': {'precision': 0.897196261682243; 'recall': 0.9965397923875432; 'f1-score': 0.9442622950819672; 'support': 289}; '1.0': {'precision': 0.9928057553956835; 'recall': 0.8070175438596491; 'f1-score': 0.8903225806451613; 'support': 171}; 'accuracy': 0.9260869565217391; 'macro avg': {'precision': 0.9450010085389633; 'recall': 0.9017786681235962; 'f1-score': 0.9172924378635643; 'support': 460}; 'weighted avg': {'precision': 0.9327380517365871; 'recall': 0.9260869565217391; 'f1-score': 0.9242107925413285; 'support': 460}},{'0.0': {'precision': 0.8888888888888888; 'recall': 1.0; 'f1-score': 0.9411764705882353; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9444444444444444; 'recall': 0.9; 'f1-score': 0.9150326797385622; 'support': 52}; 'weighted avg': {'precision': 0.9316239316239316; 'recall': 0.9230769230769231; 'f1-score': 0.9210658622423329; 'support': 52}}
