lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,460,52,57,[8; 9],122,1.287225,0.942308,6,[X3 >= 696.250000 OR X6 >= 0.119200 OR X7 >= 0.079005 OR X10 >= 0.420250 OR X20 >= 16.795000 OR X22 >= 117.450000],{'0.0': {'precision': 0.972; 'recall': 0.8408304498269896; 'f1-score': 0.9016697588126159; 'support': 289}; '1.0': {'precision': 0.780952380952381; 'recall': 0.9590643274853801; 'f1-score': 0.8608923884514434; 'support': 171}; 'accuracy': 0.8847826086956522; 'macro avg': {'precision': 0.8764761904761904; 'recall': 0.8999473886561848; 'f1-score': 0.8812810736320297; 'support': 460}; 'weighted avg': {'precision': 0.9009801242236025; 'recall': 0.8847826086956522; 'f1-score': 0.8865112146131366; 'support': 460}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9047619047619048; 'recall': 0.95; 'f1-score': 0.9268292682926829; 'support': 20}; 'accuracy': 0.9423076923076923; 'macro avg': {'precision': 0.9362519201228878; 'recall': 0.94375; 'f1-score': 0.9396051103368176; 'support': 52}; 'weighted avg': {'precision': 0.9435188467446533; 'recall': 0.9423076923076923; 'f1-score': 0.9425533815777718; 'support': 52}}
5,1,CNF,1,460,52,57,[8; 9],122,1.311256,0.903846,3,[X0 >= 15.045000 OR X6 >= 0.089420 OR X7 >= 0.079005],{'0.0': {'precision': 0.9692307692307692; 'recall': 0.875; 'f1-score': 0.9197080291970802; 'support': 288}; '1.0': {'precision': 0.82; 'recall': 0.9534883720930233; 'f1-score': 0.8817204301075269; 'support': 172}; 'accuracy': 0.9043478260869565; 'macro avg': {'precision': 0.8946153846153846; 'recall': 0.9142441860465116; 'f1-score': 0.9007142296523035; 'support': 460}; 'weighted avg': {'precision': 0.9134314381270903; 'recall': 0.9043478260869565; 'f1-score': 0.9055039704070732; 'support': 460}},{'0.0': {'precision': 0.9666666666666667; 'recall': 0.8787878787878788; 'f1-score': 0.9206349206349207; 'support': 33}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.8924242424242425; 'recall': 0.9130781499202552; 'f1-score': 0.8993418505613628; 'support': 52}; 'weighted avg': {'precision': 0.9124125874125875; 'recall': 0.9038461538461539; 'f1-score': 0.9050746001965515; 'support': 52}}
5,1,CNF,2,461,51,57,[8; 9],122,1.418946,0.882353,1,[X0 >= 15.045000],{'0.0': {'precision': 0.8722741433021807; 'recall': 0.9688581314878892; 'f1-score': 0.9180327868852459; 'support': 289}; '1.0': {'precision': 0.9357142857142857; 'recall': 0.7616279069767442; 'f1-score': 0.8397435897435899; 'support': 172}; 'accuracy': 0.8915401301518439; 'macro avg': {'precision': 0.9039942145082331; 'recall': 0.8652430192323167; 'f1-score': 0.878888188314418; 'support': 461}; 'weighted avg': {'precision': 0.8959437842889096; 'recall': 0.8915401301518439; 'f1-score': 0.8888229345894437; 'support': 461}},{'0.0': {'precision': 0.8611111111111112; 'recall': 0.96875; 'f1-score': 0.911764705882353; 'support': 32}; '1.0': {'precision': 0.9333333333333333; 'recall': 0.7368421052631579; 'f1-score': 0.8235294117647058; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8972222222222223; 'recall': 0.852796052631579; 'f1-score': 0.8676470588235294; 'support': 51}; 'weighted avg': {'precision': 0.8880174291938998; 'recall': 0.8823529411764706; 'f1-score': 0.8788927335640139; 'support': 51}}
5,1,CNF,3,461,51,57,[8; 9],122,1.397434,0.921569,2,[X0 >= 15.045000 OR X2 >= 114.800000],{'0.0': {'precision': 0.8668730650154799; 'recall': 0.9688581314878892; 'f1-score': 0.9150326797385621; 'support': 289}; '1.0': {'precision': 0.9347826086956522; 'recall': 0.75; 'f1-score': 0.8322580645161289; 'support': 172}; 'accuracy': 0.8872017353579176; 'macro avg': {'precision': 0.900827836855566; 'recall': 0.8594290657439446; 'f1-score': 0.8736453721273455; 'support': 461}; 'weighted avg': {'precision': 0.8922102483408371; 'recall': 0.8872017353579176; 'f1-score': 0.8841493092000404; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
5,1,CNF,4,461,51,57,[8; 9],122,1.420407,0.901961,1,[X0 >= 15.045000],{'0.0': {'precision': 0.8672839506172839; 'recall': 0.972318339100346; 'f1-score': 0.9168026101141924; 'support': 289}; '1.0': {'precision': 0.9416058394160584; 'recall': 0.75; 'f1-score': 0.8349514563106795; 'support': 172}; 'accuracy': 0.8893709327548807; 'macro avg': {'precision': 0.9044448950166711; 'recall': 0.861159169550173; 'f1-score': 0.8758770332124359; 'support': 461}; 'weighted avg': {'precision': 0.8950135924250696; 'recall': 0.8893709327548807; 'f1-score': 0.8862637848339229; 'support': 461}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8888888888888888; 'recall': 0.8421052631578947; 'f1-score': 0.8648648648648649; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.898989898989899; 'recall': 0.8898026315789473; 'f1-score': 0.8939708939708939; 'support': 51}; 'weighted avg': {'precision': 0.9015646662705487; 'recall': 0.9019607843137255; 'f1-score': 0.901390077860666; 'support': 51}}
5,1,CNF,5,461,51,57,[8; 9],122,1.345069,0.941176,2,[X0 >= 17.880000 OR X20 >= 16.795000],{'0.0': {'precision': 0.9120521172638436; 'recall': 0.9688581314878892; 'f1-score': 0.9395973154362416; 'support': 289}; '1.0': {'precision': 0.9415584415584416; 'recall': 0.8430232558139535; 'f1-score': 0.8895705521472392; 'support': 172}; 'accuracy': 0.9219088937093276; 'macro avg': {'precision': 0.9268052794111425; 'recall': 0.9059406936509213; 'f1-score': 0.9145839337917404; 'support': 461}; 'weighted avg': {'precision': 0.9230609844626958; 'recall': 0.9219088937093276; 'f1-score': 0.9209322323869826; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
5,1,CNF,6,461,51,57,[8; 9],122,1.385306,0.941176,2,[X0 >= 15.045000 OR X7 >= 0.079005],{'0.0': {'precision': 0.9061488673139159; 'recall': 0.9688581314878892; 'f1-score': 0.9364548494983278; 'support': 289}; '1.0': {'precision': 0.9407894736842105; 'recall': 0.8313953488372093; 'f1-score': 0.8827160493827161; 'support': 172}; 'accuracy': 0.9175704989154013; 'macro avg': {'precision': 0.9234691704990632; 'recall': 0.9001267401625492; 'f1-score': 0.909585449440522; 'support': 461}; 'weighted avg': {'precision': 0.9190733451787546; 'recall': 0.9175704989154013; 'f1-score': 0.9164047982621344; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
5,1,CNF,7,461,51,57,[8; 9],122,1.405609,0.941176,3,[X0 >= 15.045000 OR X5 >= 0.155250 OR X20 >= 16.795000],{'0.0': {'precision': 0.9475524475524476; 'recall': 0.9377162629757786; 'f1-score': 0.942608695652174; 'support': 289}; '1.0': {'precision': 0.8971428571428571; 'recall': 0.9127906976744186; 'f1-score': 0.9048991354466859; 'support': 172}; 'accuracy': 0.928416485900217; 'macro avg': {'precision': 0.9223476523476524; 'recall': 0.9252534803250986; 'f1-score': 0.9237539155494299; 'support': 461}; 'weighted avg': {'precision': 0.9287445309571123; 'recall': 0.928416485900217; 'f1-score': 0.9285391851199745; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
5,1,CNF,8,461,51,57,[8; 9],122,1.388602,0.882353,2,[X0 >= 17.880000 OR X5 >= 0.155250],{'0.0': {'precision': 0.8284023668639053; 'recall': 0.9688581314878892; 'f1-score': 0.8931419457735248; 'support': 289}; '1.0': {'precision': 0.926829268292683; 'recall': 0.6627906976744186; 'f1-score': 0.7728813559322034; 'support': 172}; 'accuracy': 0.8546637744034707; 'macro avg': {'precision': 0.8776158175782942; 'recall': 0.815824414581154; 'f1-score': 0.8330116508528641; 'support': 461}; 'weighted avg': {'precision': 0.8651256359436228; 'recall': 0.8546637744034707; 'f1-score': 0.8482724849216652; 'support': 461}},{'0.0': {'precision': 0.8421052631578947; 'recall': 1.0; 'f1-score': 0.9142857142857143; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.6842105263157895; 'f1-score': 0.8125000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.9210526315789473; 'recall': 0.8421052631578947; 'f1-score': 0.8633928571428572; 'support': 51}; 'weighted avg': {'precision': 0.9009287925696594; 'recall': 0.8823529411764706; 'f1-score': 0.8763655462184875; 'support': 51}}
5,1,CNF,9,461,51,57,[8; 9],122,1.431320,0.627451,1,[X12 >= 1.751000],{'0.0': {'precision': 0.9436619718309859; 'recall': 0.46366782006920415; 'f1-score': 0.6218097447795823; 'support': 289}; '1.0': {'precision': 0.5141065830721003; 'recall': 0.9534883720930233; 'f1-score': 0.6680244399185337; 'support': 172}; 'accuracy': 0.6464208242950108; 'macro avg': {'precision': 0.7288842774515432; 'recall': 0.7085780960811137; 'f1-score': 0.6449170923490579; 'support': 461}; 'weighted avg': {'precision': 0.7833940176736577; 'recall': 0.6464208242950108; 'f1-score': 0.6390525377598418; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.40625; 'f1-score': 0.5777777777777777; 'support': 32}; '1.0': {'precision': 0.5; 'recall': 1.0; 'f1-score': 0.6666666666666666; 'support': 19}; 'accuracy': 0.6274509803921569; 'macro avg': {'precision': 0.75; 'recall': 0.703125; 'f1-score': 0.6222222222222222; 'support': 51}; 'weighted avg': {'precision': 0.8137254901960784; 'recall': 0.6274509803921569; 'f1-score': 0.6108932461873637; 'support': 51}}
5,1,CNF,0,460,52,28,[16; 17],122,0.832654,0.942308,2,[X7 >= 0.051420 OR X23 >= 1214.000000],{'0.0': {'precision': 0.9436619718309859; 'recall': 0.9273356401384083; 'f1-score': 0.9354275741710296; 'support': 289}; '1.0': {'precision': 0.8806818181818182; 'recall': 0.9064327485380117; 'f1-score': 0.893371757925072; 'support': 171}; 'accuracy': 0.9195652173913044; 'macro avg': {'precision': 0.9121718950064021; 'recall': 0.91688419433821; 'f1-score': 0.9143996660480508; 'support': 460}; 'weighted avg': {'precision': 0.9202497842787952; 'recall': 0.9195652173913044; 'f1-score': 0.9197937816100324; 'support': 460}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9047619047619048; 'recall': 0.95; 'f1-score': 0.9268292682926829; 'support': 20}; 'accuracy': 0.9423076923076923; 'macro avg': {'precision': 0.9362519201228878; 'recall': 0.94375; 'f1-score': 0.9396051103368176; 'support': 52}; 'weighted avg': {'precision': 0.9435188467446533; 'recall': 0.9423076923076923; 'f1-score': 0.9425533815777718; 'support': 52}}
